"psuedo_sample_name"	"sample_name_backup"	"host_scientific_name"	"expedition_number"	"political_area"	"ocean_area"	"compartment_neutrality"	"compartment"	"neutrality"
"E1.10.Poc.dami.1.20140731.M_above"	"E1.10.Poc.dami.1.20140731.M"	"Pocillopora damicornis"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.10.Sty.pist.1.20140807.M_above"	"E1.10.Sty.pist.1.20140807.M"	"Stylophora pistillata"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.10.Sty.pist.1.20140815.M_above"	"E1.10.Sty.pist.1.20140815.M"	"Stylophora pistillata"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.11.Fun.sp.1.20140730.M_above"	"E1.11.Fun.sp.1.20140730.M"	"Fungia sp"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.11.Fun.sp.1.20140811.M_above"	"E1.11.Fun.sp.1.20140811.M"	"Fungia sp"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.11.Lep.tran.1.20140731.M_above"	"E1.11.Lep.tran.1.20140731.M"	"Leptastrea transversa"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.11.Psa.digi.1.20140807.M_above"	"E1.11.Psa.digi.1.20140807.M"	"Psammocora digitata"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.14.Phy.lich.1.20140811.M_above"	"E1.14.Phy.lich.1.20140811.M"	"Physogyra lichtensteini"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.15.Dip.heli.1.20140726.M_above"	"E1.15.Dip.heli.1.20140726.M"	"Diploastrea heliopora"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.15.Dip.heli.1.20140809.M_above"	"E1.15.Dip.heli.1.20140809.M"	"Diploastrea heliopora"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.15.Dip.heli.1.20140905.M_above"	"E1.15.Dip.heli.1.20140905.M"	"Diploastrea heliopora"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.17.Ech.lame.1.20140905.M_above"	"E1.17.Ech.lame.1.20140905.M"	"Echinopora lamellosa"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.17.Ech.mamm.1.20140815.M_above"	"E1.17.Ech.mamm.1.20140815.M"	"Echinopora mammiformis"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.17.Fav.sp.1.20140811.M_above"	"E1.17.Fav.sp.1.20140811.M"	"Echinophyllia orpheensis"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.17.Fav.sp.2.20140805.M_above"	"E1.17.Fav.sp.2.20140805.M"	"Favites sp2"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.19.Lob.sp.1.20140730.M_above"	"E1.19.Lob.sp.1.20140730.M"	"Lobophyllia sp"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.19.Lob.sp.1.20140809.M_above"	"E1.19.Lob.sp.1.20140809.M"	"Lobophyllia sp"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.19.Sym.sp.1.20140814.M_above"	"E1.19.Sym.sp.1.20140814.M"	"Symphyllia sp"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.19.Sym.sp.1.20140815.M_above"	"E1.19.Sym.sp.1.20140815.M"	"Symphyllia sp"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.19.Sym.sp.1.20140905.M_above"	"E1.19.Sym.sp.1.20140905.M"	"Symphyllia sp"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.2.Tur.pelt.1.20140814.M_above"	"E1.2.Tur.pelt.1.20140814.M"	"Turbinaria peltata"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.2.Tur.reni.1.20140730.M_above"	"E1.2.Tur.reni.1.20140730.M"	"Turbinaria reniformis"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
"E1.2.Tur.reni.1.20140814.M_above"	"E1.2.Tur.reni.1.20140814.M"	"Turbinaria reniformis"	"E1"	"Australia"	"Coral Sea"	"mucus_above"	"mucus"	"above"
