"psuedo_sample_name"	"sample_name_backup"	"host_scientific_name"	"expedition_number"	"political_area"	"ocean_area"	"compartment_neutrality"	"compartment"	"neutrality"
"E1.10.Poc.dami.1.20140728.T_above"	"E1.10.Poc.dami.1.20140728.T"	"Pocillopora damicornis"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.10.Poc.dami.1.20140731.T_above"	"E1.10.Poc.dami.1.20140731.T"	"Pocillopora damicornis"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.10.Sty.pist.1.20140807.T_above"	"E1.10.Sty.pist.1.20140807.T"	"Stylophora pistillata"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.10.Sty.pist.1.20140815.T_above"	"E1.10.Sty.pist.1.20140815.T"	"Stylophora pistillata"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.11.Fun.sp.1.20140730.T_above"	"E1.11.Fun.sp.1.20140730.T"	"Fungia sp"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.11.Fun.sp.1.20140811.T_above"	"E1.11.Fun.sp.1.20140811.T"	"Fungia sp"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.11.Lep.tran.1.20140731.T_above"	"E1.11.Lep.tran.1.20140731.T"	"Leptastrea transversa"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.11.Psa.digi.1.20140807.T_above"	"E1.11.Psa.digi.1.20140807.T"	"Psammocora digitata"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.14.Phy.lich.1.20140811.T_above"	"E1.14.Phy.lich.1.20140811.T"	"Physogyra lichtensteini"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.15.Dip.heli.1.20140726.T_above"	"E1.15.Dip.heli.1.20140726.T"	"Diploastrea heliopora"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.15.Dip.heli.1.20140809.T_above"	"E1.15.Dip.heli.1.20140809.T"	"Diploastrea heliopora"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.15.Dip.heli.1.20140815.T_above"	"E1.15.Dip.heli.1.20140815.T"	"Diploastrea heliopora"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.15.Dip.heli.1.20140905.T_above"	"E1.15.Dip.heli.1.20140905.T"	"Diploastrea heliopora"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.17.Cau.furc.1.20140801.T_above"	"E1.17.Cau.furc.1.20140801.T"	"Caulastrea furcata"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.17.Ech.lame.1.20140905.T_above"	"E1.17.Ech.lame.1.20140905.T"	"Echinopora lamellosa"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
"E1.17.Ech.mamm.1.20140815.T_above"	"E1.17.Ech.mamm.1.20140815.T"	"Echinopora mammiformis"	"E1"	"Australia"	"Coral Sea"	"tissue_above"	"tissue"	"above"
