	Aerobic
348570	FALSE
321047	TRUE
1106498	FALSE
4461101	TRUE
701393	FALSE
3760117	FALSE
62921	FALSE
1110665	TRUE
4425801	TRUE
269030	FALSE
4482745	TRUE
325735	TRUE
4400245	FALSE
4374816	FALSE
325904	FALSE
509929	FALSE
2860	TRUE
235969	TRUE
83595	FALSE
215441	FALSE
1132384	FALSE
578659	TRUE
4456771	FALSE
165687	TRUE
513156	FALSE
4401013	FALSE
2510845	FALSE
278735	FALSE
809980	TRUE
694539	FALSE
875548	FALSE
361402	FALSE
4358716	TRUE
698647	TRUE
270087	FALSE
316737	TRUE
320613	FALSE
699904	FALSE
570408	TRUE
585063	TRUE
2743133	FALSE
137516	FALSE
253488	TRUE
1108144	FALSE
305967	FALSE
572150	TRUE
539508	TRUE
309693	FALSE
4018589	FALSE
155521	TRUE
254686	FALSE
689268	TRUE
256575	FALSE
10775	FALSE
1537126	FALSE
553974	FALSE
2907294	FALSE
244247	FALSE
3122805	TRUE
809730	TRUE
2374557	FALSE
574883	TRUE
256904	TRUE
325677	TRUE
72214	TRUE
345093	TRUE
4475161	FALSE
1114337	FALSE
585568	TRUE
4437259	FALSE
4326288	FALSE
538679	FALSE
1112543	FALSE
258327	FALSE
855812	FALSE
267730	FALSE
336306	FALSE
324488	TRUE
553318	FALSE
710897	TRUE
374897	FALSE
2932342	FALSE
512414	FALSE
4371135	FALSE
109057	FALSE
14134	FALSE
529653	TRUE
570023	TRUE
1107548	FALSE
40401	FALSE
1107711	FALSE
814148	FALSE
661170	TRUE
4342076	FALSE
113724	FALSE
554375	FALSE
4451932	TRUE
14917	FALSE
549206	FALSE
588112	FALSE
832001	FALSE
1079742	FALSE
227717	FALSE
609371	FALSE
218772	TRUE
570256	FALSE
237144	FALSE
1845162	TRUE
550712	TRUE
282549	FALSE
4385170	TRUE
4345060	TRUE
274011	TRUE
110525	FALSE
976441	TRUE
766547	TRUE
4387158	FALSE
821537	FALSE
681073	FALSE
865520	TRUE
4372908	FALSE
341989	FALSE
3192521	FALSE
540643	FALSE
1011514	FALSE
225187	TRUE
1742482	FALSE
148761	FALSE
4329303	TRUE
4334349	FALSE
949659	TRUE
310249	FALSE
100535	FALSE
190843	FALSE
619073	FALSE
255100	TRUE
4479618	FALSE
1135562	TRUE
