	Aerobic
4342317	TRUE
2326885	FALSE
3041662	TRUE
279230	FALSE
356942	TRUE
1065569	FALSE
797985	FALSE
4359077	FALSE
4314534	FALSE
4374027	FALSE
2845471	FALSE
1139618	FALSE
4341881	TRUE
1928988	FALSE
806354	TRUE
2153555	TRUE
124193	FALSE
300387	FALSE
588995	FALSE
4480305	FALSE
3114949	TRUE
4466618	FALSE
1500147	TRUE
3071921	FALSE
2317377	TRUE
1135388	TRUE
863019	FALSE
98258	FALSE
908948	FALSE
20957	FALSE
4451400	FALSE
212239	TRUE
210958	FALSE
544033	TRUE
249243	FALSE
141607	FALSE
978072	TRUE
110321	FALSE
4323443	FALSE
3114957	FALSE
821884	FALSE
3506234	FALSE
257821	FALSE
611009	FALSE
2163606	FALSE
1130212	TRUE
1087298	TRUE
810119	TRUE
3900309	FALSE
1015143	FALSE
104788	TRUE
321103	FALSE
107506	FALSE
347501	FALSE
4427218	FALSE
104310	TRUE
783892	TRUE
4369968	FALSE
832260	TRUE
241895	TRUE
531374	FALSE
1123395	FALSE
833257	FALSE
516022	FALSE
38435	FALSE
181641	FALSE
622992	FALSE
515169	FALSE
536947	TRUE
804742	TRUE
132661	FALSE
157266	FALSE
511931	FALSE
275275	FALSE
3382	FALSE
4357413	FALSE
4343435	FALSE
112259	FALSE
1111413	FALSE
217797	FALSE
441828	FALSE
761601	FALSE
4409036	FALSE
725347	FALSE
817013	TRUE
4465677	FALSE
4443105	FALSE
4359327	TRUE
4469032	FALSE
1059762	FALSE
1109245	FALSE
4195126	FALSE
2775220	TRUE
221107	FALSE
758112	FALSE
201361	FALSE
225370	FALSE
1114358	TRUE
4385942	FALSE
2528843	FALSE
2599642	FALSE
790466	FALSE
339359	FALSE
62921	FALSE
1107031	FALSE
313493	TRUE
1142199	TRUE
591043	FALSE
112962	FALSE
4325392	FALSE
517031	TRUE
1126195	TRUE
1078375	FALSE
354247	TRUE
14475	FALSE
1118132	FALSE
3348667	FALSE
4440517	FALSE
1124068	FALSE
7229	FALSE
4378239	FALSE
5137	TRUE
439457	FALSE
107461	TRUE
679745	FALSE
1108706	FALSE
4374109	TRUE
4340807	FALSE
262768	FALSE
669611	FALSE
4408637	FALSE
4351262	FALSE
209523	TRUE
136286	FALSE
2216255	TRUE
558772	FALSE
350334	FALSE
3070042	FALSE
849585	TRUE
920506	FALSE
1856738	FALSE
546441	TRUE
99912	FALSE
351929	FALSE
2718033	FALSE
348170	TRUE
3956482	TRUE
62707	TRUE
206386	TRUE
563796	FALSE
72926	FALSE
140105	FALSE
194024	FALSE
113467	FALSE
1134274	TRUE
582609	FALSE
357342	TRUE
96373	FALSE
1120876	FALSE
829240	FALSE
2781721	FALSE
968354	TRUE
149607	FALSE
646478	TRUE
1845162	TRUE
469663	FALSE
2055428	FALSE
864067	FALSE
239868	FALSE
512121	FALSE
174842	FALSE
848713	FALSE
533420	FALSE
351673	FALSE
3213372	FALSE
1106960	TRUE
206114	TRUE
301880	FALSE
759250	TRUE
101553	FALSE
1016369	FALSE
3706429	FALSE
809730	TRUE
240641	FALSE
643757	TRUE
696477	FALSE
668615	TRUE
1731151	FALSE
590604	FALSE
137183	FALSE
4442779	TRUE
203626	TRUE
4365141	FALSE
761592	TRUE
4353625	FALSE
258655	FALSE
313174	TRUE
234654	TRUE
166322	FALSE
201724	FALSE
4386366	FALSE
518263	TRUE
4311215	FALSE
4434699	TRUE
815435	FALSE
810893	FALSE
297256	FALSE
867135	TRUE
317953	FALSE
146126	TRUE
4375708	FALSE
782472	TRUE
2480553	FALSE
244568	TRUE
4436510	TRUE
331119	FALSE
1104728	TRUE
276370	FALSE
345093	TRUE
678059	FALSE
554981	FALSE
4450615	FALSE
540876	FALSE
348570	FALSE
141106	TRUE
1048194	TRUE
4327787	TRUE
2191823	TRUE
2183857	FALSE
224486	TRUE
236949	TRUE
2051733	FALSE
300618	FALSE
329032	FALSE
322919	FALSE
236051	FALSE
83514	TRUE
176775	FALSE
251620	FALSE
276527	FALSE
574510	FALSE
7511	FALSE
460236	FALSE
2366094	FALSE
4441200	FALSE
4282479	FALSE
1560939	FALSE
134174	FALSE
1128225	TRUE
4392535	FALSE
322661	FALSE
129508	FALSE
548196	FALSE
938948	FALSE
106690	FALSE
2963552	FALSE
1006554	FALSE
214800	FALSE
3645942	FALSE
564586	TRUE
921110	FALSE
637528	TRUE
1087462	TRUE
4363948	TRUE
575143	TRUE
4424906	TRUE
4364838	FALSE
554984	FALSE
544847	TRUE
4475220	TRUE
590314	TRUE
553623	TRUE
154682	FALSE
4221693	FALSE
1122084	FALSE
4466240	FALSE
260011	FALSE
4367855	TRUE
3683949	FALSE
4441046	FALSE
4295177	FALSE
111464	TRUE
110155	TRUE
1107339	FALSE
1121806	TRUE
575252	TRUE
962249	FALSE
4434769	TRUE
801612	TRUE
240451	TRUE
624099	FALSE
248468	TRUE
806030	FALSE
994959	FALSE
3038460	TRUE
4452877	FALSE
4408721	FALSE
109591	TRUE
238940	TRUE
166728	FALSE
4458619	TRUE
664541	FALSE
4299608	TRUE
4372633	FALSE
3457597	FALSE
17901	TRUE
256758	FALSE
331738	FALSE
33606	FALSE
238741	TRUE
1124207	FALSE
688533	FALSE
237131	FALSE
250908	FALSE
4328659	FALSE
565514	TRUE
4215051	FALSE
811571	FALSE
2221063	FALSE
758320	FALSE
539866	TRUE
4451743	FALSE
3825329	FALSE
1107771	FALSE
3240665	FALSE
830956	FALSE
723331	FALSE
541079	FALSE
632342	FALSE
693124	FALSE
538238	TRUE
3905299	TRUE
159584	FALSE
104179	FALSE
1136342	FALSE
842284	TRUE
566771	FALSE
4388456	TRUE
275384	FALSE
341460	FALSE
2269609	TRUE
933546	TRUE
539313	TRUE
1028542	FALSE
2981822	FALSE
570595	TRUE
246636	FALSE
4304971	FALSE
694505	FALSE
525841	FALSE
4319936	TRUE
4405880	FALSE
81639	FALSE
60179	FALSE
313522	FALSE
254951	TRUE
4458736	FALSE
207780	TRUE
335960	TRUE
225142	TRUE
563693	TRUE
727369	FALSE
2143302	FALSE
555217	FALSE
535910	TRUE
135965	TRUE
3290338	TRUE
83349	FALSE
3045868	FALSE
