	Aerobic
4353625	FALSE
538178	FALSE
422295	FALSE
312009	TRUE
341734	FALSE
70494	FALSE
343315	FALSE
830956	FALSE
109057	FALSE
448094	TRUE
354518	FALSE
938948	FALSE
577123	TRUE
4465584	TRUE
569669	FALSE
1105509	TRUE
823950	FALSE
342977	FALSE
325904	FALSE
4393019	FALSE
594371	TRUE
1114496	FALSE
591394	FALSE
744941	FALSE
837775	FALSE
160916	FALSE
819561	TRUE
962249	FALSE
4326111	FALSE
4403486	FALSE
4478949	TRUE
836059	FALSE
3208	TRUE
565890	FALSE
1637549	TRUE
325735	TRUE
625724	TRUE
1543166	TRUE
318061	TRUE
817401	FALSE
810704	FALSE
569884	FALSE
4393486	TRUE
4355195	FALSE
146556	FALSE
699904	FALSE
252615	FALSE
1112543	FALSE
221272	FALSE
2794420	FALSE
111320	FALSE
235042	FALSE
583231	FALSE
230061	FALSE
834774	TRUE
256904	TRUE
356532	TRUE
1082059	TRUE
159017	TRUE
151344	FALSE
837605	FALSE
227717	FALSE
4461079	TRUE
875548	FALSE
354725	TRUE
681073	FALSE
237131	FALSE
4358878	FALSE
320613	FALSE
41476	TRUE
1128538	FALSE
2001897	TRUE
931727	TRUE
4369009	FALSE
583197	TRUE
570408	TRUE
1104793	TRUE
40104	TRUE
224772	FALSE
325175	FALSE
228555	FALSE
3685327	TRUE
504674	FALSE
550712	TRUE
4371135	FALSE
232551	TRUE
312645	FALSE
262657	FALSE
499902	FALSE
