	Aerobic
321047	TRUE
4463263	TRUE
1110665	TRUE
269030	FALSE
4421726	TRUE
325735	TRUE
4413099	FALSE
325904	FALSE
2860	TRUE
83595	FALSE
249365	FALSE
1132384	FALSE
544033	TRUE
809980	TRUE
741691	FALSE
320613	FALSE
699904	FALSE
570408	TRUE
1108144	FALSE
2932342	FALSE
155521	TRUE
4420771	TRUE
254686	FALSE
114811	TRUE
531374	FALSE
2860880	FALSE
1112543	FALSE
353181	FALSE
151344	FALSE
324488	TRUE
553318	FALSE
374897	FALSE
1107711	FALSE
661170	TRUE
230324	FALSE
554375	FALSE
509138	FALSE
227717	FALSE
4398746	TRUE
4385170	TRUE
588112	FALSE
4474035	FALSE
681073	FALSE
1011514	FALSE
1766551	FALSE
2658745	FALSE
3085264	TRUE
837775	FALSE
309577	FALSE
4461079	TRUE
227000	FALSE
569884	FALSE
208171	TRUE
3154121	FALSE
343315	FALSE
1108984	TRUE
536796	TRUE
4355195	FALSE
4076076	FALSE
836059	FALSE
2776653	FALSE
318309	TRUE
70494	FALSE
3852555	FALSE
1107679	FALSE
801421	FALSE
151316	FALSE
235042	FALSE
4369319	FALSE
1539143	FALSE
4369009	FALSE
2401319	TRUE
4388994	FALSE
2194481	FALSE
553974	FALSE
811257	TRUE
808539	TRUE
572137	TRUE
540643	FALSE
513117	FALSE
4366536	FALSE
1114496	FALSE
1106925	FALSE
536121	FALSE
4392826	TRUE
149984	FALSE
341734	FALSE
573032	FALSE
698647	TRUE
237482	TRUE
551347	FALSE
4474787	FALSE
499902	FALSE
590548	TRUE
347853	FALSE
320758	FALSE
334363	TRUE
159170	TRUE
4456435	TRUE
1109402	TRUE
110525	FALSE
583231	FALSE
4475608	FALSE
605566	FALSE
585574	FALSE
569893	TRUE
327767	TRUE
230061	FALSE
4475254	TRUE
563202	TRUE
310378	TRUE
566357	FALSE
591394	FALSE
107274	FALSE
352526	FALSE
4462887	FALSE
4156020	FALSE
2710	FALSE
557998	FALSE
1062748	TRUE
3685327	TRUE
538178	FALSE
811810	FALSE
260605	FALSE
4374557	TRUE
1120649	FALSE
4481373	TRUE
250908	FALSE
931727	TRUE
832359	TRUE
354725	TRUE
4359640	FALSE
830956	FALSE
819561	TRUE
684320	FALSE
1016465	FALSE
1111255	FALSE
441828	FALSE
28793	FALSE
1109458	TRUE
224880	TRUE
4362093	TRUE
1144747	FALSE
108544	FALSE
1110985	FALSE
4465584	TRUE
164969	FALSE
262657	FALSE
