	Aerobic
348570	FALSE
4461101	TRUE
356942	TRUE
1065569	FALSE
913149	FALSE
4425801	TRUE
1139618	FALSE
2153555	TRUE
4374816	FALSE
4466618	FALSE
2317377	TRUE
908948	FALSE
165687	TRUE
249243	FALSE
4358716	TRUE
306254	FALSE
829687	FALSE
4018589	FALSE
611009	FALSE
1130212	TRUE
1537126	FALSE
810119	TRUE
809730	TRUE
1015143	FALSE
104788	TRUE
1123395	FALSE
516022	FALSE
336306	FALSE
804742	TRUE
109057	FALSE
514080	FALSE
529653	TRUE
725347	FALSE
832001	FALSE
4359327	TRUE
218772	TRUE
282549	FALSE
4409036	FALSE
4345060	TRUE
225370	FALSE
976441	TRUE
4387158	FALSE
2528843	FALSE
141607	FALSE
960695	FALSE
865520	TRUE
1142199	TRUE
112962	FALSE
4325392	FALSE
1126195	TRUE
1118132	FALSE
1124068	FALSE
949659	TRUE
439457	FALSE
1108706	FALSE
4374109	TRUE
585063	TRUE
537062	TRUE
4416783	TRUE
334709	FALSE
321533	TRUE
920506	FALSE
546441	TRUE
114176	FALSE
819298	FALSE
4425615	TRUE
829240	FALSE
543572	TRUE
4340148	FALSE
357329	FALSE
174842	FALSE
848713	FALSE
533420	FALSE
333593	TRUE
1106960	TRUE
2680784	TRUE
301880	FALSE
702400	FALSE
240641	FALSE
304223	FALSE
365956	TRUE
4365141	FALSE
234654	TRUE
572843	FALSE
4296752	TRUE
297256	FALSE
626867	FALSE
276370	FALSE
540876	FALSE
4064681	FALSE
265874	TRUE
236949	TRUE
300618	FALSE
83514	TRUE
176775	FALSE
587505	FALSE
211593	FALSE
2366094	FALSE
4441200	FALSE
4353625	FALSE
4392535	FALSE
322661	FALSE
1104793	TRUE
938948	FALSE
1006554	FALSE
214800	FALSE
509377	TRUE
2062934	FALSE
637528	TRUE
1087462	TRUE
4363948	TRUE
575143	TRUE
4364838	FALSE
951711	TRUE
554984	FALSE
4475220	TRUE
590314	TRUE
262025	FALSE
553623	TRUE
564586	TRUE
766554	FALSE
838990	FALSE
672345	TRUE
228873	FALSE
563811	TRUE
4367855	TRUE
327945	TRUE
111464	TRUE
1107339	FALSE
962249	FALSE
240451	TRUE
39385	FALSE
741867	TRUE
3038460	TRUE
238940	TRUE
166728	FALSE
330888	FALSE
1016369	FALSE
237131	FALSE
70071	TRUE
3860285	FALSE
1136342	FALSE
4388456	TRUE
254116	FALSE
164443	TRUE
341460	FALSE
933546	TRUE
2981822	FALSE
525841	FALSE
4319936	TRUE
825260	FALSE
81639	FALSE
207780	TRUE
4446915	FALSE
225142	TRUE
135965	TRUE
107506	FALSE
