	Aerobic
661170	TRUE
582931	FALSE
4479753	FALSE
4376863	FALSE
255100	TRUE
724298	FALSE
341734	FALSE
1603735	TRUE
114811	TRUE
4473655	TRUE
160300	TRUE
569893	TRUE
814721	TRUE
569736	FALSE
1107679	FALSE
165185	FALSE
270376	FALSE
784506	FALSE
2981825	FALSE
4306040	FALSE
557699	TRUE
563693	TRUE
540643	FALSE
353248	TRUE
128263	TRUE
1766551	FALSE
1132384	FALSE
316871	FALSE
553318	FALSE
4349537	TRUE
1112192	FALSE
4336253	TRUE
566357	FALSE
4340137	FALSE
325904	FALSE
313522	FALSE
4297284	FALSE
572695	TRUE
4330206	TRUE
536121	FALSE
572150	TRUE
4359330	TRUE
4385959	TRUE
583231	FALSE
4451358	FALSE
1111111	FALSE
3712725	TRUE
305967	FALSE
4482302	TRUE
605566	FALSE
1114110	FALSE
736040	FALSE
151316	FALSE
4389957	FALSE
138264	FALSE
1109402	TRUE
256400	FALSE
532624	TRUE
4398746	TRUE
4362093	TRUE
4437259	FALSE
3867306	FALSE
4312368	FALSE
1116149	FALSE
259809	FALSE
338836	FALSE
274011	TRUE
4459768	FALSE
368438	FALSE
4426240	FALSE
571072	FALSE
1856738	FALSE
572190	FALSE
4483818	FALSE
553974	FALSE
1110665	TRUE
