	Aerobic
542933	TRUE
661170	TRUE
913229	TRUE
300387	FALSE
284672	FALSE
582931	FALSE
201237	FALSE
639712	FALSE
136025	TRUE
4479753	FALSE
702400	FALSE
130922	TRUE
691392	TRUE
4376863	FALSE
255100	TRUE
724298	FALSE
552508	FALSE
220524	TRUE
539735	TRUE
341734	FALSE
668615	TRUE
155521	TRUE
1603735	TRUE
830956	FALSE
739464	FALSE
141154	TRUE
109057	FALSE
1136342	FALSE
4451400	FALSE
808440	TRUE
114811	TRUE
298813	FALSE
313493	TRUE
4473655	TRUE
234515	FALSE
817013	TRUE
3905299	TRUE
578224	TRUE
98258	FALSE
302883	FALSE
4359327	TRUE
160300	TRUE
104310	TRUE
569893	TRUE
171126	TRUE
788632	TRUE
993127	FALSE
307425	FALSE
814721	TRUE
626867	FALSE
569736	FALSE
575143	TRUE
4332665	TRUE
1107679	FALSE
165185	FALSE
270376	FALSE
784506	FALSE
1144747	FALSE
693092	FALSE
1010113	FALSE
240170	FALSE
1560939	FALSE
4458619	TRUE
572843	FALSE
101553	FALSE
4367491	FALSE
2932342	FALSE
235042	FALSE
558101	FALSE
255671	FALSE
325677	TRUE
632346	FALSE
1003206	TRUE
285497	TRUE
342224	FALSE
4374557	TRUE
2981825	FALSE
225370	FALSE
1107031	FALSE
1068470	TRUE
112337	TRUE
4342066	TRUE
689621	TRUE
4306040	FALSE
557699	TRUE
2806353	TRUE
1026431	TRUE
563693	TRUE
3956482	TRUE
132661	FALSE
141607	FALSE
1078375	FALSE
540643	FALSE
136286	FALSE
212239	TRUE
316772	FALSE
353248	TRUE
563796	FALSE
1040796	TRUE
4106309	FALSE
4298791	FALSE
150851	TRUE
128263	TRUE
4441046	FALSE
2297428	FALSE
4297214	FALSE
238741	TRUE
1104662	FALSE
2853353	FALSE
565514	TRUE
1766551	FALSE
1104793	TRUE
210958	FALSE
1127642	TRUE
575252	TRUE
329032	FALSE
341460	FALSE
1132384	FALSE
573757	TRUE
1109245	FALSE
275105	TRUE
238940	TRUE
939545	FALSE
3348667	FALSE
557211	FALSE
321346	FALSE
543572	TRUE
785565	FALSE
316871	FALSE
350592	TRUE
3076501	TRUE
531374	FALSE
553318	FALSE
4387837	FALSE
4392549	FALSE
4349537	TRUE
4298967	FALSE
1112192	FALSE
235527	FALSE
333130	FALSE
660076	FALSE
4336253	TRUE
566357	FALSE
960695	FALSE
14475	FALSE
4340137	FALSE
994959	FALSE
254888	FALSE
594000	FALSE
274447	TRUE
348570	FALSE
4195126	FALSE
325904	FALSE
313522	FALSE
1087298	TRUE
114821	FALSE
4297284	FALSE
572695	TRUE
4330206	TRUE
377613	FALSE
1011514	FALSE
536121	FALSE
761601	FALSE
800841	TRUE
313174	TRUE
572150	TRUE
3192521	FALSE
4388994	FALSE
1135562	TRUE
4359330	TRUE
179922	FALSE
761592	TRUE
150441	TRUE
4385959	TRUE
469663	FALSE
255802	TRUE
4481861	TRUE
4369009	FALSE
1059762	FALSE
583231	FALSE
539508	TRUE
4377104	FALSE
4451358	FALSE
1111111	FALSE
3712725	TRUE
254951	TRUE
305967	FALSE
4482302	TRUE
806030	FALSE
342034	FALSE
993455	TRUE
943138	TRUE
605566	FALSE
10724	FALSE
306254	FALSE
1114110	FALSE
320773	FALSE
146126	TRUE
434004	TRUE
574883	TRUE
736040	FALSE
574835	FALSE
151316	FALSE
2401319	TRUE
4357289	TRUE
566771	FALSE
3991527	FALSE
590476	FALSE
247441	TRUE
548050	FALSE
291315	FALSE
166322	FALSE
4454356	TRUE
4389957	FALSE
1106960	TRUE
816411	TRUE
790466	FALSE
584239	FALSE
686219	FALSE
60179	FALSE
832359	TRUE
2317377	TRUE
736302	TRUE
677165	FALSE
782472	TRUE
582813	TRUE
4378239	FALSE
1108952	FALSE
138264	FALSE
146556	FALSE
2143302	FALSE
1109402	TRUE
256400	FALSE
211593	FALSE
664205	FALSE
331119	FALSE
200584	FALSE
2572948	FALSE
1129931	TRUE
330888	FALSE
4394095	TRUE
829240	FALSE
585063	TRUE
179879	TRUE
882018	TRUE
581316	TRUE
532624	TRUE
99430	TRUE
4398746	TRUE
4481373	TRUE
225041	FALSE
4362093	TRUE
4437259	FALSE
3867306	FALSE
4312368	FALSE
1016369	FALSE
1640195	FALSE
310249	FALSE
3555019	FALSE
1116149	FALSE
639286	FALSE
3085264	TRUE
4253641	TRUE
539547	FALSE
207780	TRUE
313235	FALSE
354725	TRUE
931727	TRUE
4317477	TRUE
4451743	FALSE
265496	TRUE
329004	FALSE
344676	TRUE
225187	TRUE
301921	FALSE
259809	FALSE
338836	FALSE
238105	FALSE
110755	FALSE
571304	TRUE
1130890	TRUE
274011	TRUE
4459768	FALSE
4465677	FALSE
368438	FALSE
104610	FALSE
4430489	FALSE
4426240	FALSE
693333	FALSE
571072	FALSE
518752	FALSE
427183	TRUE
344914	FALSE
321533	TRUE
1015143	FALSE
1856738	FALSE
269907	FALSE
4404172	TRUE
966091	TRUE
572190	FALSE
4483818	FALSE
1112543	FALSE
3760122	TRUE
553974	FALSE
806354	TRUE
538679	FALSE
4359533	FALSE
1110665	TRUE
1028542	FALSE
4330745	FALSE
538178	FALSE
