	Aerobic
348570	FALSE
4339367	FALSE
1109245	FALSE
2326885	FALSE
3041662	TRUE
4461101	TRUE
356942	TRUE
557211	FALSE
1065569	FALSE
701393	FALSE
2550290	FALSE
1110665	TRUE
4425801	TRUE
4374027	FALSE
806354	TRUE
300387	FALSE
4374816	FALSE
3114949	TRUE
4466618	FALSE
110976	FALSE
550937	TRUE
1500147	TRUE
4329303	TRUE
4437259	FALSE
863019	FALSE
98258	FALSE
165687	TRUE
4451400	FALSE
212239	TRUE
210958	FALSE
129508	FALSE
4358716	TRUE
978072	TRUE
278097	FALSE
160903	FALSE
110321	FALSE
2743133	FALSE
253488	TRUE
539508	TRUE
101553	FALSE
309693	FALSE
3114957	FALSE
571304	TRUE
829687	FALSE
2932342	FALSE
821884	FALSE
155521	TRUE
3240665	FALSE
4420771	TRUE
1130212	TRUE
256575	FALSE
67775	FALSE
244247	FALSE
809730	TRUE
1015143	FALSE
2374557	FALSE
574883	TRUE
104310	TRUE
427183	TRUE
325677	TRUE
832260	TRUE
4326288	FALSE
833257	FALSE
516022	FALSE
181641	FALSE
1112543	FALSE
258327	FALSE
549144	FALSE
353181	FALSE
554911	FALSE
622992	FALSE
685178	FALSE
1107771	FALSE
786067	TRUE
565917	TRUE
336306	FALSE
536947	TRUE
324488	TRUE
804742	TRUE
514080	FALSE
529653	TRUE
511931	FALSE
40401	FALSE
1107711	FALSE
275275	FALSE
4342076	FALSE
4343435	FALSE
112259	FALSE
1111413	FALSE
112352	FALSE
14917	FALSE
4334638	TRUE
2055428	FALSE
761601	FALSE
257221	FALSE
817013	TRUE
4465677	FALSE
2153390	FALSE
832001	FALSE
509138	FALSE
4359327	TRUE
4469032	FALSE
1107031	FALSE
2775220	TRUE
317953	FALSE
4195126	FALSE
4343065	FALSE
806133	TRUE
1845162	TRUE
4409036	FALSE
4345060	TRUE
588112	FALSE
976441	TRUE
1114358	TRUE
565514	TRUE
2740140	FALSE
4436510	TRUE
141607	FALSE
790466	FALSE
339359	FALSE
681073	FALSE
865520	TRUE
62921	FALSE
3192521	FALSE
4325392	FALSE
517031	TRUE
1126195	TRUE
1078375	FALSE
538924	FALSE
1011514	FALSE
1742482	FALSE
14475	FALSE
3348667	FALSE
818357	FALSE
949659	TRUE
812016	FALSE
1108706	FALSE
181971	FALSE
4340807	FALSE
585063	TRUE
310249	FALSE
190843	FALSE
4351262	FALSE
1135562	TRUE
209523	TRUE
3085264	TRUE
725769	FALSE
537062	TRUE
4416783	TRUE
849585	TRUE
591796	FALSE
920506	FALSE
252063	FALSE
330263	FALSE
114176	FALSE
3956482	TRUE
4461079	TRUE
361402	FALSE
569884	FALSE
62707	TRUE
819298	FALSE
206386	TRUE
4425615	TRUE
563796	FALSE
72926	FALSE
1134274	TRUE
370067	FALSE
357342	TRUE
302883	FALSE
1120876	FALSE
96373	FALSE
4324360	FALSE
829240	FALSE
1112192	FALSE
343315	FALSE
1787054	FALSE
543572	TRUE
205559	FALSE
149607	FALSE
646478	TRUE
292363	TRUE
469663	FALSE
799922	FALSE
221294	FALSE
2776653	FALSE
318309	TRUE
4443105	FALSE
70494	FALSE
201237	FALSE
239868	FALSE
512121	FALSE
541079	FALSE
351673	FALSE
3213372	FALSE
4463767	TRUE
1106960	TRUE
346656	TRUE
875451	TRUE
4441545	FALSE
182928	FALSE
825763	FALSE
206114	TRUE
2680784	TRUE
759250	TRUE
947115	TRUE
4312329	FALSE
235042	FALSE
3706429	FALSE
2401319	TRUE
21210	TRUE
4388994	FALSE
3058999	FALSE
778762	TRUE
4396740	FALSE
668615	TRUE
1731151	FALSE
590604	FALSE
246853	FALSE
304223	FALSE
4424553	FALSE
365956	TRUE
811257	TRUE
4365141	FALSE
540643	FALSE
10724	FALSE
4359533	FALSE
170883	FALSE
259809	FALSE
313174	TRUE
234654	TRUE
4392826	TRUE
772190	FALSE
331119	FALSE
4386366	FALSE
518263	TRUE
612198	FALSE
982282	FALSE
815435	FALSE
297256	FALSE
757894	FALSE
626867	FALSE
146126	TRUE
4375708	FALSE
362891	FALSE
65700	FALSE
782472	TRUE
2480553	FALSE
1104728	TRUE
4474787	FALSE
137866	TRUE
266549	TRUE
678059	FALSE
347853	FALSE
321346	FALSE
334363	TRUE
141106	TRUE
4073887	TRUE
4064681	FALSE
1048194	TRUE
619073	FALSE
2191823	TRUE
2183857	FALSE
544302	TRUE
224486	TRUE
810700	FALSE
2051733	FALSE
329032	FALSE
322919	FALSE
307760	TRUE
83514	TRUE
176775	FALSE
251620	FALSE
7511	FALSE
4427763	FALSE
4024143	FALSE
4282479	FALSE
3829182	FALSE
4426298	FALSE
1560939	FALSE
134174	FALSE
761132	TRUE
587607	FALSE
1128225	TRUE
4392535	FALSE
1104793	TRUE
4478053	TRUE
740676	FALSE
938948	FALSE
106690	FALSE
1006554	FALSE
214800	FALSE
3645942	FALSE
1087462	TRUE
4363948	TRUE
575143	TRUE
877509	FALSE
4314534	FALSE
4364838	FALSE
951711	TRUE
327767	TRUE
4434807	TRUE
2804901	FALSE
240641	FALSE
554984	FALSE
4475220	TRUE
262025	FALSE
4441046	FALSE
553623	TRUE
154682	FALSE
564586	TRUE
766554	FALSE
4221693	FALSE
4253641	TRUE
4475254	TRUE
1122084	FALSE
568330	TRUE
838990	FALSE
591394	FALSE
107274	FALSE
