	Aerobic
542933	TRUE
661170	TRUE
913229	TRUE
300387	FALSE
284672	FALSE
245599	TRUE
582931	FALSE
201237	FALSE
639712	FALSE
4479753	FALSE
1134274	TRUE
4433034	TRUE
702400	FALSE
23652	FALSE
130922	TRUE
4403779	FALSE
4376863	FALSE
255100	TRUE
724298	FALSE
114176	FALSE
552508	FALSE
931727	TRUE
567670	FALSE
220524	TRUE
830341	FALSE
3854077	FALSE
861192	FALSE
4254951	TRUE
1845162	TRUE
539735	TRUE
668615	TRUE
209886	FALSE
3297956	FALSE
2051733	FALSE
155521	TRUE
1603735	TRUE
4076076	FALSE
681357	FALSE
330263	FALSE
227130	FALSE
4453099	FALSE
529653	TRUE
4386366	FALSE
739464	FALSE
141154	TRUE
110317	FALSE
316573	TRUE
109057	FALSE
1136342	FALSE
4366342	FALSE
17901	TRUE
4451400	FALSE
808440	TRUE
114811	TRUE
298813	FALSE
154682	FALSE
1110814	FALSE
313493	TRUE
355762	FALSE
2191823	TRUE
252636	FALSE
835972	FALSE
234515	FALSE
4073887	TRUE
817013	TRUE
837605	FALSE
388833	FALSE
3905299	TRUE
578224	TRUE
98258	FALSE
2375130	TRUE
4343435	FALSE
302883	FALSE
4359327	TRUE
160300	TRUE
153007	TRUE
104310	TRUE
138575	FALSE
4478053	TRUE
2016519	FALSE
171126	TRUE
2326885	FALSE
1120649	FALSE
4469705	FALSE
788632	TRUE
1902911	TRUE
993127	FALSE
1128225	TRUE
2195623	FALSE
1145468	FALSE
307425	FALSE
646478	TRUE
4298787	FALSE
561066	FALSE
588787	TRUE
787877	FALSE
974817	TRUE
758320	FALSE
3240665	FALSE
626867	FALSE
830956	FALSE
350334	FALSE
842284	TRUE
569736	FALSE
4398746	TRUE
575143	TRUE
543724	FALSE
4332665	TRUE
92209	FALSE
574883	TRUE
1107679	FALSE
824974	FALSE
4382408	FALSE
456617	TRUE
270376	FALSE
195925	FALSE
569953	FALSE
1086805	FALSE
1106318	TRUE
3706429	FALSE
587051	FALSE
1144747	FALSE
39385	FALSE
3211673	FALSE
4397655	TRUE
335960	TRUE
1010113	FALSE
240170	FALSE
1560939	FALSE
4458619	TRUE
345093	TRUE
334709	FALSE
101553	FALSE
4322208	FALSE
2510845	FALSE
4367491	FALSE
2776654	FALSE
678059	FALSE
242119	FALSE
40401	FALSE
2932342	FALSE
313926	TRUE
4479618	FALSE
235042	FALSE
255671	FALSE
325677	TRUE
632346	FALSE
590604	FALSE
1003206	TRUE
824043	TRUE
4343075	FALSE
238940	TRUE
693124	FALSE
552183	FALSE
1107711	FALSE
285497	TRUE
4317477	TRUE
342224	FALSE
4374557	TRUE
2981825	FALSE
225370	FALSE
1107031	FALSE
513927	FALSE
4342531	FALSE
4466240	FALSE
1539143	FALSE
186867	TRUE
4297284	FALSE
1068470	TRUE
2738701	FALSE
4453726	FALSE
112337	TRUE
4342066	TRUE
689621	TRUE
2238644	FALSE
817451	TRUE
206114	TRUE
250908	FALSE
4409528	FALSE
4306040	FALSE
2579939	FALSE
633392	TRUE
587951	FALSE
335383	FALSE
2376926	FALSE
1787054	FALSE
2806353	TRUE
1026431	TRUE
2860880	FALSE
3956482	TRUE
132661	FALSE
624006	FALSE
141607	FALSE
1078375	FALSE
949545	TRUE
251620	FALSE
725347	FALSE
540643	FALSE
136286	FALSE
212239	TRUE
33606	FALSE
664541	FALSE
316772	FALSE
3685327	TRUE
544033	TRUE
353248	TRUE
4477837	FALSE
4388764	FALSE
4347887	FALSE
563796	FALSE
324488	TRUE
270104	FALSE
62921	FALSE
1040796	TRUE
316737	TRUE
4106309	FALSE
1114358	TRUE
237144	FALSE
1104793	TRUE
208171	TRUE
4298791	FALSE
978072	TRUE
150851	TRUE
4297214	FALSE
587581	FALSE
238741	TRUE
2853353	FALSE
565514	TRUE
552866	TRUE
1797097	FALSE
1766551	FALSE
549206	FALSE
239868	FALSE
317953	FALSE
210958	FALSE
314001	FALSE
766547	TRUE
1127642	TRUE
575252	TRUE
329032	FALSE
3290338	TRUE
3457597	FALSE
691008	FALSE
341460	FALSE
1132384	FALSE
556139	FALSE
4396860	FALSE
510839	FALSE
573757	TRUE
234196	TRUE
517031	TRUE
4313359	TRUE
331776	FALSE
542071	TRUE
4148176	FALSE
939545	FALSE
824904	FALSE
251153	FALSE
107506	FALSE
585568	TRUE
129508	FALSE
234654	TRUE
668009	FALSE
3348667	FALSE
72214	TRUE
