	Aerobic
151316	FALSE
2860	TRUE
836007	FALSE
4358878	FALSE
4478949	TRUE
4403105	FALSE
4456435	TRUE
575079	TRUE
109057	FALSE
644385	TRUE
4349537	TRUE
1678827	TRUE
227000	FALSE
4443384	TRUE
4463263	TRUE
4465584	TRUE
4375596	FALSE
587391	FALSE
3164102	FALSE
182038	FALSE
325904	FALSE
832359	TRUE
611320	FALSE
553974	FALSE
336986	FALSE
4420771	TRUE
4479618	FALSE
4387407	FALSE
98554	FALSE
4412803	TRUE
361402	FALSE
547139	TRUE
4416718	FALSE
1116149	FALSE
829116	FALSE
4421933	TRUE
551164	FALSE
4437259	FALSE
114811	TRUE
4184652	FALSE
1111553	TRUE
4411920	TRUE
238105	FALSE
677590	FALSE
557998	FALSE
4229057	FALSE
195246	FALSE
3760122	TRUE
159170	TRUE
4306533	FALSE
99933	FALSE
3867306	FALSE
232551	TRUE
4410004	TRUE
21210	TRUE
1856738	FALSE
570408	TRUE
266995	TRUE
566357	FALSE
3760117	FALSE
590476	FALSE
3208	TRUE
145637	TRUE
4398746	TRUE
150582	TRUE
661170	TRUE
535383	FALSE
210359	TRUE
849122	TRUE
1114110	FALSE
605566	FALSE
992246	FALSE
1132384	FALSE
571072	FALSE
539453	TRUE
1110665	TRUE
804325	TRUE
