	Aerobic
348570	FALSE
321047	TRUE
4463263	TRUE
1110665	TRUE
269030	FALSE
4421726	TRUE
4482745	TRUE
325735	TRUE
4400245	FALSE
4413099	FALSE
325904	FALSE
2860	TRUE
235969	TRUE
83595	FALSE
249365	FALSE
98258	FALSE
1132384	FALSE
4456771	FALSE
278735	FALSE
544033	TRUE
809980	TRUE
741691	FALSE
4479618	FALSE
316737	TRUE
320613	FALSE
699904	FALSE
570408	TRUE
2743133	FALSE
1108144	FALSE
305967	FALSE
309693	FALSE
2932342	FALSE
4018589	FALSE
4420771	TRUE
254686	FALSE
1537126	FALSE
67775	FALSE
114811	TRUE
3122805	TRUE
2374557	FALSE
574883	TRUE
427183	TRUE
325677	TRUE
72214	TRUE
2860880	FALSE
549144	FALSE
855812	FALSE
151344	FALSE
324488	TRUE
553318	FALSE
766044	FALSE
374897	FALSE
109057	FALSE
1107548	FALSE
1107711	FALSE
4443384	TRUE
661170	TRUE
230324	FALSE
554375	FALSE
4473308	FALSE
227717	FALSE
4398746	TRUE
218772	TRUE
282549	FALSE
4385170	TRUE
588112	FALSE
274011	TRUE
1107055	FALSE
4474035	FALSE
260801	FALSE
865520	TRUE
3025176	TRUE
1011514	FALSE
148761	FALSE
1766551	FALSE
949659	TRUE
310249	FALSE
100535	FALSE
2658745	FALSE
3085264	TRUE
4416783	TRUE
334709	FALSE
3429461	FALSE
837775	FALSE
309577	FALSE
330263	FALSE
4461079	TRUE
361402	FALSE
227000	FALSE
171397	TRUE
636022	FALSE
208171	TRUE
3154121	FALSE
1112192	FALSE
343315	FALSE
1787054	FALSE
1108984	TRUE
4355195	FALSE
543572	TRUE
252636	FALSE
4340148	FALSE
836059	FALSE
2776653	FALSE
318309	TRUE
70494	FALSE
835972	FALSE
333593	TRUE
3852555	FALSE
1107679	FALSE
801421	FALSE
702400	FALSE
151316	FALSE
4369319	FALSE
1539143	FALSE
2401319	TRUE
21210	TRUE
2194481	FALSE
4396740	FALSE
553974	FALSE
365956	TRUE
255470	FALSE
808539	TRUE
677590	FALSE
572137	TRUE
540643	FALSE
14134	FALSE
513117	FALSE
4366536	FALSE
1114496	FALSE
1106925	FALSE
536121	FALSE
170883	FALSE
4392826	TRUE
149984	FALSE
4375615	FALSE
341734	FALSE
2195623	FALSE
757894	FALSE
573032	FALSE
626867	FALSE
362891	FALSE
698647	TRUE
760733	FALSE
237482	TRUE
551347	FALSE
499902	FALSE
590548	TRUE
347853	FALSE
321346	FALSE
320758	FALSE
334363	TRUE
4064681	FALSE
159170	TRUE
265874	TRUE
4456435	TRUE
575079	TRUE
1109402	TRUE
587505	FALSE
583231	FALSE
4475608	FALSE
571072	FALSE
740676	FALSE
605566	FALSE
313522	FALSE
509377	TRUE
585574	FALSE
569893	TRUE
2062934	FALSE
345093	TRUE
1109106	FALSE
230061	FALSE
4475254	TRUE
563202	TRUE
310378	TRUE
566357	FALSE
672345	TRUE
591394	FALSE
228873	FALSE
107274	FALSE
352526	FALSE
255100	TRUE
563693	TRUE
256652	FALSE
209886	FALSE
237991	FALSE
523133	FALSE
441828	FALSE
3867306	FALSE
4156020	FALSE
2710	FALSE
557998	FALSE
1062748	TRUE
3685327	TRUE
1132905	FALSE
811810	FALSE
260605	FALSE
4374557	TRUE
1120649	FALSE
4481373	TRUE
832359	TRUE
185410	TRUE
4359640	FALSE
1856738	FALSE
819561	TRUE
684320	FALSE
346201	FALSE
1016465	FALSE
1111255	FALSE
749802	FALSE
581316	TRUE
28793	FALSE
1109458	TRUE
164443	TRUE
609371	FALSE
242119	FALSE
4362093	TRUE
1144747	FALSE
147773	FALSE
727834	FALSE
108544	FALSE
1110985	FALSE
4465584	TRUE
107506	FALSE
262657	FALSE
833553	TRUE
