	Aerobic
1109245	FALSE
2326885	FALSE
3041662	TRUE
4461101	TRUE
356942	TRUE
4300389	FALSE
1065569	FALSE
701393	FALSE
2550290	FALSE
3760117	FALSE
226126	FALSE
4425801	TRUE
4374027	FALSE
2845471	FALSE
806354	TRUE
819910	TRUE
2153555	TRUE
300387	FALSE
588995	FALSE
4480305	FALSE
4374816	FALSE
4466618	FALSE
110976	FALSE
550937	TRUE
2317377	TRUE
4329303	TRUE
4437259	FALSE
1135388	TRUE
578659	TRUE
165687	TRUE
4451400	FALSE
129508	FALSE
3837757	FALSE
4358716	TRUE
978072	TRUE
278097	FALSE
160903	FALSE
137516	FALSE
253488	TRUE
539508	TRUE
3114957	FALSE
571304	TRUE
821884	FALSE
155521	TRUE
3240665	FALSE
867135	TRUE
1130212	TRUE
256575	FALSE
244247	FALSE
810119	TRUE
809730	TRUE
1015143	FALSE
104788	TRUE
347501	FALSE
154412	FALSE
4475161	FALSE
1114337	FALSE
585568	TRUE
531374	FALSE
4326288	FALSE
573599	TRUE
516022	FALSE
38435	FALSE
1140434	FALSE
1112543	FALSE
258327	FALSE
353181	FALSE
554911	FALSE
685178	FALSE
515169	FALSE
1107771	FALSE
786067	TRUE
565917	TRUE
336306	FALSE
536947	TRUE
710897	TRUE
804742	TRUE
512414	FALSE
132661	FALSE
514080	FALSE
529653	TRUE
511931	FALSE
40401	FALSE
4357413	FALSE
4342076	FALSE
4343435	FALSE
806026	FALSE
112259	FALSE
112352	FALSE
14917	FALSE
217797	FALSE
441828	FALSE
4334638	TRUE
2055428	FALSE
761601	FALSE
257221	FALSE
725347	FALSE
817013	TRUE
2153390	FALSE
832001	FALSE
571176	FALSE
509138	FALSE
4359327	TRUE
4469032	FALSE
1107031	FALSE
2775220	TRUE
317953	FALSE
237144	FALSE
4343065	FALSE
3900309	FALSE
806133	TRUE
1845162	TRUE
4409036	FALSE
4345060	TRUE
758112	FALSE
201361	FALSE
225370	FALSE
976441	TRUE
1114358	TRUE
565514	TRUE
766547	TRUE
4387158	FALSE
141607	FALSE
790466	FALSE
339359	FALSE
681073	FALSE
4372908	FALSE
62921	FALSE
3192521	FALSE
591043	FALSE
4325392	FALSE
517031	TRUE
1126195	TRUE
1078375	FALSE
1742482	FALSE
14475	FALSE
1118132	FALSE
3348667	FALSE
4396041	TRUE
818357	FALSE
107461	TRUE
812016	FALSE
1108706	FALSE
585063	TRUE
262768	FALSE
190843	FALSE
4351262	FALSE
1135562	TRUE
725769	FALSE
558772	FALSE
350334	FALSE
849585	TRUE
321533	TRUE
331649	FALSE
591796	FALSE
920506	FALSE
1856738	FALSE
252063	FALSE
4342056	FALSE
99912	FALSE
114176	FALSE
569884	FALSE
62707	TRUE
819298	FALSE
4425615	TRUE
563796	FALSE
72926	FALSE
194024	FALSE
370067	FALSE
582609	FALSE
357342	TRUE
1120876	FALSE
96373	FALSE
829240	FALSE
153521	FALSE
536796	TRUE
447843	FALSE
968354	TRUE
205559	FALSE
149607	FALSE
4076076	FALSE
646478	TRUE
469663	FALSE
799922	FALSE
532762	FALSE
221294	FALSE
4266055	FALSE
2920448	FALSE
864067	FALSE
4443105	FALSE
201237	FALSE
239868	FALSE
512121	FALSE
357329	FALSE
174842	FALSE
3211673	FALSE
533420	FALSE
351673	FALSE
3213372	FALSE
4463767	TRUE
346656	TRUE
875451	TRUE
4441545	FALSE
182928	FALSE
333130	FALSE
825763	FALSE
206114	TRUE
2680784	TRUE
947115	TRUE
1129706	TRUE
235042	FALSE
3706429	FALSE
4388994	FALSE
240641	FALSE
3058999	FALSE
778762	TRUE
304223	FALSE
4442779	TRUE
4424553	FALSE
811257	TRUE
4365141	FALSE
10724	FALSE
4359533	FALSE
259809	FALSE
4053303	TRUE
772190	FALSE
1119266	FALSE
572843	FALSE
331119	FALSE
4386366	FALSE
612198	FALSE
815435	FALSE
810893	FALSE
297256	FALSE
974817	TRUE
4375708	FALSE
2480553	FALSE
244568	TRUE
4343075	FALSE
1104728	TRUE
4474787	FALSE
137866	TRUE
266549	TRUE
348570	FALSE
1048194	TRUE
619073	FALSE
2183857	FALSE
4106309	FALSE
544302	TRUE
224486	TRUE
810700	FALSE
329032	FALSE
322919	FALSE
307760	TRUE
236051	FALSE
83514	TRUE
1114110	FALSE
2247631	FALSE
7511	FALSE
460236	FALSE
110525	FALSE
4282479	FALSE
4426298	FALSE
270636	FALSE
134174	FALSE
761132	TRUE
587607	FALSE
4353625	FALSE
4392535	FALSE
322661	FALSE
1104793	TRUE
4309252	FALSE
4478053	TRUE
548196	FALSE
938948	FALSE
249848	FALSE
533742	FALSE
1006554	FALSE
214800	FALSE
3645942	FALSE
1087462	TRUE
4363948	TRUE
575143	TRUE
877509	FALSE
4314534	FALSE
4364838	FALSE
951711	TRUE
327767	TRUE
4434807	TRUE
342034	FALSE
554984	FALSE
590314	TRUE
262025	FALSE
4441046	FALSE
553623	TRUE
564586	TRUE
1122084	FALSE
4466240	FALSE
568330	TRUE
838990	FALSE
260011	FALSE
563811	TRUE
4367855	TRUE
327945	TRUE
1591297	FALSE
4295177	FALSE
111464	TRUE
1967331	FALSE
110155	TRUE
181641	FALSE
1107339	FALSE
4462887	FALSE
4357289	TRUE
1136795	FALSE
962249	FALSE
4427701	FALSE
240451	TRUE
150851	TRUE
590604	FALSE
806030	FALSE
741867	TRUE
3038460	TRUE
238940	TRUE
2181341	TRUE
166728	FALSE
154435	FALSE
1040796	TRUE
538178	FALSE
330888	FALSE
4299608	TRUE
17901	TRUE
4452877	FALSE
1016369	FALSE
3660402	FALSE
146556	FALSE
4413502	FALSE
1124207	FALSE
688533	FALSE
237131	FALSE
250908	FALSE
4328659	FALSE
931727	TRUE
4215051	FALSE
2221063	FALSE
808440	TRUE
354725	TRUE
539866	TRUE
4451743	FALSE
3825329	FALSE
724665	TRUE
70071	TRUE
1139618	FALSE
575252	TRUE
830956	FALSE
166322	FALSE
3860285	FALSE
2853353	FALSE
538238	TRUE
159584	FALSE
104179	FALSE
1136342	FALSE
254116	FALSE
2238644	FALSE
567670	FALSE
99430	TRUE
582814	FALSE
275384	FALSE
224880	TRUE
341460	FALSE
804325	TRUE
1087298	TRUE
933546	TRUE
693333	FALSE
1105163	FALSE
2981822	FALSE
570595	TRUE
4304971	FALSE
694505	FALSE
22928	FALSE
525841	FALSE
2804605	FALSE
1106085	FALSE
4319936	TRUE
554981	FALSE
580438	FALSE
249115	FALSE
825260	FALSE
254951	TRUE
207780	TRUE
589277	FALSE
4446915	FALSE
4465803	FALSE
335960	TRUE
664541	FALSE
563693	TRUE
2143302	FALSE
164969	FALSE
535910	TRUE
158932	FALSE
135965	TRUE
3290338	TRUE
83349	FALSE
3045868	FALSE
824974	FALSE
