	Aerobic
707290	TRUE
201237	FALSE
4478586	TRUE
537062	TRUE
552508	FALSE
153594	TRUE
948180	FALSE
668615	TRUE
155521	TRUE
830956	FALSE
351673	FALSE
585063	TRUE
4451400	FALSE
554981	FALSE
1130212	TRUE
1142199	TRUE
817013	TRUE
238741	TRUE
3905299	TRUE
4359327	TRUE
104310	TRUE
2130193	TRUE
993127	FALSE
626867	FALSE
2480553	FALSE
1139117	TRUE
829240	FALSE
4305935	FALSE
515169	FALSE
4393921	TRUE
1144747	FALSE
1560939	FALSE
4458619	TRUE
439457	FALSE
787663	FALSE
101553	FALSE
575143	TRUE
1136762	TRUE
255671	FALSE
590604	FALSE
2153555	TRUE
4340816	FALSE
270636	FALSE
1068470	TRUE
112337	TRUE
689621	TRUE
4394095	TRUE
3956482	TRUE
132661	FALSE
276370	FALSE
1078375	FALSE
212239	TRUE
745395	TRUE
563796	FALSE
962249	FALSE
525841	FALSE
104179	FALSE
4106309	FALSE
1136342	FALSE
1126195	TRUE
4480305	FALSE
3253	TRUE
565514	TRUE
210958	FALSE
1127642	TRUE
329032	FALSE
341460	FALSE
994959	FALSE
275105	TRUE
523593	TRUE
83514	TRUE
3348667	FALSE
11282	FALSE
4427701	FALSE
531374	FALSE
112962	FALSE
539866	TRUE
235527	FALSE
333130	FALSE
4446915	FALSE
14475	FALSE
538679	FALSE
4467056	FALSE
297256	FALSE
60179	FALSE
4195126	FALSE
1135562	TRUE
951711	TRUE
4304971	FALSE
4319936	TRUE
4404172	TRUE
761601	FALSE
1087298	TRUE
313174	TRUE
882018	TRUE
3192521	FALSE
1104793	TRUE
761592	TRUE
539313	TRUE
4481861	TRUE
1059762	FALSE
533420	FALSE
539508	TRUE
254951	TRUE
1010113	FALSE
1140185	FALSE
342034	FALSE
993455	TRUE
541244	FALSE
10724	FALSE
807851	FALSE
88754	FALSE
320773	FALSE
540940	FALSE
1107031	FALSE
146126	TRUE
574835	FALSE
136608	FALSE
546268	FALSE
758112	FALSE
539735	TRUE
262096	TRUE
4406621	FALSE
166322	FALSE
4434807	TRUE
4329788	FALSE
1106960	TRUE
2143302	FALSE
782472	TRUE
804742	TRUE
1104728	TRUE
254116	FALSE
4357413	FALSE
4358716	TRUE
366545	TRUE
921110	FALSE
1129931	TRUE
3944484	FALSE
4363948	TRUE
4442779	TRUE
4369968	FALSE
225041	FALSE
933546	TRUE
3290338	TRUE
2775220	TRUE
828806	FALSE
1640195	FALSE
3555019	FALSE
336306	FALSE
176775	FALSE
4253641	TRUE
539547	FALSE
207780	TRUE
840347	TRUE
968354	TRUE
511931	FALSE
4053303	TRUE
1016369	FALSE
4374109	TRUE
304211	FALSE
225187	TRUE
301921	FALSE
574883	TRUE
81639	FALSE
920506	FALSE
4389389	FALSE
848713	FALSE
110755	FALSE
1015143	FALSE
469663	FALSE
4298967	FALSE
4465677	FALSE
538600	FALSE
693333	FALSE
576076	FALSE
966091	TRUE
4394926	FALSE
135965	TRUE
99430	TRUE
4295177	FALSE
581821	TRUE
806354	TRUE
174755	FALSE
114498	FALSE
718758	FALSE
4441046	FALSE
