	Aerobic
661170	TRUE
707290	TRUE
2860	TRUE
591796	FALSE
4353625	FALSE
201237	FALSE
136025	TRUE
702400	FALSE
130922	TRUE
4478586	TRUE
342224	FALSE
4376863	FALSE
1016465	FALSE
537062	TRUE
552508	FALSE
931727	TRUE
153594	TRUE
948180	FALSE
341734	FALSE
70494	FALSE
668615	TRUE
4452721	TRUE
343315	FALSE
155521	TRUE
830956	FALSE
141154	TRUE
4456435	TRUE
354725	TRUE
351673	FALSE
590476	FALSE
109057	FALSE
585063	TRUE
4451400	FALSE
554981	FALSE
299227	FALSE
1047041	TRUE
1130212	TRUE
1142199	TRUE
4473655	TRUE
817013	TRUE
238741	TRUE
3905299	TRUE
98258	FALSE
354518	FALSE
4359327	TRUE
104310	TRUE
569893	TRUE
2130193	TRUE
938948	FALSE
993127	FALSE
814721	TRUE
626867	FALSE
3575253	FALSE
4398746	TRUE
282549	FALSE
2480553	FALSE
1139117	TRUE
829240	FALSE
227000	FALSE
352526	FALSE
4305935	FALSE
739464	FALSE
515169	FALSE
4393921	TRUE
1144747	FALSE
4358878	FALSE
1560939	FALSE
4458619	TRUE
439457	FALSE
787663	FALSE
572843	FALSE
164443	TRUE
101553	FALSE
575143	TRUE
325904	FALSE
2932342	FALSE
1136762	TRUE
255671	FALSE
590604	FALSE
2153555	TRUE
4340816	FALSE
285497	TRUE
4374557	TRUE
270636	FALSE
225370	FALSE
1106925	FALSE
1068470	TRUE
112337	TRUE
4342066	TRUE
689621	TRUE
321346	FALSE
4394095	TRUE
3164102	FALSE
591394	FALSE
4327197	FALSE
836059	FALSE
3956482	TRUE
132661	FALSE
276370	FALSE
141607	FALSE
1078375	FALSE
540643	FALSE
832359	TRUE
611320	FALSE
212239	TRUE
3471198	FALSE
316772	FALSE
837775	FALSE
745395	TRUE
563796	FALSE
962249	FALSE
525841	FALSE
327767	TRUE
104179	FALSE
4106309	FALSE
4369009	FALSE
98554	FALSE
1115987	TRUE
1136342	FALSE
1126195	TRUE
4480305	FALSE
3253	TRUE
306254	FALSE
2853353	FALSE
565514	TRUE
365956	TRUE
361402	FALSE
1766551	FALSE
210958	FALSE
1127642	TRUE
575252	TRUE
329032	FALSE
557211	FALSE
341460	FALSE
994959	FALSE
4416718	FALSE
242585	FALSE
3025176	TRUE
275105	TRUE
238940	TRUE
523593	TRUE
83514	TRUE
3348667	FALSE
4374816	FALSE
150582	TRUE
11282	FALSE
543572	TRUE
4427701	FALSE
785565	FALSE
149607	FALSE
531374	FALSE
4392549	FALSE
325735	TRUE
4437259	FALSE
578659	TRUE
112962	FALSE
539866	TRUE
1112192	FALSE
235527	FALSE
333130	FALSE
1111553	TRUE
4479618	FALSE
1603735	TRUE
571072	FALSE
4446915	FALSE
4336253	TRUE
318061	TRUE
566357	FALSE
566771	FALSE
4314926	FALSE
960695	FALSE
14475	FALSE
4411920	TRUE
538679	FALSE
4467056	FALSE
254888	FALSE
297256	FALSE
238105	FALSE
585568	TRUE
639286	FALSE
60179	FALSE
4195126	FALSE
569884	FALSE
313522	FALSE
1135562	TRUE
4355195	FALSE
951711	TRUE
305967	FALSE
4304971	FALSE
1112543	FALSE
4319936	TRUE
1011514	FALSE
158026	FALSE
4404172	TRUE
761601	FALSE
3760122	TRUE
1087298	TRUE
251001	TRUE
313174	TRUE
428807	FALSE
1856738	FALSE
882018	TRUE
572150	TRUE
3192521	FALSE
1104793	TRUE
323712	TRUE
761592	TRUE
150441	TRUE
60638	TRUE
539313	TRUE
4481861	TRUE
1059762	FALSE
533420	FALSE
583231	FALSE
539508	TRUE
254951	TRUE
563693	TRUE
1010113	FALSE
806030	FALSE
1140185	FALSE
342034	FALSE
3867306	FALSE
993455	TRUE
943138	TRUE
541244	FALSE
605566	FALSE
10724	FALSE
807851	FALSE
4396740	FALSE
88754	FALSE
320773	FALSE
540940	FALSE
1107031	FALSE
146126	TRUE
271524	TRUE
4443384	TRUE
736040	FALSE
574835	FALSE
230061	FALSE
4410004	TRUE
758023	FALSE
136608	FALSE
546268	FALSE
758112	FALSE
636022	FALSE
539735	TRUE
262096	TRUE
235042	FALSE
512873	TRUE
4406621	FALSE
166322	FALSE
4434807	TRUE
570408	TRUE
