	Anaerobic
4342317	FALSE
2326885	FALSE
3041662	FALSE
279230	TRUE
356942	FALSE
1065569	FALSE
797985	FALSE
4359077	FALSE
4314534	TRUE
4374027	TRUE
2845471	FALSE
1139618	FALSE
4341881	FALSE
1928988	FALSE
806354	FALSE
2153555	FALSE
124193	FALSE
300387	FALSE
588995	FALSE
4480305	TRUE
3114949	FALSE
4466618	FALSE
1500147	FALSE
3071921	TRUE
2317377	FALSE
1135388	FALSE
863019	FALSE
98258	FALSE
908948	TRUE
20957	FALSE
4451400	TRUE
212239	FALSE
210958	TRUE
544033	FALSE
249243	FALSE
141607	FALSE
978072	FALSE
110321	FALSE
4323443	TRUE
3114957	FALSE
821884	TRUE
3506234	TRUE
257821	TRUE
611009	FALSE
2163606	TRUE
1130212	FALSE
1087298	FALSE
810119	FALSE
3900309	TRUE
1015143	FALSE
104788	FALSE
321103	TRUE
107506	FALSE
347501	FALSE
4427218	FALSE
104310	FALSE
783892	FALSE
4369968	TRUE
832260	FALSE
241895	FALSE
531374	TRUE
1123395	FALSE
833257	FALSE
516022	FALSE
38435	FALSE
181641	FALSE
622992	FALSE
515169	FALSE
536947	FALSE
804742	FALSE
132661	FALSE
157266	TRUE
511931	FALSE
275275	TRUE
3382	FALSE
4357413	TRUE
4343435	FALSE
112259	FALSE
1111413	FALSE
217797	TRUE
441828	FALSE
761601	FALSE
4409036	FALSE
725347	FALSE
817013	FALSE
4465677	TRUE
4443105	FALSE
4359327	FALSE
4469032	FALSE
1059762	FALSE
1109245	FALSE
4195126	FALSE
2775220	FALSE
221107	FALSE
758112	TRUE
201361	FALSE
225370	TRUE
1114358	FALSE
4385942	FALSE
2528843	FALSE
2599642	TRUE
790466	TRUE
339359	TRUE
62921	FALSE
1107031	TRUE
313493	FALSE
1142199	FALSE
591043	FALSE
112962	FALSE
4325392	TRUE
517031	FALSE
1126195	FALSE
1078375	FALSE
354247	FALSE
14475	FALSE
1118132	FALSE
3348667	FALSE
4440517	FALSE
1124068	FALSE
7229	FALSE
4378239	FALSE
5137	FALSE
439457	FALSE
107461	FALSE
679745	TRUE
1108706	FALSE
4374109	FALSE
4340807	TRUE
262768	FALSE
669611	FALSE
4408637	TRUE
4351262	TRUE
209523	FALSE
136286	FALSE
2216255	FALSE
558772	FALSE
350334	FALSE
3070042	FALSE
849585	FALSE
920506	TRUE
1856738	TRUE
546441	FALSE
99912	FALSE
351929	FALSE
2718033	FALSE
348170	FALSE
3956482	FALSE
62707	FALSE
206386	FALSE
563796	FALSE
72926	TRUE
140105	FALSE
194024	FALSE
113467	FALSE
1134274	FALSE
582609	TRUE
357342	FALSE
96373	FALSE
1120876	TRUE
829240	FALSE
2781721	FALSE
968354	FALSE
149607	FALSE
646478	FALSE
1845162	FALSE
469663	TRUE
2055428	FALSE
864067	TRUE
239868	FALSE
512121	TRUE
174842	TRUE
848713	FALSE
533420	TRUE
351673	TRUE
3213372	FALSE
1106960	FALSE
206114	FALSE
301880	TRUE
759250	FALSE
101553	FALSE
1016369	FALSE
3706429	FALSE
809730	FALSE
240641	TRUE
643757	FALSE
696477	TRUE
668615	FALSE
1731151	TRUE
590604	TRUE
137183	TRUE
4442779	FALSE
203626	FALSE
4365141	FALSE
761592	FALSE
4353625	FALSE
258655	FALSE
313174	FALSE
234654	FALSE
166322	TRUE
201724	FALSE
4386366	FALSE
518263	FALSE
4311215	FALSE
4434699	FALSE
815435	FALSE
810893	TRUE
297256	FALSE
867135	FALSE
317953	FALSE
146126	FALSE
4375708	TRUE
782472	FALSE
2480553	TRUE
244568	FALSE
4436510	FALSE
331119	TRUE
1104728	FALSE
276370	FALSE
345093	FALSE
678059	FALSE
