	Anaerobic
2672863	FALSE
4455980	FALSE
537062	FALSE
552508	TRUE
137866	FALSE
948180	FALSE
155521	FALSE
4416783	FALSE
254116	FALSE
585063	FALSE
554981	FALSE
1130212	FALSE
878161	FALSE
351673	TRUE
73609	FALSE
240049	TRUE
534698	FALSE
4344228	TRUE
569951	FALSE
4465164	TRUE
993127	TRUE
4248322	FALSE
525841	FALSE
1139117	FALSE
829240	FALSE
113207	TRUE
37747	FALSE
4324601	TRUE
633535	FALSE
1144747	FALSE
439457	FALSE
787663	TRUE
248468	FALSE
572843	FALSE
164443	FALSE
288743	FALSE
307425	FALSE
1136762	FALSE
255671	TRUE
3603301	FALSE
2153555	FALSE
225370	TRUE
337036	FALSE
718979	FALSE
10724	FALSE
544480	FALSE
20957	FALSE
574883	FALSE
276370	FALSE
3471198	TRUE
329004	TRUE
141607	FALSE
313235	TRUE
3208272	TRUE
569119	FALSE
727834	TRUE
960695	FALSE
1136342	TRUE
3253	FALSE
851938	FALSE
365956	FALSE
724665	FALSE
112750	TRUE
341460	FALSE
242585	FALSE
238940	FALSE
1109245	FALSE
83514	FALSE
4309252	TRUE
4374816	FALSE
240451	FALSE
904196	FALSE
626867	FALSE
11282	FALSE
543572	FALSE
4375708	TRUE
933546	FALSE
563194	FALSE
1140434	FALSE
4459021	TRUE
112962	FALSE
539866	FALSE
195246	TRUE
1011514	FALSE
210958	TRUE
4446915	FALSE
4314926	FALSE
1108632	FALSE
4467056	FALSE
297256	FALSE
4451400	TRUE
550937	FALSE
60179	FALSE
361402	FALSE
306254	TRUE
4446152	FALSE
4441046	TRUE
2147801	FALSE
4319936	FALSE
158026	FALSE
4329000	FALSE
1111883	FALSE
882018	FALSE
575143	FALSE
4330745	FALSE
279230	TRUE
346431	FALSE
4347078	FALSE
2366094	TRUE
1009173	FALSE
539313	FALSE
533420	TRUE
1140185	FALSE
4298967	TRUE
541244	FALSE
427183	FALSE
590476	FALSE
88754	FALSE
540940	FALSE
1131309	FALSE
2140895	FALSE
137183	TRUE
4409442	FALSE
758023	FALSE
4464567	FALSE
539735	FALSE
547736	TRUE
4436510	FALSE
706500	FALSE
132661	FALSE
325346	TRUE
4388765	FALSE
4339351	FALSE
804742	FALSE
1085646	FALSE
4311518	FALSE
4358716	FALSE
565514	FALSE
211593	FALSE
542933	FALSE
921110	FALSE
696532	FALSE
822328	FALSE
3944484	FALSE
4281045	TRUE
4363948	FALSE
241760	FALSE
300618	TRUE
4369968	TRUE
3290338	FALSE
2775220	FALSE
3992842	FALSE
11427	FALSE
336306	FALSE
840347	FALSE
207780	FALSE
4327787	FALSE
241895	FALSE
4325199	TRUE
868555	FALSE
1016369	FALSE
4374109	FALSE
4334049	FALSE
304211	TRUE
386273	TRUE
333593	FALSE
81639	TRUE
920506	TRUE
848713	FALSE
1015143	FALSE
4394926	FALSE
22928	FALSE
4024061	TRUE
586013	FALSE
576076	FALSE
4362093	FALSE
575533	FALSE
225187	FALSE
4442779	FALSE
4018589	TRUE
135965	FALSE
562701	FALSE
581821	FALSE
553974	TRUE
1010113	FALSE
172055	TRUE
1967331	FALSE
114498	TRUE
584331	FALSE
