	Anaerobic
321047	FALSE
4463263	FALSE
1110665	FALSE
269030	FALSE
4421726	FALSE
325735	FALSE
4413099	FALSE
325904	FALSE
2860	FALSE
83595	FALSE
249365	FALSE
1132384	TRUE
544033	FALSE
809980	FALSE
741691	FALSE
320613	FALSE
699904	FALSE
570408	FALSE
1108144	FALSE
2932342	TRUE
155521	FALSE
4420771	FALSE
254686	FALSE
114811	FALSE
531374	TRUE
2860880	FALSE
1112543	TRUE
353181	FALSE
151344	TRUE
324488	FALSE
553318	FALSE
374897	FALSE
1107711	TRUE
661170	FALSE
230324	FALSE
554375	TRUE
509138	FALSE
227717	FALSE
4398746	FALSE
4385170	FALSE
588112	TRUE
4474035	FALSE
681073	FALSE
1011514	FALSE
1766551	TRUE
2658745	TRUE
3085264	FALSE
837775	FALSE
309577	TRUE
4461079	FALSE
227000	TRUE
569884	TRUE
208171	FALSE
3154121	FALSE
343315	FALSE
1108984	FALSE
536796	FALSE
4355195	TRUE
4076076	FALSE
836059	FALSE
2776653	FALSE
318309	FALSE
70494	TRUE
3852555	TRUE
1107679	TRUE
801421	TRUE
151316	FALSE
235042	FALSE
4369319	FALSE
1539143	FALSE
4369009	FALSE
2401319	FALSE
4388994	FALSE
2194481	FALSE
553974	TRUE
811257	FALSE
808539	FALSE
572137	FALSE
540643	TRUE
513117	TRUE
4366536	FALSE
1114496	TRUE
1106925	TRUE
536121	FALSE
4392826	FALSE
149984	FALSE
341734	FALSE
573032	TRUE
698647	FALSE
237482	FALSE
551347	TRUE
4474787	FALSE
499902	FALSE
590548	FALSE
347853	FALSE
320758	FALSE
334363	FALSE
159170	FALSE
4456435	FALSE
1109402	FALSE
110525	FALSE
583231	FALSE
4475608	FALSE
605566	FALSE
585574	FALSE
569893	FALSE
327767	FALSE
230061	TRUE
4475254	FALSE
563202	FALSE
310378	FALSE
566357	TRUE
591394	TRUE
107274	FALSE
352526	FALSE
4462887	FALSE
4156020	TRUE
2710	FALSE
557998	FALSE
1062748	FALSE
3685327	FALSE
538178	FALSE
811810	TRUE
260605	TRUE
4374557	FALSE
1120649	TRUE
4481373	FALSE
250908	TRUE
931727	FALSE
832359	FALSE
354725	FALSE
4359640	FALSE
830956	TRUE
819561	FALSE
684320	TRUE
1016465	FALSE
1111255	FALSE
441828	FALSE
28793	FALSE
1109458	FALSE
224880	FALSE
4362093	FALSE
1144747	FALSE
108544	TRUE
1110985	FALSE
4465584	FALSE
164969	TRUE
262657	TRUE
