	Anaerobic
542933	FALSE
913229	FALSE
300387	FALSE
284672	FALSE
201237	FALSE
639712	FALSE
702400	TRUE
130922	FALSE
691392	FALSE
552508	TRUE
220524	FALSE
539735	FALSE
668615	FALSE
155521	FALSE
830956	TRUE
141154	FALSE
109057	FALSE
1136342	TRUE
4451400	TRUE
808440	FALSE
298813	FALSE
313493	FALSE
234515	TRUE
817013	FALSE
3905299	FALSE
578224	FALSE
302883	FALSE
4359327	FALSE
104310	FALSE
171126	FALSE
788632	FALSE
993127	TRUE
307425	FALSE
626867	FALSE
575143	FALSE
4332665	FALSE
1144747	FALSE
1010113	FALSE
240170	FALSE
1560939	TRUE
4458619	FALSE
572843	FALSE
101553	FALSE
4367491	TRUE
2932342	TRUE
235042	FALSE
558101	FALSE
255671	TRUE
325677	FALSE
632346	FALSE
1003206	FALSE
285497	FALSE
4374557	FALSE
225370	TRUE
1107031	TRUE
1068470	FALSE
112337	FALSE
4342066	FALSE
689621	FALSE
2806353	FALSE
1026431	FALSE
3956482	FALSE
132661	FALSE
141607	FALSE
1078375	FALSE
136286	FALSE
212239	FALSE
316772	FALSE
563796	FALSE
1040796	FALSE
4106309	TRUE
4298791	TRUE
150851	FALSE
4441046	TRUE
2297428	TRUE
4297214	TRUE
238741	FALSE
1104662	TRUE
2853353	TRUE
565514	FALSE
1104793	FALSE
210958	TRUE
1127642	FALSE
329032	FALSE
341460	FALSE
573757	FALSE
1109245	FALSE
275105	FALSE
238940	FALSE
939545	TRUE
3348667	FALSE
557211	FALSE
321346	TRUE
543572	FALSE
3076501	FALSE
4387837	FALSE
4298967	TRUE
235527	TRUE
333130	TRUE
660076	FALSE
14475	FALSE
994959	FALSE
594000	TRUE
274447	FALSE
348570	FALSE
4195126	FALSE
1087298	FALSE
114821	TRUE
1011514	FALSE
761601	FALSE
800841	FALSE
313174	FALSE
3192521	FALSE
4388994	FALSE
1135562	FALSE
179922	TRUE
761592	FALSE
469663	TRUE
255802	FALSE
4481861	FALSE
1059762	FALSE
539508	FALSE
4377104	FALSE
254951	FALSE
806030	FALSE
342034	FALSE
993455	FALSE
943138	FALSE
10724	FALSE
320773	TRUE
146126	FALSE
434004	FALSE
574883	FALSE
574835	FALSE
2401319	FALSE
4357289	FALSE
566771	TRUE
3991527	FALSE
590476	FALSE
247441	FALSE
548050	TRUE
291315	TRUE
166322	TRUE
4454356	FALSE
1106960	FALSE
790466	TRUE
584239	FALSE
686219	FALSE
60179	FALSE
832359	FALSE
2317377	FALSE
736302	FALSE
782472	FALSE
582813	FALSE
4378239	FALSE
1108952	FALSE
146556	FALSE
211593	FALSE
331119	TRUE
200584	FALSE
2572948	TRUE
1129931	FALSE
330888	TRUE
4394095	FALSE
829240	FALSE
585063	FALSE
179879	FALSE
882018	FALSE
581316	FALSE
99430	FALSE
4481373	FALSE
225041	FALSE
1016369	FALSE
1640195	FALSE
310249	TRUE
3555019	TRUE
639286	TRUE
3085264	FALSE
4253641	FALSE
539547	FALSE
207780	FALSE
354725	FALSE
931727	FALSE
4317477	FALSE
4451743	FALSE
329004	TRUE
344676	FALSE
225187	FALSE
301921	FALSE
238105	FALSE
110755	FALSE
571304	FALSE
1130890	FALSE
4465677	TRUE
104610	FALSE
4430489	FALSE
693333	FALSE
518752	FALSE
427183	FALSE
344914	FALSE
269907	TRUE
4404172	FALSE
966091	FALSE
1112543	TRUE
3760122	FALSE
806354	FALSE
538679	FALSE
4359533	FALSE
1028542	TRUE
4330745	FALSE
538178	FALSE
