	Anaerobic
542933	FALSE
661170	FALSE
913229	FALSE
300387	FALSE
284672	FALSE
245599	FALSE
582931	TRUE
201237	FALSE
639712	FALSE
4479753	FALSE
1134274	FALSE
4433034	FALSE
702400	TRUE
23652	FALSE
130922	FALSE
4403779	FALSE
4376863	TRUE
255100	FALSE
724298	TRUE
114176	FALSE
552508	TRUE
931727	FALSE
567670	FALSE
220524	FALSE
830341	FALSE
3854077	FALSE
861192	TRUE
4254951	FALSE
1845162	FALSE
539735	FALSE
668615	FALSE
209886	TRUE
3297956	TRUE
2051733	TRUE
155521	FALSE
1603735	FALSE
4076076	FALSE
681357	TRUE
330263	TRUE
227130	TRUE
4453099	FALSE
529653	FALSE
4386366	FALSE
739464	TRUE
141154	FALSE
110317	TRUE
316573	FALSE
109057	FALSE
1136342	TRUE
4366342	TRUE
17901	FALSE
4451400	TRUE
808440	FALSE
114811	FALSE
298813	FALSE
154682	FALSE
1110814	TRUE
313493	FALSE
355762	FALSE
2191823	FALSE
252636	TRUE
835972	TRUE
234515	TRUE
4073887	FALSE
817013	FALSE
837605	TRUE
388833	FALSE
3905299	FALSE
578224	FALSE
98258	FALSE
2375130	FALSE
4343435	FALSE
302883	FALSE
4359327	FALSE
160300	FALSE
153007	FALSE
104310	FALSE
138575	TRUE
4478053	FALSE
2016519	FALSE
171126	FALSE
2326885	FALSE
1120649	TRUE
4469705	FALSE
788632	FALSE
1902911	FALSE
993127	TRUE
1128225	FALSE
2195623	TRUE
1145468	TRUE
307425	FALSE
646478	FALSE
4298787	FALSE
561066	FALSE
588787	FALSE
787877	FALSE
974817	FALSE
758320	TRUE
3240665	FALSE
626867	FALSE
830956	TRUE
350334	FALSE
842284	FALSE
569736	TRUE
4398746	FALSE
575143	FALSE
543724	FALSE
4332665	FALSE
92209	TRUE
574883	FALSE
1107679	TRUE
824974	TRUE
4382408	TRUE
456617	FALSE
270376	TRUE
195925	FALSE
569953	TRUE
1086805	FALSE
1106318	FALSE
3706429	FALSE
587051	FALSE
1144747	FALSE
39385	TRUE
3211673	TRUE
4397655	FALSE
335960	FALSE
1010113	FALSE
240170	FALSE
1560939	TRUE
4458619	FALSE
345093	FALSE
334709	FALSE
101553	FALSE
4322208	FALSE
2510845	FALSE
4367491	TRUE
2776654	FALSE
678059	FALSE
242119	FALSE
40401	FALSE
2932342	TRUE
313926	FALSE
4479618	FALSE
235042	FALSE
255671	TRUE
325677	FALSE
632346	FALSE
590604	TRUE
1003206	FALSE
824043	FALSE
4343075	FALSE
238940	FALSE
693124	FALSE
552183	TRUE
1107711	TRUE
285497	FALSE
4317477	FALSE
342224	FALSE
4374557	FALSE
2981825	FALSE
225370	TRUE
1107031	TRUE
513927	TRUE
4342531	TRUE
4466240	FALSE
1539143	FALSE
186867	FALSE
4297284	FALSE
1068470	FALSE
2738701	FALSE
4453726	FALSE
112337	FALSE
4342066	FALSE
689621	FALSE
2238644	FALSE
817451	FALSE
206114	FALSE
250908	TRUE
4409528	TRUE
4306040	FALSE
2579939	FALSE
633392	FALSE
587951	TRUE
335383	FALSE
2376926	TRUE
1787054	TRUE
2806353	FALSE
1026431	FALSE
2860880	FALSE
3956482	FALSE
132661	FALSE
624006	FALSE
141607	FALSE
1078375	FALSE
949545	FALSE
251620	FALSE
725347	FALSE
540643	TRUE
136286	FALSE
212239	FALSE
33606	FALSE
664541	TRUE
316772	FALSE
3685327	FALSE
544033	FALSE
353248	FALSE
4477837	FALSE
4388764	TRUE
4347887	FALSE
563796	FALSE
324488	FALSE
270104	FALSE
62921	FALSE
1040796	FALSE
316737	FALSE
4106309	TRUE
1114358	FALSE
237144	FALSE
1104793	FALSE
208171	FALSE
4298791	TRUE
978072	FALSE
150851	FALSE
4297214	TRUE
587581	TRUE
238741	FALSE
2853353	TRUE
565514	FALSE
552866	FALSE
1797097	TRUE
1766551	TRUE
549206	TRUE
239868	FALSE
317953	FALSE
210958	TRUE
314001	FALSE
766547	FALSE
1127642	FALSE
575252	FALSE
329032	FALSE
3290338	FALSE
3457597	TRUE
691008	FALSE
341460	FALSE
1132384	TRUE
556139	TRUE
4396860	FALSE
510839	TRUE
573757	FALSE
234196	FALSE
517031	FALSE
4313359	FALSE
331776	TRUE
542071	FALSE
4148176	FALSE
939545	TRUE
824904	FALSE
251153	FALSE
107506	FALSE
585568	FALSE
129508	TRUE
234654	FALSE
668009	FALSE
3348667	FALSE
72214	FALSE
576679	FALSE
557211	FALSE
811571	FALSE
513117	TRUE
215441	TRUE
4434699	FALSE
321346	TRUE
704361	TRUE
67842	FALSE
889831	FALSE
2658745	TRUE
351673	TRUE
269907	TRUE
4326288	TRUE
543572	FALSE
4420763	FALSE
3297951	FALSE
785565	FALSE
255448	FALSE
849585	FALSE
824583	FALSE
3860285	FALSE
350592	FALSE
3122805	FALSE
587391	FALSE
3076501	FALSE
531374	TRUE
553318	FALSE
4387837	FALSE
