	Anaerobic
4334160	FALSE
4353625	FALSE
511931	FALSE
4478586	FALSE
1121123	FALSE
851799	FALSE
3134290	FALSE
537062	FALSE
931727	FALSE
153594	FALSE
1062748	FALSE
341734	FALSE
351929	FALSE
4452721	FALSE
356532	FALSE
351673	TRUE
333130	TRUE
137183	TRUE
856135	FALSE
238741	FALSE
1026431	FALSE
1065569	FALSE
554911	TRUE
993127	TRUE
10724	FALSE
237131	FALSE
1045843	FALSE
998966	TRUE
2480553	TRUE
515169	FALSE
4393921	FALSE
4304512	FALSE
541511	FALSE
837605	TRUE
164443	FALSE
4403168	TRUE
4340816	FALSE
550484	FALSE
563796	FALSE
321346	TRUE
563693	FALSE
745395	FALSE
528829	FALSE
2163606	TRUE
962249	TRUE
525841	FALSE
997642	FALSE
681073	FALSE
137516	FALSE
763358	TRUE
335960	FALSE
1106278	FALSE
1136342	TRUE
4480305	TRUE
1015143	FALSE
637931	FALSE
235943	FALSE
104179	TRUE
540653	TRUE
994959	FALSE
1107031	TRUE
114621	TRUE
533420	TRUE
101553	FALSE
4418992	TRUE
523593	FALSE
83514	FALSE
830956	TRUE
4455980	FALSE
626867	FALSE
584241	FALSE
310249	TRUE
149607	FALSE
531374	TRUE
4397593	FALSE
4359533	FALSE
1106384	TRUE
554981	FALSE
575252	FALSE
933546	FALSE
287608	TRUE
224486	FALSE
313174	FALSE
538679	FALSE
585568	FALSE
342034	FALSE
569884	TRUE
4451400	TRUE
4458736	FALSE
805022	FALSE
1135562	FALSE
575143	FALSE
753560	FALSE
11427	FALSE
203057	FALSE
951711	FALSE
3706429	FALSE
4304971	TRUE
1112543	TRUE
1011514	FALSE
4427030	FALSE
251001	FALSE
882018	FALSE
1110437	FALSE
1107555	FALSE
1104793	FALSE
207780	FALSE
323712	FALSE
1109245	FALSE
1967331	FALSE
14475	FALSE
270636	TRUE
552508	TRUE
1010113	FALSE
821141	FALSE
344914	FALSE
4326871	FALSE
541244	FALSE
807851	TRUE
4396740	FALSE
320773	TRUE
238940	FALSE
4394926	FALSE
185410	FALSE
758023	FALSE
758112	TRUE
587616	FALSE
636022	TRUE
235042	FALSE
357342	FALSE
201237	FALSE
4406621	TRUE
4434807	FALSE
229420	FALSE
4329788	TRUE
4456461	TRUE
2143302	FALSE
1104728	FALSE
979107	FALSE
235527	TRUE
4357413	TRUE
366545	FALSE
544302	FALSE
75585	FALSE
591796	TRUE
1126467	FALSE
585063	FALSE
867135	FALSE
588411	TRUE
825130	FALSE
4442779	FALSE
4425615	FALSE
4388765	FALSE
104129	FALSE
768898	FALSE
60179	FALSE
4325199	TRUE
840347	FALSE
1835918	TRUE
968354	FALSE
4467056	FALSE
4053303	FALSE
165553	TRUE
114498	TRUE
4331429	FALSE
960983	FALSE
301921	FALSE
564587	FALSE
1897353	TRUE
574883	FALSE
307846	FALSE
370067	TRUE
114788	TRUE
1107230	TRUE
631818	FALSE
538600	TRUE
22928	FALSE
288743	FALSE
855839	FALSE
4106309	TRUE
291149	FALSE
339359	TRUE
1075821	TRUE
4314534	TRUE
4401013	TRUE
592877	FALSE
135965	FALSE
696477	TRUE
99430	FALSE
724665	FALSE
4295177	FALSE
269907	TRUE
92008	FALSE
153548	FALSE
1111234	FALSE
174755	TRUE
626314	FALSE
354725	FALSE
718758	FALSE
321533	FALSE
806030	FALSE
4441046	TRUE
318061	FALSE
