	Anaerobic
151316	FALSE
4334160	FALSE
707290	FALSE
2860	FALSE
836007	TRUE
4353625	FALSE
4358878	FALSE
511931	FALSE
4478586	FALSE
342224	FALSE
1121123	FALSE
851799	FALSE
3134290	FALSE
537062	FALSE
931727	FALSE
153594	FALSE
1062748	FALSE
341734	FALSE
351929	FALSE
4452721	FALSE
4478949	FALSE
4403105	TRUE
356532	FALSE
4456435	FALSE
575079	FALSE
228587	FALSE
351673	TRUE
586458	FALSE
109057	FALSE
333130	TRUE
644385	FALSE
137183	TRUE
1047041	FALSE
856135	FALSE
238741	FALSE
1026431	FALSE
4349537	FALSE
1065569	FALSE
313235	TRUE
554911	TRUE
993127	TRUE
10724	FALSE
237131	FALSE
1045843	FALSE
998966	TRUE
2480553	TRUE
1678827	FALSE
227000	TRUE
4443384	FALSE
4463263	FALSE
739464	TRUE
4465584	FALSE
515169	FALSE
4393921	FALSE
4304512	FALSE
541511	FALSE
4375596	TRUE
837605	TRUE
164443	FALSE
587391	FALSE
4403168	TRUE
4340816	FALSE
550484	FALSE
563796	FALSE
321346	TRUE
3164102	TRUE
182038	TRUE
325904	FALSE
563693	FALSE
832359	FALSE
611320	FALSE
4418395	FALSE
745395	FALSE
553974	TRUE
528829	FALSE
2163606	TRUE
962249	TRUE
525841	FALSE
336986	FALSE
997642	FALSE
681073	FALSE
4420771	FALSE
137516	FALSE
763358	TRUE
4479618	FALSE
335960	FALSE
1106278	FALSE
4369009	FALSE
4387407	FALSE
98554	TRUE
1136342	TRUE
4480305	TRUE
4412803	FALSE
1015143	FALSE
306254	TRUE
637931	FALSE
361402	FALSE
235943	FALSE
547139	FALSE
104179	TRUE
557211	FALSE
540653	TRUE
994959	FALSE
4416718	FALSE
1116149	FALSE
1107031	TRUE
114621	TRUE
533420	TRUE
101553	FALSE
4418992	TRUE
523593	FALSE
83514	FALSE
830956	TRUE
829116	FALSE
4455980	FALSE
626867	FALSE
584241	FALSE
4421933	FALSE
310249	TRUE
149607	FALSE
531374	TRUE
551164	TRUE
4437259	TRUE
114811	FALSE
4184652	FALSE
4397593	FALSE
4359533	FALSE
1106384	TRUE
554981	FALSE
575252	FALSE
933546	FALSE
1111553	FALSE
287608	TRUE
224486	FALSE
960695	FALSE
4411920	FALSE
313174	FALSE
538679	FALSE
254888	FALSE
238105	FALSE
585568	FALSE
342034	FALSE
569884	TRUE
4451400	TRUE
4458736	FALSE
677590	TRUE
805022	FALSE
1135562	FALSE
575143	FALSE
753560	FALSE
11427	FALSE
557998	FALSE
203057	FALSE
951711	FALSE
4229057	TRUE
195246	TRUE
561516	FALSE
3706429	FALSE
4304971	TRUE
1112543	TRUE
1011514	FALSE
4427030	FALSE
3760122	FALSE
251001	FALSE
882018	FALSE
1110437	FALSE
1107555	FALSE
1104793	FALSE
207780	FALSE
323712	FALSE
1109245	FALSE
150441	FALSE
159170	FALSE
4306533	FALSE
99933	TRUE
1967331	FALSE
14475	FALSE
270636	TRUE
552508	TRUE
1010113	FALSE
821141	FALSE
344914	FALSE
3867306	FALSE
4326871	FALSE
541244	FALSE
807851	TRUE
4396740	FALSE
320773	TRUE
232551	FALSE
238940	FALSE
4394926	FALSE
185410	FALSE
4410004	FALSE
21210	FALSE
758023	FALSE
1856738	TRUE
758112	TRUE
587616	FALSE
636022	TRUE
235042	FALSE
357342	FALSE
201237	FALSE
4406621	TRUE
4434807	FALSE
570408	FALSE
266995	FALSE
229420	FALSE
4329788	TRUE
566357	TRUE
4456461	TRUE
816411	FALSE
2143302	FALSE
2317377	FALSE
3760117	FALSE
295053	FALSE
590476	FALSE
1104728	FALSE
979107	FALSE
302883	FALSE
3208	FALSE
235527	TRUE
4357413	TRUE
136025	FALSE
366545	FALSE
145637	FALSE
544302	FALSE
75585	FALSE
591796	TRUE
1044315	FALSE
3991527	FALSE
4398746	FALSE
1126467	FALSE
585063	FALSE
867135	FALSE
150582	FALSE
588411	TRUE
825130	FALSE
4442779	FALSE
661170	FALSE
4425615	FALSE
535383	FALSE
4388765	FALSE
210359	FALSE
104129	FALSE
768898	FALSE
60179	FALSE
4325199	TRUE
840347	FALSE
911243	FALSE
1835918	TRUE
968354	FALSE
4467056	FALSE
4053303	FALSE
849122	FALSE
165553	TRUE
114498	TRUE
1114110	FALSE
4331429	FALSE
960983	FALSE
605566	FALSE
301921	FALSE
564587	FALSE
1897353	TRUE
574883	FALSE
307846	FALSE
370067	TRUE
114788	TRUE
1107230	TRUE
631818	FALSE
538600	TRUE
22928	FALSE
288743	FALSE
855839	FALSE
4106309	TRUE
291149	FALSE
992246	FALSE
339359	TRUE
1075821	TRUE
1132384	TRUE
4314534	TRUE
4401013	TRUE
592877	FALSE
571072	FALSE
135965	FALSE
696477	TRUE
539453	FALSE
99430	FALSE
724665	FALSE
4295177	FALSE
269907	TRUE
92008	FALSE
153548	FALSE
1111234	FALSE
174755	TRUE
1110665	FALSE
626314	FALSE
804325	FALSE
354725	FALSE
718758	FALSE
321533	FALSE
806030	FALSE
4441046	TRUE
536986	FALSE
318061	FALSE
