	Anaerobic
348570	FALSE
321047	FALSE
4463263	FALSE
1110665	FALSE
269030	FALSE
4421726	FALSE
4482745	FALSE
325735	FALSE
4400245	FALSE
4413099	FALSE
325904	FALSE
2860	FALSE
235969	FALSE
83595	FALSE
249365	FALSE
98258	FALSE
1132384	TRUE
4456771	FALSE
278735	FALSE
544033	FALSE
809980	FALSE
741691	FALSE
4479618	FALSE
316737	FALSE
320613	FALSE
699904	FALSE
570408	FALSE
2743133	FALSE
1108144	FALSE
305967	FALSE
309693	TRUE
2932342	TRUE
4018589	TRUE
4420771	FALSE
254686	FALSE
1537126	TRUE
67775	FALSE
114811	FALSE
3122805	FALSE
2374557	TRUE
574883	FALSE
427183	FALSE
325677	FALSE
72214	FALSE
2860880	FALSE
549144	FALSE
855812	FALSE
151344	TRUE
324488	FALSE
553318	FALSE
766044	TRUE
374897	FALSE
109057	FALSE
1107548	FALSE
1107711	TRUE
4443384	FALSE
661170	FALSE
230324	FALSE
554375	TRUE
4473308	TRUE
227717	FALSE
4398746	FALSE
218772	FALSE
282549	TRUE
4385170	FALSE
588112	TRUE
274011	FALSE
1107055	TRUE
4474035	FALSE
260801	FALSE
865520	FALSE
3025176	FALSE
1011514	FALSE
148761	TRUE
1766551	TRUE
949659	FALSE
310249	TRUE
100535	FALSE
2658745	TRUE
3085264	FALSE
4416783	FALSE
334709	FALSE
3429461	TRUE
837775	FALSE
309577	TRUE
330263	TRUE
4461079	FALSE
361402	FALSE
227000	TRUE
171397	FALSE
636022	TRUE
208171	FALSE
3154121	FALSE
1112192	TRUE
343315	FALSE
1787054	TRUE
1108984	FALSE
4355195	TRUE
543572	FALSE
252636	TRUE
4340148	FALSE
836059	FALSE
2776653	FALSE
318309	FALSE
70494	TRUE
835972	TRUE
333593	FALSE
3852555	TRUE
1107679	TRUE
801421	TRUE
702400	TRUE
151316	FALSE
4369319	FALSE
1539143	FALSE
2401319	FALSE
21210	FALSE
2194481	FALSE
4396740	FALSE
553974	TRUE
365956	FALSE
255470	TRUE
808539	FALSE
677590	TRUE
572137	FALSE
540643	TRUE
14134	TRUE
513117	TRUE
4366536	FALSE
1114496	TRUE
1106925	TRUE
536121	FALSE
170883	TRUE
4392826	FALSE
149984	FALSE
4375615	FALSE
341734	FALSE
2195623	TRUE
757894	FALSE
573032	TRUE
626867	FALSE
362891	FALSE
698647	FALSE
760733	FALSE
237482	FALSE
551347	TRUE
499902	FALSE
590548	FALSE
347853	FALSE
321346	TRUE
320758	FALSE
334363	FALSE
4064681	FALSE
159170	FALSE
265874	FALSE
4456435	FALSE
575079	FALSE
1109402	FALSE
587505	FALSE
583231	FALSE
4475608	FALSE
571072	FALSE
740676	FALSE
605566	FALSE
313522	FALSE
509377	FALSE
585574	FALSE
569893	FALSE
2062934	FALSE
345093	FALSE
1109106	FALSE
230061	TRUE
4475254	FALSE
563202	FALSE
310378	FALSE
566357	TRUE
672345	FALSE
591394	TRUE
228873	FALSE
107274	FALSE
352526	FALSE
255100	FALSE
563693	FALSE
256652	TRUE
209886	TRUE
237991	TRUE
523133	FALSE
441828	FALSE
3867306	FALSE
4156020	TRUE
2710	FALSE
557998	FALSE
1062748	FALSE
3685327	FALSE
1132905	FALSE
811810	TRUE
260605	TRUE
4374557	FALSE
1120649	TRUE
4481373	FALSE
832359	FALSE
185410	FALSE
4359640	FALSE
1856738	TRUE
819561	FALSE
684320	TRUE
346201	FALSE
1016465	FALSE
1111255	FALSE
749802	FALSE
581316	FALSE
28793	FALSE
1109458	FALSE
164443	FALSE
609371	TRUE
242119	FALSE
4362093	FALSE
1144747	FALSE
147773	FALSE
727834	TRUE
108544	TRUE
1110985	FALSE
4465584	FALSE
107506	FALSE
262657	TRUE
833553	FALSE
