	Anaerobic
151316	FALSE
324488	FALSE
4334160	FALSE
842284	FALSE
4389591	TRUE
2860	FALSE
2775220	FALSE
1105792	TRUE
4261545	FALSE
1114677	FALSE
4371710	TRUE
832001	FALSE
4353625	FALSE
2804605	TRUE
4358878	FALSE
2896033	FALSE
664541	TRUE
4385170	FALSE
511931	FALSE
134451	TRUE
251050	FALSE
107274	FALSE
538238	FALSE
105395	FALSE
342224	FALSE
1121123	FALSE
851799	FALSE
511928	FALSE
537062	FALSE
153594	FALSE
3058999	TRUE
821884	TRUE
1062748	FALSE
2776653	FALSE
341734	FALSE
258105	FALSE
351929	FALSE
4452721	FALSE
811810	TRUE
252636	TRUE
1108248	TRUE
4076076	FALSE
4478949	FALSE
4454320	TRUE
830956	TRUE
4343435	FALSE
255100	FALSE
1132384	TRUE
539508	FALSE
356532	FALSE
4334349	FALSE
181875	TRUE
4456435	FALSE
575079	FALSE
1109458	FALSE
351673	TRUE
586458	FALSE
109057	FALSE
2662153	FALSE
333130	TRUE
1106054	FALSE
644385	FALSE
818067	FALSE
137183	TRUE
1047041	FALSE
4451932	FALSE
237991	TRUE
856135	FALSE
1132905	FALSE
238741	FALSE
1026431	FALSE
2058154	FALSE
4355551	FALSE
4342056	FALSE
170883	TRUE
278136	FALSE
4349537	FALSE
2655589	FALSE
3825329	FALSE
1107711	TRUE
1065569	FALSE
313235	TRUE
111464	FALSE
4389260	FALSE
993127	TRUE
10724	FALSE
4248322	FALSE
628556	FALSE
274405	FALSE
646478	FALSE
535910	FALSE
588787	FALSE
1045843	FALSE
573896	TRUE
1120876	TRUE
4282479	FALSE
249115	TRUE
2480553	TRUE
818331	TRUE
1678827	FALSE
99430	FALSE
639790	FALSE
227000	TRUE
352526	FALSE
4443384	FALSE
814148	FALSE
4463263	FALSE
83349	FALSE
739464	TRUE
4465584	FALSE
318607	FALSE
4363070	TRUE
515169	FALSE
4393921	FALSE
4304512	FALSE
541511	FALSE
4430489	FALSE
1144747	FALSE
544395	TRUE
2935	FALSE
837605	TRUE
4438557	TRUE
164443	FALSE
114044	FALSE
3825887	TRUE
575143	FALSE
576348	FALSE
1640195	FALSE
576363	FALSE
512663	FALSE
587391	FALSE
4403168	TRUE
4408481	TRUE
4340816	FALSE
550484	FALSE
3114957	FALSE
206114	FALSE
333651	TRUE
270636	TRUE
335960	FALSE
345093	FALSE
4425265	TRUE
4428688	FALSE
2445279	FALSE
563796	FALSE
4374025	FALSE
321346	TRUE
3164102	TRUE
182038	TRUE
4472671	FALSE
4380585	FALSE
4387016	FALSE
67775	FALSE
4451400	TRUE
563693	FALSE
1722070	FALSE
236051	FALSE
2838672	FALSE
832359	FALSE
611320	FALSE
620857	TRUE
2662075	FALSE
4418395	FALSE
859313	FALSE
745395	FALSE
4328606	FALSE
4326669	FALSE
4443256	FALSE
553974	TRUE
528829	FALSE
1107055	TRUE
2163606	TRUE
238105	FALSE
962249	TRUE
525841	FALSE
4420771	FALSE
4318483	TRUE
4406574	FALSE
169264	FALSE
2326885	FALSE
1106278	FALSE
280566	FALSE
4383665	FALSE
804325	FALSE
808539	FALSE
4369009	FALSE
809730	FALSE
4387407	FALSE
98554	TRUE
555217	FALSE
1136342	TRUE
325904	FALSE
553766	FALSE
4480305	TRUE
4461104	FALSE
4412803	FALSE
1015143	FALSE
306254	TRUE
637931	FALSE
879663	FALSE
235928	TRUE
547139	FALSE
104179	TRUE
327084	TRUE
728068	FALSE
320447	FALSE
931727	FALSE
388833	FALSE
208171	FALSE
2205008	TRUE
256652	TRUE
557211	FALSE
352699	FALSE
540653	TRUE
4299429	FALSE
3900309	TRUE
994959	FALSE
4352040	FALSE
213389	FALSE
1107031	TRUE
1107011	FALSE
535342	FALSE
689621	FALSE
114621	TRUE
533420	TRUE
710897	FALSE
574835	FALSE
262025	FALSE
2313484	FALSE
4418992	TRUE
305967	FALSE
237131	FALSE
523593	FALSE
4375708	TRUE
4468173	FALSE
4355481	FALSE
83514	FALSE
4475161	TRUE
853457	FALSE
1107679	TRUE
4427218	FALSE
215441	TRUE
829116	FALSE
4455980	FALSE
626867	FALSE
584241	FALSE
591272	FALSE
801857	TRUE
940971	TRUE
149607	FALSE
1853226	FALSE
2718033	FALSE
217352	FALSE
531374	TRUE
691473	FALSE
4374027	TRUE
268483	TRUE
244247	FALSE
1105584	FALSE
322919	TRUE
3573134	FALSE
4329303	FALSE
4437259	TRUE
212557	FALSE
585063	FALSE
91010	FALSE
114811	FALSE
4184652	FALSE
578659	FALSE
583622	TRUE
166728	FALSE
136056	TRUE
1114337	TRUE
740167	FALSE
4359533	FALSE
587753	TRUE
550142	FALSE
441828	FALSE
554981	FALSE
575252	FALSE
933546	FALSE
4215051	TRUE
1111553	FALSE
2553200	FALSE
299227	TRUE
225370	TRUE
254391	FALSE
4479618	FALSE
62921	FALSE
287608	TRUE
553623	FALSE
4301763	FALSE
224486	FALSE
248548	FALSE
4347887	FALSE
82554	FALSE
4327574	TRUE
960695	FALSE
4411920	FALSE
4309252	TRUE
313174	FALSE
3184433	FALSE
538679	FALSE
254888	FALSE
267730	TRUE
585568	FALSE
342034	FALSE
343908	FALSE
538354	FALSE
113279	FALSE
569884	TRUE
4344969	TRUE
679745	TRUE
4458736	FALSE
677590	TRUE
166831	FALSE
805022	FALSE
1105163	FALSE
739996	FALSE
557998	FALSE
3429461	TRUE
951711	FALSE
279010	FALSE
310920	FALSE
3706429	FALSE
4304971	TRUE
1112543	TRUE
725769	FALSE
1011514	FALSE
3354149	FALSE
206390	TRUE
3760122	FALSE
815435	FALSE
1667535	FALSE
251001	FALSE
591043	FALSE
882018	FALSE
4345410	FALSE
1110437	FALSE
575225	FALSE
1104793	FALSE
2194481	FALSE
552862	FALSE
207780	FALSE
323712	FALSE
4482302	FALSE
1109245	FALSE
1679817	FALSE
150441	FALSE
4332126	FALSE
4452877	FALSE
1140185	FALSE
752461	FALSE
605842	FALSE
4306533	FALSE
578760	FALSE
4466240	FALSE
99933	TRUE
338140	FALSE
1119266	FALSE
2062934	FALSE
4415180	TRUE
331119	TRUE
573032	TRUE
1967331	FALSE
14475	FALSE
4306812	TRUE
809886	FALSE
550937	FALSE
114788	TRUE
4446492	FALSE
513117	TRUE
571664	TRUE
577018	FALSE
4349595	FALSE
4392443	FALSE
877509	FALSE
1104848	FALSE
110155	FALSE
552508	TRUE
1010113	FALSE
786086	FALSE
821141	FALSE
344914	FALSE
1126466	FALSE
4326871	FALSE
4064681	FALSE
541244	FALSE
3045868	TRUE
807851	TRUE
3837757	FALSE
4396740	FALSE
2181341	FALSE
4396338	FALSE
320773	TRUE
694539	FALSE
1609472	TRUE
836571	FALSE
4002863	FALSE
7604	FALSE
222711	FALSE
565046	FALSE
518854	FALSE
238940	FALSE
4391995	FALSE
153521	FALSE
4466618	FALSE
185410	FALSE
4425801	FALSE
819298	TRUE
3254194	FALSE
4410004	FALSE
3025176	FALSE
807785	FALSE
181641	FALSE
758112	TRUE
587616	FALSE
636022	TRUE
681073	FALSE
347501	FALSE
235042	FALSE
357342	FALSE
201237	FALSE
1124207	FALSE
4406621	TRUE
1500147	FALSE
137866	FALSE
757894	FALSE
4434807	FALSE
67844	FALSE
570408	FALSE
266995	FALSE
529653	FALSE
260011	TRUE
2146124	FALSE
2238644	FALSE
229420	FALSE
4329788	TRUE
4303114	FALSE
1106960	FALSE
1087298	FALSE
876717	FALSE
2915761	TRUE
2383952	FALSE
816411	FALSE
571072	FALSE
590604	TRUE
2908495	FALSE
200561	FALSE
2143302	FALSE
758023	FALSE
3760117	FALSE
295053	FALSE
590476	FALSE
1104728	FALSE
551628	FALSE
656443	FALSE
253488	FALSE
1139618	FALSE
802711	TRUE
4450181	FALSE
834570	TRUE
113302	FALSE
979107	FALSE
250017	FALSE
1108984	FALSE
4438836	FALSE
4326288	TRUE
1108758	FALSE
827866	FALSE
4357413	TRUE
136025	FALSE
366545	FALSE
221621	FALSE
3114949	FALSE
295330	TRUE
619073	FALSE
114681	TRUE
356942	FALSE
544302	FALSE
4470894	FALSE
75585	FALSE
591796	TRUE
310249	TRUE
4434769	FALSE
1044315	FALSE
4343065	TRUE
573035	FALSE
4398746	FALSE
350592	FALSE
3208	FALSE
334709	FALSE
867135	FALSE
558772	FALSE
4173596	FALSE
14134	TRUE
3888454	FALSE
150582	FALSE
1107555	FALSE
588411	TRUE
825130	FALSE
4442779	FALSE
4351262	TRUE
4467014	TRUE
3852555	TRUE
1603735	FALSE
661170	FALSE
3041662	FALSE
4425615	FALSE
110525	FALSE
158932	FALSE
4323443	TRUE
663224	FALSE
536796	FALSE
587951	TRUE
535383	FALSE
295687	FALSE
115012	TRUE
210359	FALSE
3129454	FALSE
72480	FALSE
238619	FALSE
768582	FALSE
4339160	FALSE
2710	FALSE
112259	FALSE
1787054	TRUE
141607	FALSE
3760116	FALSE
3831498	TRUE
2672863	FALSE
365956	FALSE
557238	TRUE
1111255	FALSE
104129	FALSE
768898	FALSE
60179	FALSE
4325199	TRUE
4443105	FALSE
2583848	TRUE
3070042	FALSE
911243	FALSE
1742482	FALSE
968354	FALSE
265874	FALSE
1143280	TRUE
4467056	FALSE
4379013	FALSE
4053303	FALSE
849122	FALSE
165553	TRUE
1114110	FALSE
4331429	FALSE
4450615	FALSE
350334	FALSE
227130	TRUE
960983	FALSE
2680784	FALSE
3867306	FALSE
301921	FALSE
96373	FALSE
574531	FALSE
4247767	TRUE
4478783	FALSE
512091	FALSE
564587	FALSE
1897353	TRUE
574883	FALSE
2722477	TRUE
536121	FALSE
144057	FALSE
307846	FALSE
4366403	FALSE
536947	FALSE
510359	FALSE
370067	TRUE
631818	FALSE
563535	FALSE
835189	TRUE
310439	FALSE
538600	TRUE
5921	FALSE
740676	FALSE
799922	FALSE
253315	FALSE
258327	FALSE
288743	FALSE
541497	TRUE
448094	FALSE
855839	FALSE
4106309	TRUE
291149	FALSE
992246	FALSE
339359	TRUE
1075821	TRUE
575061	TRUE
688760	FALSE
4314534	TRUE
4401013	TRUE
798688	FALSE
588112	TRUE
592877	FALSE
1106858	FALSE
2860880	FALSE
1122084	FALSE
135965	FALSE
696477	TRUE
539453	FALSE
724665	FALSE
4295177	FALSE
1147840	TRUE
37747	FALSE
269907	TRUE
92008	FALSE
326326	FALSE
153548	FALSE
1111234	FALSE
23652	FALSE
174755	TRUE
533742	TRUE
27926	FALSE
112750	TRUE
3394691	FALSE
305529	TRUE
1110665	FALSE
626314	FALSE
354725	FALSE
718758	FALSE
608473	TRUE
321533	FALSE
1125155	TRUE
818357	FALSE
4441046	TRUE
536986	FALSE
318061	FALSE
