	Anaerobic
661170	FALSE
2860	FALSE
591796	TRUE
4353625	FALSE
130922	FALSE
4376863	TRUE
931727	FALSE
341734	FALSE
70494	TRUE
4452721	FALSE
343315	FALSE
141154	FALSE
4456435	FALSE
354725	FALSE
590476	FALSE
109057	FALSE
299227	TRUE
4473655	FALSE
354518	TRUE
569893	FALSE
938948	TRUE
814721	FALSE
3575253	TRUE
4398746	FALSE
282549	TRUE
227000	TRUE
352526	FALSE
4358878	FALSE
572843	FALSE
164443	FALSE
325904	FALSE
2932342	TRUE
285497	FALSE
4374557	FALSE
225370	TRUE
1106925	TRUE
4342066	FALSE
321346	TRUE
3164102	TRUE
591394	TRUE
4327197	FALSE
836059	FALSE
141607	FALSE
540643	TRUE
832359	FALSE
611320	FALSE
3471198	TRUE
316772	FALSE
837775	FALSE
327767	FALSE
98554	TRUE
1115987	FALSE
2853353	TRUE
365956	FALSE
361402	FALSE
1766551	TRUE
4416718	FALSE
242585	FALSE
3025176	FALSE
238940	FALSE
4374816	FALSE
150582	FALSE
543572	FALSE
149607	FALSE
325735	FALSE
4437259	TRUE
578659	FALSE
1112192	TRUE
1111553	FALSE
4479618	FALSE
1603735	FALSE
571072	FALSE
4336253	FALSE
318061	FALSE
566357	TRUE
566771	TRUE
4314926	FALSE
4411920	FALSE
238105	FALSE
585568	FALSE
639286	TRUE
569884	TRUE
313522	FALSE
4355195	TRUE
305967	FALSE
1112543	TRUE
158026	FALSE
3760122	FALSE
251001	FALSE
428807	FALSE
1856738	TRUE
572150	FALSE
323712	FALSE
60638	FALSE
583231	FALSE
563693	FALSE
806030	FALSE
3867306	FALSE
943138	FALSE
605566	FALSE
4396740	FALSE
271524	FALSE
201237	FALSE
4443384	FALSE
736040	TRUE
230061	TRUE
4410004	FALSE
758023	FALSE
636022	TRUE
235042	FALSE
512873	FALSE
570408	FALSE
325346	TRUE
4388765	FALSE
151344	TRUE
3760117	FALSE
837605	TRUE
227717	FALSE
4461079	FALSE
875548	FALSE
146556	FALSE
681073	FALSE
1109402	FALSE
237131	FALSE
145637	FALSE
822328	FALSE
2401319	FALSE
310249	TRUE
581316	FALSE
4481373	FALSE
4362093	FALSE
1116149	FALSE
351676	TRUE
165553	TRUE
1114110	FALSE
4463767	FALSE
259809	FALSE
333593	FALSE
370067	TRUE
274011	FALSE
330888	TRUE
427183	FALSE
344914	FALSE
269907	TRUE
4018589	TRUE
228555	TRUE
553974	TRUE
4359533	FALSE
1110665	FALSE
4371135	TRUE
232551	FALSE
804325	FALSE
4398706	FALSE
262657	TRUE
499902	FALSE
