	Anaerobic
707290	FALSE
201237	FALSE
4478586	FALSE
537062	FALSE
552508	TRUE
153594	FALSE
948180	FALSE
668615	FALSE
155521	FALSE
830956	TRUE
351673	TRUE
585063	FALSE
4451400	TRUE
554981	FALSE
1130212	FALSE
1142199	FALSE
817013	FALSE
238741	FALSE
3905299	FALSE
4359327	FALSE
104310	FALSE
2130193	FALSE
993127	TRUE
626867	FALSE
2480553	TRUE
1139117	FALSE
829240	FALSE
4305935	TRUE
515169	FALSE
4393921	FALSE
1144747	FALSE
1560939	TRUE
4458619	FALSE
439457	FALSE
787663	TRUE
101553	FALSE
575143	FALSE
1136762	FALSE
255671	TRUE
590604	TRUE
2153555	FALSE
4340816	FALSE
270636	TRUE
1068470	FALSE
112337	FALSE
689621	FALSE
4394095	FALSE
3956482	FALSE
132661	FALSE
276370	FALSE
1078375	FALSE
212239	FALSE
745395	FALSE
563796	FALSE
962249	TRUE
525841	FALSE
104179	TRUE
4106309	TRUE
1136342	TRUE
1126195	FALSE
4480305	TRUE
3253	FALSE
565514	FALSE
210958	TRUE
1127642	FALSE
329032	FALSE
341460	FALSE
994959	FALSE
275105	FALSE
523593	FALSE
83514	FALSE
3348667	FALSE
11282	FALSE
4427701	FALSE
531374	TRUE
112962	FALSE
539866	FALSE
235527	TRUE
333130	TRUE
4446915	FALSE
14475	FALSE
538679	FALSE
4467056	FALSE
297256	FALSE
60179	FALSE
4195126	FALSE
1135562	FALSE
951711	FALSE
4304971	TRUE
4319936	FALSE
4404172	FALSE
761601	FALSE
1087298	FALSE
313174	FALSE
882018	FALSE
3192521	FALSE
1104793	FALSE
761592	FALSE
539313	FALSE
4481861	FALSE
1059762	FALSE
533420	TRUE
539508	FALSE
254951	FALSE
1010113	FALSE
1140185	FALSE
342034	FALSE
993455	FALSE
541244	FALSE
10724	FALSE
807851	TRUE
88754	FALSE
320773	TRUE
540940	FALSE
1107031	TRUE
146126	FALSE
574835	FALSE
136608	TRUE
546268	TRUE
758112	TRUE
539735	FALSE
262096	FALSE
4406621	TRUE
166322	TRUE
4434807	FALSE
4329788	TRUE
1106960	FALSE
2143302	FALSE
782472	FALSE
804742	FALSE
1104728	FALSE
254116	FALSE
4357413	TRUE
4358716	FALSE
366545	FALSE
921110	FALSE
1129931	FALSE
3944484	FALSE
4363948	FALSE
4442779	FALSE
4369968	TRUE
225041	FALSE
933546	FALSE
3290338	FALSE
2775220	FALSE
828806	FALSE
1640195	FALSE
3555019	TRUE
336306	FALSE
176775	TRUE
4253641	FALSE
539547	FALSE
207780	FALSE
840347	FALSE
968354	FALSE
511931	FALSE
4053303	FALSE
1016369	FALSE
4374109	FALSE
304211	TRUE
225187	FALSE
301921	FALSE
574883	FALSE
81639	TRUE
920506	TRUE
4389389	FALSE
848713	FALSE
110755	FALSE
1015143	FALSE
469663	TRUE
4298967	TRUE
4465677	TRUE
538600	TRUE
693333	FALSE
576076	FALSE
966091	FALSE
4394926	FALSE
135965	FALSE
99430	FALSE
4295177	FALSE
581821	FALSE
806354	FALSE
174755	TRUE
114498	TRUE
718758	FALSE
4441046	TRUE
