	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
348570	FALSE	FALSE	FALSE	FALSE	FALSE
321047	TRUE	FALSE	FALSE	FALSE	TRUE
1106498	FALSE	FALSE	FALSE	FALSE	FALSE
4461101	FALSE	FALSE	FALSE	FALSE	FALSE
701393	FALSE	FALSE	FALSE	FALSE	FALSE
3760117	FALSE	FALSE	FALSE	FALSE	FALSE
62921	FALSE	FALSE	FALSE	FALSE	FALSE
1110665	FALSE	FALSE	FALSE	FALSE	FALSE
4425801	FALSE	FALSE	FALSE	TRUE	FALSE
269030	FALSE	FALSE	FALSE	FALSE	FALSE
4482745	FALSE	TRUE	FALSE	FALSE	FALSE
325735	FALSE	FALSE	FALSE	FALSE	FALSE
4400245	FALSE	FALSE	FALSE	FALSE	FALSE
4374816	FALSE	TRUE	FALSE	TRUE	FALSE
325904	FALSE	FALSE	FALSE	TRUE	FALSE
509929	FALSE	TRUE	FALSE	FALSE	FALSE
2860	FALSE	FALSE	FALSE	FALSE	FALSE
235969	FALSE	FALSE	FALSE	FALSE	FALSE
83595	FALSE	FALSE	FALSE	FALSE	FALSE
215441	FALSE	TRUE	FALSE	FALSE	FALSE
1132384	FALSE	FALSE	FALSE	FALSE	FALSE
578659	FALSE	FALSE	FALSE	FALSE	FALSE
4456771	FALSE	FALSE	FALSE	FALSE	FALSE
165687	FALSE	FALSE	FALSE	FALSE	FALSE
513156	FALSE	FALSE	FALSE	FALSE	FALSE
4401013	FALSE	FALSE	FALSE	FALSE	FALSE
2510845	FALSE	FALSE	FALSE	FALSE	FALSE
278735	FALSE	FALSE	FALSE	FALSE	FALSE
809980	FALSE	FALSE	FALSE	FALSE	FALSE
694539	FALSE	FALSE	FALSE	FALSE	FALSE
875548	FALSE	FALSE	FALSE	FALSE	FALSE
361402	FALSE	FALSE	FALSE	FALSE	FALSE
4358716	FALSE	FALSE	FALSE	FALSE	FALSE
698647	FALSE	FALSE	FALSE	FALSE	FALSE
270087	FALSE	FALSE	FALSE	FALSE	FALSE
316737	TRUE	FALSE	FALSE	FALSE	TRUE
320613	FALSE	FALSE	FALSE	FALSE	FALSE
699904	FALSE	FALSE	FALSE	FALSE	FALSE
570408	FALSE	TRUE	TRUE	FALSE	FALSE
585063	FALSE	FALSE	FALSE	FALSE	FALSE
2743133	FALSE	FALSE	FALSE	FALSE	FALSE
137516	FALSE	FALSE	FALSE	FALSE	FALSE
253488	FALSE	FALSE	FALSE	FALSE	FALSE
1108144	FALSE	FALSE	FALSE	TRUE	FALSE
305967	FALSE	FALSE	FALSE	TRUE	FALSE
572150	FALSE	FALSE	FALSE	FALSE	FALSE
539508	FALSE	FALSE	FALSE	FALSE	FALSE
309693	FALSE	FALSE	FALSE	FALSE	FALSE
4018589	FALSE	FALSE	FALSE	FALSE	FALSE
155521	FALSE	FALSE	FALSE	FALSE	FALSE
254686	FALSE	FALSE	FALSE	FALSE	FALSE
689268	FALSE	FALSE	FALSE	FALSE	FALSE
256575	FALSE	FALSE	FALSE	FALSE	FALSE
10775	FALSE	FALSE	FALSE	FALSE	FALSE
1537126	FALSE	FALSE	FALSE	TRUE	FALSE
553974	FALSE	FALSE	FALSE	FALSE	FALSE
2907294	FALSE	FALSE	FALSE	FALSE	FALSE
244247	FALSE	FALSE	FALSE	TRUE	FALSE
3122805	FALSE	FALSE	FALSE	FALSE	FALSE
809730	FALSE	FALSE	FALSE	FALSE	FALSE
2374557	FALSE	FALSE	FALSE	FALSE	FALSE
574883	FALSE	TRUE	TRUE	FALSE	FALSE
256904	FALSE	FALSE	FALSE	FALSE	FALSE
325677	FALSE	FALSE	FALSE	FALSE	TRUE
72214	FALSE	FALSE	FALSE	FALSE	FALSE
345093	FALSE	FALSE	FALSE	FALSE	FALSE
4475161	FALSE	FALSE	FALSE	FALSE	FALSE
1114337	FALSE	FALSE	FALSE	FALSE	FALSE
585568	FALSE	FALSE	FALSE	FALSE	FALSE
4437259	FALSE	FALSE	FALSE	TRUE	FALSE
4326288	FALSE	FALSE	FALSE	FALSE	FALSE
538679	FALSE	FALSE	FALSE	FALSE	FALSE
1112543	FALSE	FALSE	FALSE	FALSE	FALSE
258327	FALSE	FALSE	FALSE	FALSE	FALSE
855812	FALSE	FALSE	FALSE	FALSE	FALSE
267730	FALSE	FALSE	FALSE	FALSE	FALSE
336306	FALSE	FALSE	FALSE	FALSE	FALSE
324488	FALSE	FALSE	FALSE	FALSE	FALSE
553318	FALSE	FALSE	FALSE	FALSE	FALSE
710897	FALSE	FALSE	FALSE	FALSE	FALSE
374897	FALSE	FALSE	FALSE	FALSE	FALSE
2932342	FALSE	FALSE	FALSE	FALSE	FALSE
512414	FALSE	FALSE	FALSE	FALSE	FALSE
4371135	FALSE	FALSE	FALSE	TRUE	FALSE
109057	FALSE	FALSE	FALSE	FALSE	FALSE
14134	FALSE	FALSE	FALSE	FALSE	FALSE
529653	FALSE	FALSE	FALSE	FALSE	FALSE
570023	FALSE	FALSE	FALSE	FALSE	FALSE
1107548	FALSE	FALSE	FALSE	FALSE	FALSE
40401	FALSE	FALSE	FALSE	FALSE	FALSE
1107711	FALSE	FALSE	FALSE	FALSE	FALSE
814148	FALSE	FALSE	FALSE	FALSE	FALSE
661170	FALSE	FALSE	FALSE	TRUE	FALSE
4342076	FALSE	FALSE	FALSE	FALSE	FALSE
113724	FALSE	FALSE	FALSE	FALSE	FALSE
554375	FALSE	FALSE	FALSE	TRUE	FALSE
4451932	FALSE	FALSE	FALSE	FALSE	FALSE
14917	FALSE	FALSE	FALSE	FALSE	FALSE
549206	FALSE	FALSE	FALSE	TRUE	FALSE
588112	FALSE	FALSE	FALSE	FALSE	FALSE
832001	FALSE	FALSE	FALSE	FALSE	FALSE
1079742	FALSE	FALSE	FALSE	FALSE	FALSE
227717	FALSE	FALSE	FALSE	FALSE	FALSE
609371	FALSE	FALSE	FALSE	TRUE	FALSE
218772	FALSE	FALSE	FALSE	FALSE	FALSE
570256	FALSE	FALSE	FALSE	FALSE	FALSE
237144	FALSE	FALSE	FALSE	FALSE	FALSE
1845162	TRUE	FALSE	FALSE	FALSE	TRUE
550712	FALSE	FALSE	FALSE	FALSE	FALSE
282549	FALSE	FALSE	FALSE	FALSE	FALSE
4385170	FALSE	TRUE	TRUE	FALSE	FALSE
4345060	FALSE	FALSE	FALSE	FALSE	FALSE
274011	FALSE	FALSE	FALSE	FALSE	FALSE
110525	FALSE	FALSE	FALSE	FALSE	FALSE
976441	FALSE	FALSE	FALSE	FALSE	FALSE
766547	FALSE	FALSE	FALSE	FALSE	FALSE
4387158	FALSE	FALSE	FALSE	FALSE	FALSE
821537	FALSE	FALSE	FALSE	FALSE	FALSE
681073	FALSE	FALSE	FALSE	FALSE	FALSE
865520	FALSE	FALSE	FALSE	FALSE	FALSE
4372908	FALSE	FALSE	FALSE	FALSE	FALSE
341989	FALSE	FALSE	FALSE	TRUE	FALSE
3192521	FALSE	FALSE	FALSE	TRUE	FALSE
540643	FALSE	FALSE	FALSE	TRUE	FALSE
1011514	FALSE	FALSE	FALSE	FALSE	FALSE
225187	FALSE	FALSE	FALSE	FALSE	FALSE
1742482	FALSE	FALSE	FALSE	FALSE	FALSE
148761	FALSE	FALSE	FALSE	TRUE	FALSE
4329303	FALSE	FALSE	FALSE	FALSE	FALSE
4334349	FALSE	FALSE	FALSE	FALSE	FALSE
949659	FALSE	FALSE	FALSE	FALSE	FALSE
310249	FALSE	FALSE	FALSE	FALSE	FALSE
100535	FALSE	FALSE	FALSE	FALSE	FALSE
190843	FALSE	FALSE	FALSE	FALSE	FALSE
619073	FALSE	FALSE	FALSE	FALSE	TRUE
255100	FALSE	FALSE	FALSE	FALSE	FALSE
4479618	FALSE	FALSE	FALSE	FALSE	FALSE
1135562	FALSE	FALSE	FALSE	FALSE	FALSE
2658745	FALSE	FALSE	FALSE	TRUE	FALSE
3085264	FALSE	FALSE	FALSE	FALSE	FALSE
4416783	FALSE	FALSE	FALSE	FALSE	FALSE
334709	FALSE	FALSE	FALSE	FALSE	FALSE
3429461	FALSE	FALSE	FALSE	TRUE	FALSE
4342056	FALSE	FALSE	FALSE	FALSE	FALSE
309577	FALSE	FALSE	FALSE	FALSE	FALSE
353816	FALSE	FALSE	FALSE	FALSE	FALSE
330263	FALSE	FALSE	FALSE	FALSE	FALSE
114176	FALSE	FALSE	FALSE	FALSE	FALSE
160903	FALSE	FALSE	FALSE	TRUE	FALSE
4461079	FALSE	FALSE	FALSE	TRUE	FALSE
2804605	FALSE	FALSE	FALSE	FALSE	FALSE
227000	FALSE	FALSE	FALSE	FALSE	FALSE
256687	FALSE	FALSE	FALSE	FALSE	FALSE
185410	FALSE	FALSE	FALSE	FALSE	FALSE
819298	FALSE	FALSE	FALSE	TRUE	FALSE
4425615	FALSE	FALSE	FALSE	FALSE	FALSE
636022	FALSE	FALSE	FALSE	FALSE	FALSE
208171	FALSE	FALSE	FALSE	TRUE	TRUE
727834	FALSE	FALSE	FALSE	TRUE	FALSE
370067	FALSE	FALSE	FALSE	FALSE	FALSE
3154121	FALSE	FALSE	FALSE	TRUE	FALSE
1112192	FALSE	FALSE	FALSE	TRUE	FALSE
343315	FALSE	FALSE	FALSE	FALSE	FALSE
1787054	FALSE	FALSE	FALSE	FALSE	FALSE
1108984	FALSE	FALSE	FALSE	FALSE	FALSE
305529	FALSE	FALSE	FALSE	FALSE	FALSE
536796	FALSE	FALSE	FALSE	FALSE	FALSE
4355195	FALSE	FALSE	FALSE	TRUE	FALSE
543572	FALSE	FALSE	FALSE	FALSE	FALSE
252636	FALSE	FALSE	FALSE	FALSE	FALSE
4076076	FALSE	FALSE	FALSE	FALSE	FALSE
152130	FALSE	FALSE	FALSE	FALSE	FALSE
4340148	FALSE	FALSE	FALSE	FALSE	FALSE
2860880	FALSE	FALSE	FALSE	FALSE	FALSE
3208272	FALSE	FALSE	FALSE	FALSE	FALSE
