	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
557211	FALSE	FALSE	FALSE	FALSE	FALSE
342224	TRUE	FALSE	FALSE	FALSE	FALSE
306254	FALSE	FALSE	FALSE	FALSE	FALSE
313235	FALSE	FALSE	FALSE	FALSE	FALSE
960695	FALSE	FALSE	FALSE	FALSE	FALSE
2238644	FALSE	FALSE	FALSE	FALSE	FALSE
321533	FALSE	FALSE	FALSE	FALSE	FALSE
785565	FALSE	TRUE	FALSE	FALSE	TRUE
302883	FALSE	FALSE	FALSE	FALSE	FALSE
555869	FALSE	FALSE	FALSE	FALSE	FALSE
4369009	FALSE	FALSE	FALSE	FALSE	FALSE
858026	FALSE	FALSE	FALSE	FALSE	FALSE
333130	FALSE	FALSE	FALSE	FALSE	FALSE
346431	FALSE	FALSE	FALSE	FALSE	FALSE
136025	FALSE	FALSE	FALSE	FALSE	FALSE
586458	FALSE	FALSE	FALSE	FALSE	FALSE
211593	FALSE	TRUE	TRUE	FALSE	FALSE
677165	FALSE	FALSE	FALSE	FALSE	FALSE
254888	TRUE	FALSE	FALSE	FALSE	FALSE
1104793	FALSE	FALSE	FALSE	FALSE	FALSE
39385	FALSE	FALSE	FALSE	FALSE	FALSE
230774	FALSE	FALSE	FALSE	FALSE	FALSE
150441	FALSE	FALSE	FALSE	FALSE	FALSE
574102	FALSE	FALSE	TRUE	FALSE	FALSE
22928	FALSE	FALSE	FALSE	TRUE	FALSE
