	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
4342317	FALSE	FALSE	FALSE	FALSE	FALSE
2326885	FALSE	FALSE	FALSE	FALSE	FALSE
3041662	FALSE	FALSE	FALSE	TRUE	FALSE
279230	FALSE	FALSE	FALSE	FALSE	FALSE
356942	FALSE	FALSE	FALSE	FALSE	FALSE
1065569	FALSE	FALSE	FALSE	FALSE	FALSE
797985	FALSE	FALSE	FALSE	FALSE	FALSE
4359077	FALSE	FALSE	FALSE	FALSE	FALSE
4314534	FALSE	FALSE	FALSE	FALSE	FALSE
4374027	FALSE	FALSE	FALSE	FALSE	FALSE
2845471	FALSE	TRUE	FALSE	FALSE	FALSE
1139618	FALSE	FALSE	FALSE	FALSE	FALSE
4341881	FALSE	TRUE	FALSE	FALSE	FALSE
1928988	FALSE	FALSE	FALSE	FALSE	FALSE
806354	FALSE	FALSE	FALSE	FALSE	FALSE
2153555	FALSE	FALSE	FALSE	FALSE	FALSE
124193	FALSE	FALSE	FALSE	FALSE	FALSE
300387	FALSE	FALSE	FALSE	FALSE	FALSE
588995	FALSE	FALSE	FALSE	FALSE	FALSE
4480305	FALSE	FALSE	FALSE	FALSE	FALSE
3114949	FALSE	FALSE	FALSE	FALSE	FALSE
4466618	FALSE	FALSE	TRUE	FALSE	FALSE
1500147	FALSE	FALSE	FALSE	FALSE	FALSE
3071921	FALSE	FALSE	FALSE	FALSE	FALSE
2317377	FALSE	FALSE	FALSE	FALSE	FALSE
1135388	FALSE	FALSE	FALSE	FALSE	FALSE
863019	FALSE	FALSE	FALSE	FALSE	FALSE
98258	FALSE	FALSE	FALSE	FALSE	FALSE
908948	FALSE	FALSE	FALSE	FALSE	FALSE
20957	FALSE	FALSE	FALSE	FALSE	FALSE
4451400	FALSE	FALSE	FALSE	FALSE	FALSE
212239	FALSE	FALSE	FALSE	FALSE	FALSE
210958	FALSE	FALSE	FALSE	TRUE	FALSE
544033	FALSE	FALSE	FALSE	FALSE	FALSE
249243	FALSE	FALSE	FALSE	FALSE	FALSE
141607	FALSE	FALSE	FALSE	FALSE	FALSE
978072	FALSE	FALSE	FALSE	FALSE	FALSE
110321	FALSE	FALSE	FALSE	FALSE	FALSE
4323443	FALSE	FALSE	FALSE	FALSE	FALSE
3114957	FALSE	FALSE	FALSE	FALSE	FALSE
821884	FALSE	FALSE	FALSE	FALSE	FALSE
3506234	FALSE	FALSE	FALSE	FALSE	FALSE
257821	FALSE	FALSE	FALSE	TRUE	FALSE
611009	FALSE	FALSE	FALSE	FALSE	FALSE
2163606	FALSE	FALSE	FALSE	TRUE	FALSE
1130212	FALSE	TRUE	FALSE	FALSE	FALSE
1087298	FALSE	FALSE	FALSE	FALSE	FALSE
810119	FALSE	TRUE	TRUE	FALSE	FALSE
3900309	FALSE	FALSE	FALSE	TRUE	FALSE
1015143	FALSE	FALSE	FALSE	FALSE	FALSE
104788	FALSE	FALSE	FALSE	FALSE	FALSE
321103	FALSE	FALSE	FALSE	FALSE	FALSE
107506	FALSE	FALSE	FALSE	FALSE	FALSE
347501	FALSE	FALSE	FALSE	FALSE	FALSE
4427218	FALSE	FALSE	FALSE	FALSE	FALSE
104310	FALSE	FALSE	FALSE	FALSE	FALSE
783892	FALSE	FALSE	FALSE	FALSE	FALSE
4369968	FALSE	FALSE	FALSE	TRUE	FALSE
832260	FALSE	FALSE	FALSE	FALSE	FALSE
241895	FALSE	FALSE	FALSE	FALSE	FALSE
531374	FALSE	FALSE	FALSE	FALSE	FALSE
1123395	FALSE	FALSE	FALSE	FALSE	FALSE
833257	FALSE	FALSE	FALSE	FALSE	FALSE
516022	FALSE	FALSE	FALSE	FALSE	FALSE
38435	FALSE	FALSE	FALSE	FALSE	FALSE
181641	FALSE	FALSE	FALSE	FALSE	FALSE
622992	FALSE	FALSE	FALSE	FALSE	FALSE
515169	FALSE	FALSE	FALSE	FALSE	FALSE
536947	FALSE	FALSE	FALSE	FALSE	FALSE
804742	FALSE	FALSE	FALSE	FALSE	FALSE
132661	FALSE	FALSE	FALSE	FALSE	FALSE
157266	FALSE	TRUE	FALSE	TRUE	FALSE
511931	FALSE	FALSE	FALSE	FALSE	FALSE
275275	FALSE	FALSE	FALSE	TRUE	FALSE
3382	FALSE	FALSE	FALSE	FALSE	FALSE
4357413	FALSE	FALSE	FALSE	FALSE	FALSE
4343435	FALSE	FALSE	FALSE	FALSE	FALSE
112259	FALSE	FALSE	FALSE	FALSE	FALSE
1111413	FALSE	FALSE	FALSE	FALSE	FALSE
217797	FALSE	FALSE	FALSE	FALSE	FALSE
441828	FALSE	FALSE	FALSE	FALSE	FALSE
761601	FALSE	TRUE	FALSE	FALSE	FALSE
4409036	FALSE	FALSE	FALSE	FALSE	FALSE
725347	FALSE	FALSE	FALSE	FALSE	FALSE
817013	FALSE	FALSE	FALSE	FALSE	FALSE
4465677	FALSE	FALSE	FALSE	FALSE	FALSE
4443105	FALSE	FALSE	FALSE	FALSE	FALSE
