	Facultatively_Anaerobic
97685	FALSE
538535	FALSE
349986	FALSE
1124207	TRUE
102620	FALSE
4353625	TRUE
4370980	FALSE
136025	FALSE
621842	FALSE
702400	FALSE
4455980	TRUE
4473288	FALSE
1016465	FALSE
537062	FALSE
114176	FALSE
552508	FALSE
137866	FALSE
2781721	FALSE
2609531	FALSE
538178	TRUE
948180	FALSE
422295	FALSE
312009	FALSE
4439950	FALSE
551347	FALSE
341734	FALSE
70494	FALSE
343315	FALSE
101015	FALSE
155521	FALSE
830956	FALSE
529653	FALSE
215441	FALSE
4299614	FALSE
304801	FALSE
4416783	FALSE
254116	TRUE
109057	FALSE
354483	FALSE
1107903	FALSE
585063	FALSE
232796	FALSE
554981	FALSE
258655	TRUE
4469487	FALSE
448094	FALSE
646478	FALSE
4064681	FALSE
2238644	FALSE
4480289	FALSE
1130212	FALSE
878161	FALSE
265874	FALSE
4478236	FALSE
351673	FALSE
579324	FALSE
98258	FALSE
354518	FALSE
4386464	FALSE
314474	FALSE
154607	FALSE
569951	FALSE
577123	FALSE
4465164	FALSE
993127	FALSE
4465584	FALSE
143326	FALSE
4424338	FALSE
1928988	FALSE
689621	FALSE
1112599	TRUE
304223	FALSE
3208	FALSE
525841	TRUE
279370	FALSE
814067	FALSE
3860285	FALSE
1139117	FALSE
829240	TRUE
813687	FALSE
113207	FALSE
4424382	FALSE
1105509	FALSE
159172	FALSE
37747	FALSE
4324601	FALSE
739464	FALSE
345093	FALSE
238105	FALSE
136924	FALSE
740676	FALSE
4460593	FALSE
344914	FALSE
278735	TRUE
1144747	FALSE
197233	FALSE
325904	FALSE
1145468	FALSE
574952	FALSE
4358878	FALSE
439457	FALSE
787663	FALSE
248468	FALSE
572843	FALSE
181252	FALSE
334709	FALSE
164443	FALSE
328826	FALSE
288743	FALSE
4436487	FALSE
307425	FALSE
640060	FALSE
4393019	FALSE
3240665	FALSE
741691	FALSE
362891	FALSE
165687	FALSE
2932342	FALSE
1136762	FALSE
513156	TRUE
255671	FALSE
3603301	FALSE
4392535	TRUE
818599	TRUE
2153555	FALSE
815925	FALSE
342224	TRUE
2528843	FALSE
583622	FALSE
225370	FALSE
1106925	FALSE
337036	FALSE
1114496	FALSE
591394	FALSE
744941	FALSE
718979	FALSE
10724	FALSE
810972	FALSE
544480	FALSE
20957	FALSE
4413099	FALSE
574883	FALSE
4327197	FALSE
836059	FALSE
276370	TRUE
4264161	FALSE
4474998	TRUE
2981822	FALSE
3471198	FALSE
4409036	TRUE
329004	FALSE
2222988	FALSE
160916	FALSE
305633	FALSE
141607	FALSE
819561	FALSE
313235	FALSE
327767	FALSE
3208272	FALSE
4330745	FALSE
569119	FALSE
3728302	FALSE
545863	FALSE
4411365	FALSE
727834	FALSE
960695	TRUE
4366355	TRUE
975158	TRUE
3154121	FALSE
1136342	FALSE
3253	FALSE
851938	TRUE
1007384	FALSE
365956	FALSE
724665	FALSE
112750	FALSE
4435356	FALSE
557211	FALSE
341460	TRUE
518854	FALSE
242585	FALSE
4403486	FALSE
327055	FALSE
3192521	FALSE
624006	FALSE
4288257	FALSE
817309	FALSE
782961	FALSE
236166	TRUE
1078732	FALSE
4415437	FALSE
4378660	FALSE
83514	FALSE
5137	FALSE
147700	FALSE
4374816	FALSE
2058154	FALSE
3457597	FALSE
565890	FALSE
240451	FALSE
4450615	TRUE
904196	FALSE
1637549	FALSE
626867	TRUE
11282	TRUE
543572	FALSE
785565	TRUE
227068	FALSE
4375708	FALSE
933546	FALSE
342100	TRUE
4471424	FALSE
4392549	TRUE
563194	FALSE
1105555	FALSE
325735	FALSE
1106468	FALSE
1140434	TRUE
719631	FALSE
57451	FALSE
625724	FALSE
627816	FALSE
254686	FALSE
4459021	FALSE
112962	FALSE
279010	FALSE
1543166	FALSE
1118132	FALSE
565917	FALSE
4401013	FALSE
195246	FALSE
208265	FALSE
1011514	FALSE
4371645	FALSE
157669	FALSE
210958	FALSE
4396977	FALSE
831559	FALSE
62921	FALSE
4446915	FALSE
318061	FALSE
814148	FALSE
4441046	FALSE
4314926	FALSE
301880	FALSE
525942	FALSE
817401	TRUE
559852	FALSE
679745	FALSE
4467056	TRUE
254888	TRUE
708774	FALSE
297256	FALSE
1132905	FALSE
536362	FALSE
4469706	FALSE
110525	FALSE
327945	FALSE
4451400	FALSE
1787054	FALSE
1121806	FALSE
60179	TRUE
569884	FALSE
4452538	FALSE
266502	TRUE
170883	FALSE
819776	FALSE
221107	FALSE
4416798	FALSE
4446492	TRUE
542071	FALSE
611009	FALSE
361402	TRUE
343908	TRUE
215190	FALSE
1697007	FALSE
1126195	FALSE
113724	FALSE
3726188	FALSE
4355195	FALSE
146556	FALSE
306254	FALSE
4446152	FALSE
699904	FALSE
791214	FALSE
2147801	FALSE
330903	FALSE
2642683	FALSE
252615	FALSE
1112543	FALSE
4319936	FALSE
4354131	FALSE
534698	FALSE
158026	FALSE
31738	FALSE
221272	FALSE
224155	FALSE
4391595	FALSE
4329000	FALSE
4302748	FALSE
1111883	FALSE
509377	FALSE
575143	FALSE
279230	FALSE
346431	TRUE
218772	FALSE
270104	FALSE
111320	TRUE
4206785	FALSE
150441	FALSE
2366094	FALSE
4452877	FALSE
684719	FALSE
592877	FALSE
339472	FALSE
734928	FALSE
4335137	FALSE
1009173	FALSE
539313	FALSE
2062934	FALSE
154445	FALSE
2680784	FALSE
555302	FALSE
533420	FALSE
3916474	FALSE
235042	FALSE
22928	FALSE
617644	FALSE
4473308	FALSE
1112875	FALSE
279529	FALSE
4404060	FALSE
924032	FALSE
4326369	FALSE
4345876	FALSE
1140185	TRUE
4298967	FALSE
541244	TRUE
4382687	FALSE
326636	FALSE
832001	TRUE
427183	FALSE
