	Forms_Biofilms
4353625	FALSE
2781721	FALSE
2609531	FALSE
538178	FALSE
422295	FALSE
312009	FALSE
551347	FALSE
341734	FALSE
70494	FALSE
343315	FALSE
101015	FALSE
830956	FALSE
304801	FALSE
1107903	FALSE
448094	FALSE
354518	FALSE
314474	FALSE
154607	FALSE
577123	FALSE
4465584	FALSE
143326	FALSE
3208	FALSE
279370	FALSE
1105509	FALSE
238105	FALSE
325904	FALSE
4358878	FALSE
181252	FALSE
328826	FALSE
4436487	FALSE
4393019	FALSE
741691	FALSE
165687	FALSE
2932342	FALSE
1106925	FALSE
1114496	FALSE
591394	FALSE
744941	FALSE
4413099	FALSE
4327197	FALSE
836059	FALSE
2981822	FALSE
160916	FALSE
819561	FALSE
327767	FALSE
3728302	FALSE
545863	FALSE
975158	FALSE
3154121	FALSE
4409036	FALSE
4403486	FALSE
327055	FALSE
4288257	FALSE
565890	FALSE
1637549	FALSE
227068	FALSE
342100	FALSE
4471424	FALSE
325735	FALSE
625724	FALSE
254686	FALSE
1543166	FALSE
4401013	FALSE
4396977	FALSE
831559	FALSE
318061	FALSE
817401	FALSE
4469706	FALSE
569884	FALSE
4452538	FALSE
4416798	FALSE
113724	FALSE
4355195	FALSE
699904	FALSE
2642683	FALSE
252615	FALSE
1112543	FALSE
4354131	FALSE
31738	FALSE
221272	FALSE
111320	FALSE
684719	FALSE
339472	FALSE
555302	FALSE
235042	FALSE
4326369	FALSE
159567	FALSE
2401319	FALSE
230061	FALSE
554375	FALSE
535454	FALSE
834774	FALSE
3116170	FALSE
2217826	FALSE
816228	FALSE
544328	FALSE
1082059	FALSE
159017	FALSE
151344	FALSE
229993	FALSE
227717	FALSE
237232	FALSE
4461079	FALSE
875548	FALSE
809980	FALSE
354725	FALSE
813080	FALSE
681073	FALSE
4363459	FALSE
237131	FALSE
1539143	FALSE
1109402	FALSE
591647	FALSE
320613	FALSE
296133	FALSE
4481373	FALSE
4369319	FALSE
41476	FALSE
4482961	FALSE
3392964	FALSE
324488	FALSE
795623	FALSE
357897	FALSE
931727	FALSE
535510	FALSE
4369009	FALSE
352328	FALSE
583197	FALSE
4420771	FALSE
570408	FALSE
1104793	FALSE
224772	FALSE
4381809	FALSE
199876	FALSE
325175	FALSE
228555	FALSE
801857	FALSE
504674	FALSE
550712	FALSE
4371135	FALSE
232551	FALSE
312645	FALSE
837775	FALSE
4472671	FALSE
2935	FALSE
262657	FALSE
499902	FALSE
