	Forms_Biofilms
542933	FALSE
661170	FALSE
913229	FALSE
300387	FALSE
284672	FALSE
582931	FALSE
201237	FALSE
639712	FALSE
136025	FALSE
4479753	FALSE
702400	FALSE
130922	FALSE
691392	FALSE
4376863	FALSE
255100	FALSE
724298	FALSE
552508	FALSE
220524	FALSE
539735	FALSE
341734	FALSE
668615	FALSE
155521	FALSE
1603735	FALSE
830956	FALSE
739464	FALSE
141154	FALSE
109057	FALSE
1136342	FALSE
4451400	FALSE
808440	FALSE
114811	FALSE
298813	FALSE
313493	FALSE
4473655	FALSE
234515	FALSE
817013	FALSE
3905299	FALSE
578224	FALSE
98258	FALSE
302883	FALSE
4359327	FALSE
160300	FALSE
104310	FALSE
569893	FALSE
171126	FALSE
788632	FALSE
993127	FALSE
307425	FALSE
814721	FALSE
626867	FALSE
569736	FALSE
575143	FALSE
4332665	FALSE
1107679	FALSE
165185	FALSE
270376	FALSE
784506	FALSE
1144747	FALSE
693092	FALSE
1010113	FALSE
240170	FALSE
1560939	FALSE
4458619	FALSE
572843	FALSE
101553	FALSE
4367491	FALSE
2932342	FALSE
235042	FALSE
558101	FALSE
255671	FALSE
325677	FALSE
632346	TRUE
1003206	FALSE
285497	FALSE
342224	FALSE
4374557	FALSE
2981825	FALSE
225370	FALSE
1107031	FALSE
1068470	FALSE
112337	FALSE
4342066	FALSE
689621	FALSE
4306040	FALSE
557699	FALSE
2806353	FALSE
1026431	FALSE
563693	FALSE
3956482	FALSE
132661	FALSE
141607	FALSE
1078375	FALSE
540643	FALSE
136286	FALSE
212239	FALSE
316772	FALSE
353248	FALSE
563796	FALSE
1040796	FALSE
4106309	FALSE
4298791	FALSE
150851	FALSE
128263	FALSE
4441046	FALSE
2297428	FALSE
4297214	FALSE
238741	FALSE
1104662	FALSE
2853353	FALSE
565514	FALSE
1766551	FALSE
1104793	FALSE
210958	FALSE
1127642	FALSE
575252	FALSE
329032	FALSE
341460	FALSE
1132384	FALSE
573757	FALSE
1109245	FALSE
275105	FALSE
238940	FALSE
939545	FALSE
3348667	FALSE
557211	FALSE
321346	FALSE
543572	FALSE
785565	FALSE
316871	FALSE
350592	FALSE
3076501	FALSE
531374	FALSE
553318	FALSE
4387837	FALSE
4392549	FALSE
4349537	FALSE
4298967	FALSE
1112192	FALSE
235527	FALSE
333130	FALSE
660076	FALSE
4336253	FALSE
566357	FALSE
960695	FALSE
14475	FALSE
4340137	FALSE
994959	FALSE
254888	FALSE
594000	FALSE
274447	FALSE
348570	FALSE
4195126	FALSE
325904	FALSE
313522	FALSE
1087298	FALSE
114821	FALSE
4297284	FALSE
572695	FALSE
4330206	FALSE
377613	FALSE
1011514	FALSE
536121	FALSE
761601	FALSE
800841	FALSE
313174	FALSE
572150	FALSE
3192521	FALSE
4388994	FALSE
1135562	FALSE
4359330	FALSE
179922	FALSE
761592	FALSE
150441	FALSE
4385959	FALSE
469663	FALSE
255802	FALSE
4481861	FALSE
4369009	FALSE
1059762	FALSE
583231	FALSE
539508	FALSE
4377104	FALSE
4451358	FALSE
1111111	FALSE
3712725	FALSE
254951	FALSE
305967	FALSE
4482302	FALSE
806030	FALSE
342034	FALSE
993455	FALSE
943138	FALSE
605566	FALSE
10724	FALSE
306254	FALSE
1114110	FALSE
320773	FALSE
146126	FALSE
434004	FALSE
574883	FALSE
736040	FALSE
574835	FALSE
151316	FALSE
2401319	FALSE
4357289	FALSE
566771	FALSE
3991527	FALSE
590476	FALSE
247441	FALSE
548050	FALSE
291315	FALSE
166322	FALSE
4454356	FALSE
4389957	FALSE
1106960	FALSE
816411	FALSE
790466	FALSE
584239	FALSE
686219	FALSE
60179	FALSE
832359	FALSE
2317377	FALSE
736302	FALSE
677165	FALSE
782472	FALSE
582813	FALSE
4378239	FALSE
1108952	FALSE
138264	FALSE
146556	FALSE
2143302	FALSE
1109402	FALSE
256400	FALSE
211593	TRUE
664205	FALSE
331119	FALSE
200584	FALSE
2572948	FALSE
1129931	FALSE
330888	FALSE
4394095	FALSE
829240	FALSE
585063	FALSE
179879	FALSE
882018	FALSE
581316	FALSE
532624	FALSE
99430	FALSE
4398746	FALSE
4481373	FALSE
225041	FALSE
4362093	FALSE
4437259	FALSE
3867306	FALSE
4312368	FALSE
1016369	FALSE
1640195	FALSE
310249	FALSE
3555019	FALSE
1116149	FALSE
639286	FALSE
3085264	FALSE
4253641	FALSE
539547	FALSE
207780	FALSE
313235	FALSE
354725	FALSE
931727	FALSE
4317477	FALSE
4451743	FALSE
265496	FALSE
329004	FALSE
344676	FALSE
225187	FALSE
301921	FALSE
259809	FALSE
338836	FALSE
238105	FALSE
110755	FALSE
571304	FALSE
1130890	FALSE
274011	FALSE
4459768	FALSE
4465677	FALSE
368438	FALSE
104610	FALSE
4430489	FALSE
4426240	FALSE
693333	FALSE
571072	FALSE
518752	FALSE
427183	FALSE
344914	FALSE
321533	FALSE
1015143	FALSE
1856738	FALSE
269907	FALSE
4404172	FALSE
966091	FALSE
572190	FALSE
4483818	FALSE
1112543	FALSE
3760122	FALSE
553974	FALSE
806354	FALSE
538679	FALSE
4359533	FALSE
1110665	FALSE
1028542	FALSE
4330745	FALSE
538178	FALSE
