	Gram_Negative
4342317	TRUE
2326885	TRUE
3041662	TRUE
279230	TRUE
356942	TRUE
1065569	FALSE
797985	TRUE
4359077	TRUE
4314534	TRUE
4374027	FALSE
2845471	TRUE
1139618	TRUE
4341881	TRUE
1928988	TRUE
806354	TRUE
2153555	FALSE
124193	TRUE
300387	FALSE
588995	TRUE
4480305	TRUE
3114949	TRUE
4466618	TRUE
1500147	TRUE
3071921	TRUE
2317377	TRUE
1135388	FALSE
863019	FALSE
98258	TRUE
908948	TRUE
20957	TRUE
4451400	FALSE
212239	TRUE
210958	TRUE
544033	TRUE
249243	TRUE
141607	TRUE
978072	TRUE
110321	FALSE
4323443	TRUE
3114957	TRUE
821884	TRUE
3506234	TRUE
257821	TRUE
611009	TRUE
2163606	TRUE
1130212	TRUE
1087298	TRUE
810119	TRUE
3900309	TRUE
1015143	FALSE
104788	TRUE
321103	TRUE
107506	TRUE
347501	TRUE
4427218	TRUE
104310	FALSE
783892	TRUE
4369968	TRUE
832260	TRUE
241895	FALSE
531374	FALSE
1123395	FALSE
833257	TRUE
516022	FALSE
38435	TRUE
181641	TRUE
622992	TRUE
515169	FALSE
536947	FALSE
804742	FALSE
132661	FALSE
157266	TRUE
511931	FALSE
275275	TRUE
3382	TRUE
4357413	TRUE
4343435	TRUE
112259	TRUE
1111413	TRUE
217797	FALSE
441828	TRUE
761601	TRUE
4409036	TRUE
725347	TRUE
817013	FALSE
4465677	TRUE
4443105	TRUE
4359327	FALSE
4469032	FALSE
1059762	TRUE
1109245	TRUE
4195126	TRUE
2775220	TRUE
221107	TRUE
758112	TRUE
201361	TRUE
225370	TRUE
1114358	FALSE
4385942	TRUE
2528843	TRUE
2599642	TRUE
790466	FALSE
339359	FALSE
62921	TRUE
1107031	TRUE
313493	FALSE
1142199	TRUE
591043	TRUE
112962	TRUE
4325392	TRUE
517031	TRUE
1126195	FALSE
1078375	TRUE
354247	TRUE
14475	FALSE
1118132	TRUE
3348667	FALSE
4440517	TRUE
1124068	TRUE
7229	TRUE
4378239	FALSE
5137	TRUE
439457	FALSE
107461	TRUE
679745	FALSE
1108706	TRUE
4374109	FALSE
4340807	TRUE
262768	TRUE
669611	TRUE
4408637	TRUE
4351262	TRUE
209523	TRUE
136286	TRUE
2216255	FALSE
558772	FALSE
350334	TRUE
3070042	TRUE
849585	FALSE
920506	FALSE
1856738	TRUE
546441	TRUE
99912	TRUE
351929	TRUE
2718033	TRUE
348170	TRUE
3956482	FALSE
62707	FALSE
206386	TRUE
563796	FALSE
72926	TRUE
140105	TRUE
194024	TRUE
113467	TRUE
1134274	TRUE
582609	TRUE
357342	FALSE
96373	TRUE
1120876	TRUE
829240	TRUE
2781721	TRUE
968354	FALSE
149607	TRUE
646478	TRUE
1845162	TRUE
469663	FALSE
2055428	TRUE
864067	TRUE
239868	TRUE
512121	FALSE
174842	TRUE
848713	TRUE
533420	TRUE
351673	FALSE
3213372	TRUE
1106960	TRUE
206114	TRUE
301880	TRUE
759250	TRUE
101553	TRUE
1016369	FALSE
3706429	TRUE
809730	TRUE
240641	TRUE
643757	TRUE
696477	TRUE
668615	FALSE
1731151	TRUE
590604	FALSE
