	Gram_Negative
4353625	TRUE
2781721	TRUE
2609531	TRUE
538178	TRUE
422295	FALSE
312009	TRUE
551347	TRUE
341734	TRUE
70494	TRUE
343315	TRUE
101015	TRUE
830956	TRUE
304801	TRUE
1107903	TRUE
448094	TRUE
354518	TRUE
314474	TRUE
154607	TRUE
577123	TRUE
4465584	TRUE
143326	TRUE
3208	TRUE
279370	TRUE
1105509	TRUE
238105	TRUE
325904	TRUE
4358878	TRUE
181252	TRUE
328826	TRUE
4436487	TRUE
4393019	FALSE
741691	TRUE
165687	TRUE
2932342	TRUE
1106925	TRUE
1114496	TRUE
591394	TRUE
744941	TRUE
4413099	TRUE
4327197	TRUE
836059	TRUE
2981822	TRUE
160916	TRUE
819561	TRUE
327767	TRUE
3728302	TRUE
545863	TRUE
975158	TRUE
3154121	TRUE
4409036	TRUE
4403486	TRUE
327055	TRUE
4288257	TRUE
565890	TRUE
1637549	TRUE
227068	TRUE
342100	TRUE
4471424	TRUE
325735	TRUE
625724	TRUE
254686	TRUE
1543166	TRUE
4401013	TRUE
4396977	FALSE
831559	TRUE
318061	TRUE
817401	TRUE
4469706	TRUE
569884	TRUE
4452538	FALSE
4416798	TRUE
113724	TRUE
4355195	TRUE
699904	TRUE
2642683	TRUE
252615	TRUE
1112543	TRUE
4354131	TRUE
31738	TRUE
221272	TRUE
111320	TRUE
684719	TRUE
339472	TRUE
555302	TRUE
235042	TRUE
4326369	TRUE
159567	TRUE
2401319	TRUE
230061	TRUE
554375	TRUE
535454	TRUE
834774	TRUE
3116170	FALSE
2217826	TRUE
816228	TRUE
544328	TRUE
1082059	TRUE
159017	TRUE
151344	TRUE
229993	TRUE
227717	TRUE
237232	TRUE
4461079	TRUE
875548	TRUE
809980	TRUE
354725	TRUE
813080	TRUE
681073	FALSE
4363459	TRUE
237131	TRUE
1539143	TRUE
1109402	TRUE
591647	TRUE
320613	TRUE
296133	TRUE
4481373	TRUE
4369319	TRUE
41476	TRUE
4482961	TRUE
3392964	TRUE
324488	TRUE
795623	TRUE
357897	TRUE
931727	FALSE
535510	TRUE
4369009	TRUE
352328	TRUE
583197	TRUE
4420771	TRUE
570408	TRUE
1104793	FALSE
224772	TRUE
4381809	TRUE
199876	TRUE
325175	TRUE
228555	TRUE
801857	TRUE
504674	FALSE
550712	FALSE
4371135	TRUE
232551	FALSE
312645	TRUE
837775	TRUE
4472671	TRUE
2935	TRUE
262657	TRUE
499902	TRUE
