	Gram_Negative
348570	TRUE
4339367	TRUE
1109245	TRUE
2326885	TRUE
4461101	TRUE
356942	TRUE
1065569	FALSE
701393	TRUE
2550290	TRUE
913149	FALSE
3760117	TRUE
4425801	TRUE
4374027	FALSE
1139618	TRUE
819910	TRUE
2153555	FALSE
300387	FALSE
4482745	TRUE
4400245	TRUE
4374816	TRUE
4466618	TRUE
110976	TRUE
550937	FALSE
235969	TRUE
2317377	TRUE
4437259	TRUE
1135388	FALSE
98258	TRUE
908948	TRUE
578659	FALSE
4456771	TRUE
165687	TRUE
278735	TRUE
212239	TRUE
210958	TRUE
129508	FALSE
249243	TRUE
3837757	TRUE
4479618	TRUE
4358716	TRUE
316737	TRUE
978072	TRUE
306254	FALSE
160903	TRUE
110321	FALSE
2743133	FALSE
137516	TRUE
253488	FALSE
305967	TRUE
101553	TRUE
309693	TRUE
571304	TRUE
829687	TRUE
4018589	TRUE
3240665	TRUE
611009	TRUE
1130212	TRUE
256575	TRUE
1537126	TRUE
67775	TRUE
244247	TRUE
810119	TRUE
3122805	FALSE
809730	TRUE
1015143	FALSE
104788	TRUE
2374557	TRUE
574883	TRUE
104310	FALSE
427183	FALSE
325677	TRUE
72214	TRUE
832260	TRUE
154412	TRUE
4475161	TRUE
1114337	TRUE
585568	TRUE
4326288	TRUE
1123395	FALSE
573599	TRUE
833257	TRUE
516022	FALSE
38435	TRUE
1140434	TRUE
258327	TRUE
549144	TRUE
554911	TRUE
855812	TRUE
515169	FALSE
786067	FALSE
565917	TRUE
336306	TRUE
766044	TRUE
710897	TRUE
804742	FALSE
512414	TRUE
109057	TRUE
132661	FALSE
514080	TRUE
529653	TRUE
1107548	TRUE
511931	FALSE
40401	TRUE
4342076	TRUE
4343435	TRUE
806026	TRUE
112259	TRUE
112352	TRUE
14917	FALSE
441828	TRUE
725347	TRUE
817013	FALSE
4465677	TRUE
832001	TRUE
4473308	TRUE
4359327	FALSE
4469032	FALSE
2775220	TRUE
218772	TRUE
317953	TRUE
4343065	TRUE
806133	TRUE
1845162	TRUE
282549	FALSE
4409036	TRUE
4345060	TRUE
274011	FALSE
1107055	TRUE
225370	TRUE
976441	TRUE
565514	TRUE
766547	TRUE
4387158	TRUE
2528843	TRUE
4436510	TRUE
141607	TRUE
790466	FALSE
260801	TRUE
339359	FALSE
960695	FALSE
865520	TRUE
4372908	TRUE
3025176	TRUE
62921	TRUE
3192521	TRUE
1142199	TRUE
591043	TRUE
112962	TRUE
4325392	TRUE
1126195	FALSE
1742482	TRUE
148761	TRUE
1118132	TRUE
3348667	FALSE
1124068	TRUE
818357	TRUE
257891	TRUE
949659	TRUE
439457	FALSE
1108706	TRUE
181971	FALSE
4374109	FALSE
585063	FALSE
310249	TRUE
100535	TRUE
1135562	FALSE
537062	TRUE
4416783	TRUE
334709	TRUE
321533	TRUE
331649	TRUE
591796	FALSE
920506	FALSE
3429461	TRUE
4342056	TRUE
546441	TRUE
330263	FALSE
114176	TRUE
3956482	FALSE
361402	TRUE
171397	TRUE
819298	TRUE
4425615	TRUE
563796	FALSE
636022	TRUE
72926	TRUE
370067	FALSE
357342	FALSE
302883	FALSE
829240	TRUE
1112192	TRUE
1787054	TRUE
153521	TRUE
823251	FALSE
447843	TRUE
543572	TRUE
205559	FALSE
149607	TRUE
252636	TRUE
4340148	TRUE
646478	TRUE
532762	TRUE
221294	TRUE
201237	TRUE
835972	TRUE
357329	TRUE
174842	TRUE
848713	TRUE
3211673	TRUE
533420	TRUE
351673	FALSE
3213372	TRUE
333593	TRUE
4463767	FALSE
1106960	TRUE
875451	FALSE
4441545	TRUE
333130	TRUE
825763	TRUE
206114	TRUE
2680784	TRUE
301880	TRUE
947115	TRUE
702400	TRUE
1129706	TRUE
21210	TRUE
240641	TRUE
3058999	TRUE
778762	FALSE
4396740	TRUE
921110	FALSE
246853	TRUE
304223	TRUE
4442779	TRUE
365956	TRUE
255470	TRUE
677590	TRUE
4365141	FALSE
10724	TRUE
14134	FALSE
4359533	TRUE
170883	TRUE
234654	TRUE
772190	TRUE
1119266	TRUE
4375615	TRUE
572843	FALSE
2195623	TRUE
4296752	TRUE
4386366	TRUE
518263	FALSE
982282	TRUE
297256	FALSE
757894	TRUE
626867	TRUE
4375708	TRUE
362891	TRUE
760733	TRUE
2480553	TRUE
244568	TRUE
4343075	TRUE
1104728	TRUE
276370	FALSE
137866	TRUE
266549	TRUE
321346	TRUE
540876	TRUE
4064681	TRUE
1048194	FALSE
619073	TRUE
2183857	TRUE
265874	TRUE
544302	TRUE
224486	TRUE
236949	FALSE
300618	FALSE
329032	FALSE
307760	FALSE
575079	TRUE
83514	FALSE
176775	TRUE
1114110	TRUE
587505	TRUE
211593	TRUE
2366094	TRUE
571072	TRUE
4441200	TRUE
4426298	FALSE
270636	TRUE
134174	FALSE
761132	TRUE
4353625	TRUE
1128225	TRUE
4392535	FALSE
322661	TRUE
1104793	FALSE
4309252	TRUE
4478053	TRUE
740676	TRUE
938948	FALSE
1006554	TRUE
214800	TRUE
313522	TRUE
509377	TRUE
2062934	TRUE
637528	FALSE
1087462	TRUE
4363948	TRUE
575143	TRUE
877509	TRUE
4314534	TRUE
4364838	TRUE
951711	FALSE
2804901	TRUE
345093	TRUE
554984	TRUE
4475220	TRUE
590314	TRUE
262025	TRUE
4441046	TRUE
1109106	TRUE
553623	FALSE
564586	FALSE
766554	TRUE
1122084	TRUE
4466240	TRUE
838990	TRUE
672345	TRUE
228873	TRUE
563811	TRUE
4367855	FALSE
327945	TRUE
256652	TRUE
1591297	TRUE
4295177	TRUE
111464	TRUE
110155	TRUE
1107339	TRUE
209886	FALSE
3414987	TRUE
523133	TRUE
4357289	TRUE
1136795	TRUE
962249	TRUE
3867306	TRUE
4427701	TRUE
240451	FALSE
39385	TRUE
590604	FALSE
806030	FALSE
741867	FALSE
3038460	TRUE
238940	TRUE
166728	TRUE
1132905	TRUE
1040796	TRUE
330888	TRUE
4299608	FALSE
17901	TRUE
4452877	TRUE
1016369	FALSE
3660402	TRUE
146556	TRUE
237131	TRUE
808440	TRUE
313235	FALSE
185410	TRUE
724665	FALSE
70071	TRUE
1856738	TRUE
3860285	TRUE
2853353	FALSE
159584	FALSE
1136342	FALSE
346201	TRUE
842284	TRUE
4388456	TRUE
254116	TRUE
2238644	FALSE
567670	TRUE
749802	TRUE
581316	TRUE
99430	TRUE
582814	TRUE
164443	TRUE
341460	TRUE
609371	TRUE
804325	TRUE
933546	TRUE
242119	FALSE
1105163	TRUE
1028542	FALSE
2981822	TRUE
694505	TRUE
525841	TRUE
2804605	TRUE
1106085	TRUE
4319936	TRUE
554981	TRUE
147773	TRUE
249115	FALSE
825260	TRUE
727834	TRUE
81639	TRUE
207780	TRUE
4446915	FALSE
4465803	TRUE
335960	TRUE
664541	TRUE
225142	FALSE
158932	TRUE
135965	TRUE
107506	TRUE
3045868	TRUE
833553	TRUE
