	Gram_Negative
97685	TRUE
538535	TRUE
349986	TRUE
1124207	TRUE
102620	TRUE
4353625	TRUE
4370980	TRUE
136025	TRUE
621842	TRUE
702400	TRUE
4455980	FALSE
4473288	TRUE
1016465	TRUE
537062	TRUE
114176	TRUE
552508	TRUE
137866	TRUE
2781721	TRUE
2609531	TRUE
538178	TRUE
948180	FALSE
422295	FALSE
312009	TRUE
4439950	FALSE
551347	TRUE
341734	TRUE
70494	TRUE
343315	TRUE
101015	TRUE
155521	TRUE
830956	TRUE
529653	TRUE
215441	TRUE
4299614	TRUE
304801	TRUE
4416783	TRUE
254116	TRUE
109057	TRUE
354483	TRUE
1107903	TRUE
585063	FALSE
232796	TRUE
554981	TRUE
258655	FALSE
4469487	TRUE
448094	TRUE
646478	TRUE
4064681	TRUE
2238644	FALSE
4480289	TRUE
1130212	TRUE
878161	TRUE
265874	TRUE
4478236	TRUE
351673	FALSE
579324	FALSE
98258	TRUE
354518	TRUE
4386464	TRUE
314474	TRUE
154607	TRUE
569951	TRUE
577123	TRUE
4465164	TRUE
993127	TRUE
4465584	TRUE
143326	TRUE
4424338	TRUE
1928988	TRUE
689621	TRUE
1112599	TRUE
304223	TRUE
3208	TRUE
525841	TRUE
279370	TRUE
814067	TRUE
3860285	TRUE
1139117	FALSE
829240	TRUE
813687	TRUE
113207	TRUE
4424382	TRUE
1105509	TRUE
159172	FALSE
37747	FALSE
4324601	TRUE
739464	TRUE
345093	TRUE
238105	TRUE
136924	TRUE
740676	TRUE
4460593	TRUE
344914	TRUE
278735	TRUE
1144747	TRUE
197233	FALSE
325904	TRUE
1145468	TRUE
574952	TRUE
4358878	TRUE
439457	FALSE
787663	FALSE
248468	FALSE
572843	FALSE
181252	TRUE
334709	TRUE
164443	TRUE
328826	TRUE
288743	TRUE
4436487	TRUE
307425	TRUE
640060	TRUE
4393019	FALSE
3240665	TRUE
741691	TRUE
362891	TRUE
165687	TRUE
2932342	TRUE
1136762	FALSE
513156	TRUE
255671	FALSE
3603301	FALSE
4392535	FALSE
818599	FALSE
2153555	FALSE
815925	TRUE
342224	TRUE
2528843	TRUE
583622	FALSE
225370	TRUE
1106925	TRUE
337036	TRUE
1114496	TRUE
591394	TRUE
744941	TRUE
718979	TRUE
10724	TRUE
810972	FALSE
544480	FALSE
20957	TRUE
4413099	TRUE
574883	TRUE
4327197	TRUE
836059	TRUE
276370	FALSE
4264161	TRUE
4474998	FALSE
2981822	TRUE
3471198	TRUE
4409036	TRUE
329004	TRUE
2222988	TRUE
160916	TRUE
305633	TRUE
141607	TRUE
819561	TRUE
313235	FALSE
327767	TRUE
3208272	TRUE
4330745	TRUE
569119	TRUE
3728302	TRUE
545863	TRUE
4411365	TRUE
727834	TRUE
960695	FALSE
4366355	TRUE
975158	TRUE
3154121	TRUE
1136342	FALSE
3253	TRUE
851938	FALSE
1007384	FALSE
365956	TRUE
724665	FALSE
112750	TRUE
4435356	TRUE
557211	TRUE
341460	TRUE
518854	TRUE
242585	TRUE
4403486	TRUE
327055	TRUE
3192521	TRUE
624006	TRUE
4288257	TRUE
817309	TRUE
782961	TRUE
236166	FALSE
1078732	TRUE
4415437	TRUE
4378660	TRUE
83514	FALSE
5137	TRUE
147700	TRUE
4374816	TRUE
2058154	TRUE
3457597	TRUE
565890	TRUE
240451	FALSE
4450615	TRUE
904196	FALSE
1637549	TRUE
626867	TRUE
11282	TRUE
543572	TRUE
785565	TRUE
227068	TRUE
4375708	TRUE
933546	TRUE
342100	TRUE
4471424	TRUE
4392549	FALSE
563194	TRUE
1105555	TRUE
325735	TRUE
1106468	TRUE
1140434	TRUE
719631	TRUE
57451	TRUE
625724	TRUE
627816	TRUE
254686	TRUE
4459021	TRUE
112962	TRUE
279010	TRUE
1543166	TRUE
1118132	TRUE
565917	TRUE
4401013	TRUE
195246	TRUE
208265	TRUE
1011514	TRUE
4371645	FALSE
157669	TRUE
210958	TRUE
4396977	FALSE
831559	TRUE
62921	TRUE
4446915	FALSE
318061	TRUE
814148	TRUE
4441046	TRUE
4314926	TRUE
301880	TRUE
525942	TRUE
817401	TRUE
559852	TRUE
679745	FALSE
4467056	FALSE
254888	TRUE
708774	TRUE
297256	FALSE
1132905	TRUE
