	Gram_Negative
542933	FALSE
913229	TRUE
300387	FALSE
284672	TRUE
201237	TRUE
639712	FALSE
1134274	TRUE
4433034	TRUE
702400	TRUE
23652	TRUE
130922	FALSE
114176	TRUE
552508	TRUE
931727	FALSE
567670	TRUE
220524	FALSE
4254951	TRUE
1845162	TRUE
539735	FALSE
668615	FALSE
2051733	TRUE
155521	TRUE
681357	TRUE
330263	FALSE
529653	TRUE
4386366	TRUE
141154	TRUE
110317	FALSE
316573	TRUE
109057	TRUE
1136342	FALSE
4366342	TRUE
17901	TRUE
4451400	FALSE
808440	TRUE
298813	FALSE
154682	TRUE
1110814	TRUE
313493	FALSE
2191823	TRUE
234515	TRUE
4073887	TRUE
817013	FALSE
837605	TRUE
3905299	FALSE
578224	TRUE
2375130	TRUE
4343435	TRUE
302883	FALSE
4359327	FALSE
104310	FALSE
138575	FALSE
4478053	TRUE
171126	TRUE
2326885	TRUE
4469705	TRUE
788632	TRUE
1902911	FALSE
993127	TRUE
1128225	TRUE
1145468	TRUE
307425	TRUE
646478	TRUE
561066	TRUE
588787	TRUE
787877	TRUE
758320	FALSE
3240665	TRUE
626867	TRUE
830956	TRUE
350334	TRUE
842284	TRUE
575143	TRUE
543724	TRUE
4332665	FALSE
574883	TRUE
824974	TRUE
456617	TRUE
270376	TRUE
195925	TRUE
569953	TRUE
1086805	FALSE
1106318	TRUE
3706429	TRUE
1144747	TRUE
4397655	FALSE
335960	TRUE
1010113	TRUE
240170	TRUE
1560939	TRUE
4458619	FALSE
101553	TRUE
4322208	TRUE
4367491	FALSE
678059	TRUE
242119	FALSE
40401	TRUE
2932342	TRUE
313926	TRUE
235042	TRUE
255671	FALSE
325677	TRUE
632346	TRUE
590604	FALSE
1003206	TRUE
824043	TRUE
238940	TRUE
693124	TRUE
1107711	TRUE
285497	TRUE
4317477	FALSE
4374557	TRUE
225370	TRUE
1107031	TRUE
513927	TRUE
4342531	TRUE
4466240	TRUE
1539143	TRUE
4297284	TRUE
1068470	TRUE
2738701	TRUE
4453726	TRUE
112337	TRUE
4342066	TRUE
689621	TRUE
817451	FALSE
206114	TRUE
250908	TRUE
2579939	TRUE
335383	TRUE
2376926	FALSE
2806353	TRUE
1026431	FALSE
3956482	FALSE
132661	FALSE
141607	TRUE
1078375	TRUE
949545	FALSE
251620	TRUE
136286	TRUE
212239	TRUE
33606	TRUE
664541	TRUE
316772	TRUE
4477837	TRUE
4347887	TRUE
563796	FALSE
324488	TRUE
270104	TRUE
62921	TRUE
1040796	TRUE
4106309	TRUE
1114358	FALSE
1104793	FALSE
208171	TRUE
4298791	TRUE
978072	TRUE
150851	FALSE
4297214	TRUE
587581	TRUE
238741	TRUE
2853353	FALSE
565514	TRUE
1797097	TRUE
549206	TRUE
239868	TRUE
317953	TRUE
210958	TRUE
1127642	TRUE
329032	FALSE
3290338	TRUE
3457597	TRUE
556139	TRUE
4396860	TRUE
510839	TRUE
573757	FALSE
234196	TRUE
517031	TRUE
4313359	TRUE
542071	TRUE
939545	FALSE
824904	TRUE
107506	TRUE
129508	FALSE
234654	TRUE
668009	TRUE
3348667	FALSE
72214	TRUE
576679	TRUE
557211	TRUE
811571	TRUE
215441	TRUE
4434699	TRUE
321346	TRUE
351673	FALSE
269907	TRUE
4326288	TRUE
543572	TRUE
4420763	TRUE
849585	FALSE
824583	TRUE
3860285	TRUE
3076501	FALSE
4387837	TRUE
863019	FALSE
253315	TRUE
310439	TRUE
4420771	TRUE
257492	FALSE
4298967	TRUE
256575	TRUE
235527	TRUE
333130	TRUE
134174	FALSE
1967331	TRUE
3590660	TRUE
814148	TRUE
178263	TRUE
14475	FALSE
4064681	TRUE
994959	TRUE
4244621	TRUE
4320593	TRUE
3843951	FALSE
809380	FALSE
274447	TRUE
639286	TRUE
4355481	TRUE
348570	TRUE
4456771	TRUE
4195126	TRUE
1112881	TRUE
268483	TRUE
128429	TRUE
833257	TRUE
72559	TRUE
1087298	TRUE
114821	TRUE
1111413	TRUE
279010	TRUE
1011514	TRUE
680079	TRUE
538924	TRUE
761601	TRUE
4475161	TRUE
313174	TRUE
346019	TRUE
3192521	TRUE
4388994	TRUE
1135562	FALSE
179922	TRUE
622992	TRUE
4405880	TRUE
4462876	TRUE
1114337	TRUE
761592	FALSE
2715999	TRUE
3254194	TRUE
252374	TRUE
4415166	TRUE
83349	TRUE
255802	FALSE
4481861	FALSE
347501	TRUE
1059762	TRUE
180089	TRUE
539508	TRUE
4377104	TRUE
1111111	TRUE
254951	TRUE
1897766	TRUE
772190	TRUE
806030	FALSE
354247	TRUE
4435532	TRUE
727369	TRUE
342034	TRUE
4443105	TRUE
993455	TRUE
943138	TRUE
10724	TRUE
320773	TRUE
146126	TRUE
4439294	TRUE
4343065	TRUE
4430489	TRUE
574835	TRUE
577018	TRUE
4340807	TRUE
304801	TRUE
2401319	TRUE
4357289	TRUE
4425801	TRUE
460236	TRUE
206386	TRUE
4408637	TRUE
152130	FALSE
3760116	TRUE
247441	TRUE
181641	TRUE
548050	TRUE
806474	TRUE
4374027	FALSE
275275	TRUE
14917	FALSE
590137	FALSE
573035	FALSE
2055428	TRUE
575067	FALSE
291315	TRUE
166322	TRUE
4454356	TRUE
4329303	TRUE
314297	TRUE
4483262	TRUE
1106960	TRUE
256758	TRUE
790466	FALSE
791815	TRUE
4236006	TRUE
686219	FALSE
60179	TRUE
832359	TRUE
16864	TRUE
2317377	TRUE
782472	TRUE
4441046	TRUE
838990	TRUE
1139618	TRUE
582813	FALSE
4378239	FALSE
1108952	TRUE
356942	TRUE
146556	TRUE
165105	TRUE
588112	TRUE
701393	TRUE
211593	TRUE
331119	TRUE
1105584	TRUE
106690	TRUE
622201	TRUE
278735	TRUE
691392	TRUE
200584	FALSE
2572948	TRUE
982282	TRUE
4242238	TRUE
1129931	FALSE
330888	TRUE
512121	FALSE
275384	TRUE
4394095	TRUE
829240	TRUE
585063	FALSE
179879	TRUE
541079	TRUE
4312329	TRUE
882018	FALSE
4282479	TRUE
581316	TRUE
163407	FALSE
4377341	TRUE
809730	TRUE
590476	TRUE
4481373	TRUE
220353	TRUE
4295181	TRUE
112259	TRUE
1016369	FALSE
1640195	TRUE
310249	TRUE
3555019	TRUE
110155	TRUE
4463951	TRUE
555217	TRUE
3645942	TRUE
2247275	TRUE
539547	TRUE
354725	TRUE
694505	TRUE
343165	TRUE
562922	FALSE
4451743	FALSE
312923	TRUE
190843	TRUE
344676	TRUE
225187	TRUE
4372908	TRUE
1115987	TRUE
301921	FALSE
238105	TRUE
27926	TRUE
573599	TRUE
110755	TRUE
2526712	TRUE
571304	TRUE
1130890	TRUE
4476001	TRUE
4437283	TRUE
469663	FALSE
145173	TRUE
249115	FALSE
4465677	TRUE
104610	FALSE
1500147	TRUE
693333	TRUE
339359	FALSE
571072	TRUE
427183	FALSE
344914	TRUE
349441	FALSE
4221693	FALSE
518263	FALSE
1106085	TRUE
4404172	TRUE
4301763	TRUE
4428688	TRUE
1591297	TRUE
1112543	TRUE
3760122	FALSE
832260	TRUE
3769417	TRUE
806354	TRUE
538679	TRUE
4359533	TRUE
866187	TRUE
574510	TRUE
4467690	FALSE
344838	TRUE
1028542	FALSE
4330745	TRUE
538178	TRUE
141106	TRUE
3058999	TRUE
112352	TRUE
535910	TRUE
