	Gram_Negative
542933	FALSE
661170	TRUE
913229	TRUE
300387	FALSE
284672	TRUE
245599	TRUE
582931	TRUE
201237	TRUE
639712	FALSE
4479753	TRUE
1134274	TRUE
4433034	TRUE
702400	TRUE
23652	TRUE
130922	FALSE
4403779	TRUE
4376863	FALSE
255100	TRUE
724298	FALSE
114176	TRUE
552508	TRUE
931727	FALSE
567670	TRUE
220524	FALSE
830341	TRUE
3854077	TRUE
861192	TRUE
4254951	TRUE
1845162	TRUE
539735	FALSE
668615	FALSE
209886	FALSE
3297956	TRUE
2051733	TRUE
155521	TRUE
1603735	TRUE
4076076	TRUE
681357	TRUE
330263	FALSE
227130	TRUE
4453099	TRUE
529653	TRUE
4386366	TRUE
739464	TRUE
141154	TRUE
110317	FALSE
316573	TRUE
109057	TRUE
1136342	FALSE
4366342	TRUE
17901	TRUE
4451400	FALSE
808440	TRUE
114811	TRUE
298813	FALSE
154682	TRUE
1110814	TRUE
313493	FALSE
355762	TRUE
2191823	TRUE
252636	TRUE
835972	TRUE
234515	TRUE
4073887	TRUE
817013	FALSE
837605	TRUE
388833	TRUE
3905299	FALSE
578224	TRUE
98258	TRUE
2375130	TRUE
4343435	TRUE
302883	FALSE
4359327	FALSE
160300	TRUE
153007	TRUE
104310	FALSE
138575	FALSE
4478053	TRUE
2016519	TRUE
171126	TRUE
2326885	TRUE
1120649	TRUE
4469705	TRUE
788632	TRUE
1902911	FALSE
993127	TRUE
1128225	TRUE
2195623	TRUE
1145468	TRUE
307425	TRUE
646478	TRUE
4298787	TRUE
561066	TRUE
588787	TRUE
787877	TRUE
974817	FALSE
758320	FALSE
3240665	TRUE
626867	TRUE
830956	TRUE
350334	TRUE
842284	TRUE
569736	TRUE
4398746	FALSE
575143	TRUE
543724	TRUE
4332665	FALSE
92209	TRUE
574883	TRUE
1107679	TRUE
824974	TRUE
4382408	TRUE
456617	TRUE
270376	TRUE
195925	TRUE
569953	TRUE
1086805	FALSE
1106318	TRUE
3706429	TRUE
587051	TRUE
1144747	TRUE
39385	TRUE
3211673	TRUE
4397655	FALSE
335960	TRUE
1010113	TRUE
240170	TRUE
1560939	TRUE
4458619	FALSE
345093	TRUE
334709	TRUE
101553	TRUE
4322208	TRUE
2510845	TRUE
4367491	FALSE
2776654	TRUE
678059	TRUE
242119	FALSE
40401	TRUE
2932342	TRUE
313926	TRUE
4479618	TRUE
235042	TRUE
255671	FALSE
325677	TRUE
632346	TRUE
590604	FALSE
1003206	TRUE
824043	TRUE
4343075	TRUE
238940	TRUE
693124	TRUE
552183	TRUE
1107711	TRUE
285497	TRUE
4317477	FALSE
342224	TRUE
4374557	TRUE
2981825	TRUE
225370	TRUE
1107031	TRUE
513927	TRUE
4342531	TRUE
4466240	TRUE
1539143	TRUE
186867	TRUE
4297284	TRUE
1068470	TRUE
2738701	TRUE
4453726	TRUE
112337	TRUE
4342066	TRUE
689621	TRUE
2238644	FALSE
817451	FALSE
206114	TRUE
250908	TRUE
4409528	TRUE
4306040	TRUE
2579939	TRUE
633392	TRUE
587951	TRUE
335383	TRUE
2376926	FALSE
1787054	TRUE
2806353	TRUE
1026431	FALSE
2860880	TRUE
3956482	FALSE
132661	FALSE
624006	TRUE
141607	TRUE
1078375	TRUE
949545	FALSE
251620	TRUE
725347	TRUE
540643	TRUE
136286	TRUE
212239	TRUE
33606	TRUE
664541	TRUE
316772	TRUE
3685327	TRUE
544033	TRUE
353248	TRUE
4477837	TRUE
4388764	TRUE
4347887	TRUE
563796	FALSE
324488	TRUE
270104	TRUE
62921	TRUE
1040796	TRUE
316737	TRUE
4106309	TRUE
1114358	FALSE
237144	TRUE
1104793	FALSE
208171	TRUE
4298791	TRUE
978072	TRUE
150851	FALSE
4297214	TRUE
587581	TRUE
238741	TRUE
2853353	FALSE
565514	TRUE
552866	FALSE
1797097	TRUE
1766551	TRUE
549206	TRUE
239868	TRUE
317953	TRUE
210958	TRUE
314001	TRUE
766547	TRUE
1127642	TRUE
575252	TRUE
329032	FALSE
3290338	TRUE
3457597	TRUE
691008	TRUE
341460	TRUE
1132384	TRUE
556139	TRUE
4396860	TRUE
510839	TRUE
573757	FALSE
234196	TRUE
517031	TRUE
4313359	TRUE
331776	TRUE
542071	TRUE
4148176	TRUE
939545	FALSE
824904	TRUE
251153	TRUE
107506	TRUE
585568	TRUE
129508	FALSE
234654	TRUE
668009	TRUE
3348667	FALSE
72214	TRUE
576679	TRUE
557211	TRUE
811571	TRUE
513117	TRUE
215441	TRUE
4434699	TRUE
321346	TRUE
704361	TRUE
67842	TRUE
889831	TRUE
2658745	TRUE
