	Gram_Negative
151316	TRUE
2860	TRUE
836007	TRUE
4358878	TRUE
4478949	TRUE
4403105	TRUE
4456435	TRUE
575079	TRUE
109057	TRUE
644385	TRUE
4349537	TRUE
1678827	TRUE
227000	FALSE
4443384	TRUE
4463263	TRUE
4465584	TRUE
4375596	TRUE
587391	TRUE
3164102	TRUE
182038	FALSE
325904	TRUE
832359	TRUE
611320	TRUE
553974	TRUE
336986	TRUE
4420771	TRUE
4479618	TRUE
4387407	TRUE
98554	TRUE
4412803	TRUE
361402	TRUE
547139	TRUE
4416718	TRUE
1116149	TRUE
829116	TRUE
4421933	TRUE
551164	TRUE
4437259	TRUE
114811	TRUE
4184652	TRUE
1111553	TRUE
4411920	TRUE
238105	TRUE
677590	TRUE
557998	TRUE
4229057	TRUE
195246	TRUE
3760122	FALSE
159170	TRUE
4306533	TRUE
99933	TRUE
3867306	TRUE
232551	FALSE
4410004	TRUE
21210	TRUE
1856738	TRUE
570408	TRUE
266995	FALSE
566357	TRUE
3760117	TRUE
590476	TRUE
3208	TRUE
145637	TRUE
4398746	FALSE
150582	TRUE
661170	TRUE
535383	TRUE
210359	FALSE
849122	TRUE
1114110	TRUE
605566	TRUE
992246	TRUE
1132384	TRUE
571072	TRUE
539453	TRUE
1110665	TRUE
804325	TRUE
