	Gram_Negative
151316	TRUE
4334160	TRUE
707290	TRUE
2860	TRUE
836007	TRUE
4353625	TRUE
4358878	TRUE
511931	FALSE
4478586	FALSE
342224	TRUE
1121123	TRUE
851799	TRUE
3134290	TRUE
537062	TRUE
931727	FALSE
153594	FALSE
1062748	FALSE
341734	TRUE
351929	TRUE
4452721	TRUE
4478949	TRUE
4403105	TRUE
356532	TRUE
4456435	TRUE
575079	TRUE
228587	TRUE
351673	FALSE
586458	FALSE
109057	TRUE
333130	TRUE
644385	TRUE
137183	FALSE
1047041	FALSE
856135	TRUE
238741	TRUE
1026431	FALSE
4349537	TRUE
1065569	FALSE
313235	FALSE
554911	TRUE
993127	TRUE
10724	TRUE
237131	TRUE
1045843	FALSE
998966	FALSE
2480553	TRUE
1678827	TRUE
227000	FALSE
4443384	TRUE
4463263	TRUE
739464	TRUE
4465584	TRUE
515169	FALSE
4393921	FALSE
4304512	TRUE
541511	TRUE
4375596	TRUE
837605	TRUE
164443	TRUE
587391	TRUE
4403168	FALSE
4340816	FALSE
550484	TRUE
563796	FALSE
321346	TRUE
3164102	TRUE
182038	FALSE
325904	TRUE
563693	TRUE
832359	TRUE
611320	TRUE
4418395	TRUE
745395	TRUE
553974	TRUE
528829	FALSE
2163606	TRUE
962249	TRUE
525841	TRUE
336986	TRUE
997642	TRUE
681073	FALSE
4420771	TRUE
137516	TRUE
763358	FALSE
4479618	TRUE
335960	TRUE
1106278	TRUE
4369009	TRUE
4387407	TRUE
98554	TRUE
1136342	FALSE
4480305	TRUE
4412803	TRUE
1015143	FALSE
306254	FALSE
637931	TRUE
361402	TRUE
235943	FALSE
547139	TRUE
104179	FALSE
557211	TRUE
540653	FALSE
994959	TRUE
4416718	TRUE
1116149	TRUE
1107031	TRUE
114621	TRUE
533420	TRUE
101553	TRUE
4418992	TRUE
523593	FALSE
83514	FALSE
830956	TRUE
829116	TRUE
4455980	FALSE
626867	TRUE
584241	FALSE
4421933	TRUE
310249	TRUE
149607	TRUE
531374	FALSE
551164	TRUE
4437259	TRUE
114811	TRUE
4184652	TRUE
4397593	FALSE
4359533	TRUE
1106384	FALSE
554981	TRUE
575252	TRUE
933546	TRUE
1111553	TRUE
287608	FALSE
224486	TRUE
960695	FALSE
4411920	TRUE
313174	TRUE
538679	TRUE
254888	TRUE
238105	TRUE
585568	TRUE
342034	TRUE
569884	TRUE
4451400	FALSE
4458736	TRUE
677590	TRUE
805022	TRUE
1135562	FALSE
575143	TRUE
753560	TRUE
11427	FALSE
557998	TRUE
203057	TRUE
951711	FALSE
4229057	TRUE
195246	TRUE
561516	TRUE
3706429	TRUE
4304971	FALSE
1112543	TRUE
1011514	TRUE
4427030	TRUE
3760122	FALSE
251001	TRUE
882018	FALSE
1110437	FALSE
1107555	TRUE
1104793	FALSE
207780	TRUE
323712	TRUE
1109245	TRUE
150441	TRUE
159170	TRUE
4306533	TRUE
99933	TRUE
1967331	TRUE
14475	FALSE
270636	TRUE
552508	TRUE
1010113	TRUE
821141	TRUE
344914	TRUE
3867306	TRUE
4326871	FALSE
541244	FALSE
807851	TRUE
4396740	TRUE
320773	TRUE
232551	FALSE
238940	TRUE
4394926	TRUE
185410	TRUE
4410004	TRUE
21210	TRUE
758023	TRUE
1856738	TRUE
758112	TRUE
587616	FALSE
636022	TRUE
235042	TRUE
357342	FALSE
201237	TRUE
4406621	TRUE
4434807	FALSE
570408	TRUE
266995	FALSE
229420	TRUE
4329788	FALSE
566357	TRUE
4456461	FALSE
816411	TRUE
2143302	TRUE
2317377	TRUE
3760117	TRUE
295053	TRUE
590476	TRUE
1104728	TRUE
979107	TRUE
302883	FALSE
3208	TRUE
235527	TRUE
4357413	TRUE
136025	TRUE
366545	FALSE
145637	TRUE
544302	TRUE
75585	FALSE
591796	FALSE
1044315	TRUE
3991527	FALSE
4398746	FALSE
1126467	FALSE
585063	FALSE
867135	TRUE
150582	TRUE
588411	TRUE
825130	TRUE
4442779	TRUE
661170	TRUE
4425615	TRUE
535383	TRUE
4388765	TRUE
210359	FALSE
104129	TRUE
768898	FALSE
60179	TRUE
4325199	FALSE
840347	TRUE
911243	TRUE
1835918	TRUE
968354	FALSE
4467056	FALSE
4053303	TRUE
849122	TRUE
165553	TRUE
114498	TRUE
1114110	TRUE
4331429	FALSE
960983	FALSE
605566	TRUE
301921	FALSE
564587	TRUE
1897353	TRUE
574883	TRUE
307846	TRUE
370067	FALSE
114788	TRUE
1107230	TRUE
631818	TRUE
538600	TRUE
22928	FALSE
288743	TRUE
855839	FALSE
4106309	TRUE
291149	FALSE
992246	TRUE
339359	FALSE
1075821	FALSE
1132384	TRUE
4314534	TRUE
4401013	TRUE
592877	FALSE
571072	TRUE
135965	TRUE
696477	TRUE
539453	TRUE
99430	TRUE
724665	FALSE
4295177	TRUE
269907	TRUE
92008	TRUE
153548	FALSE
1111234	TRUE
174755	FALSE
1110665	TRUE
626314	TRUE
804325	TRUE
354725	TRUE
718758	TRUE
321533	TRUE
806030	FALSE
4441046	TRUE
536986	TRUE
318061	TRUE
