	Gram_Negative
321047	TRUE
1110665	TRUE
325904	TRUE
2860	TRUE
249365	TRUE
1132384	TRUE
809980	TRUE
741691	TRUE
4479618	TRUE
570408	TRUE
305967	TRUE
2932342	TRUE
114811	TRUE
3122805	FALSE
2374557	TRUE
574883	TRUE
324488	TRUE
109057	TRUE
1107711	TRUE
661170	TRUE
4473308	TRUE
4398746	FALSE
282549	FALSE
4385170	TRUE
3025176	TRUE
148761	TRUE
310249	TRUE
334709	TRUE
837775	TRUE
361402	TRUE
227000	FALSE
636022	TRUE
208171	TRUE
1787054	TRUE
1108984	TRUE
543572	TRUE
4340148	TRUE
2776653	TRUE
3852555	TRUE
1107679	TRUE
801421	TRUE
702400	TRUE
151316	TRUE
2401319	TRUE
2194481	TRUE
4396740	TRUE
808539	TRUE
677590	TRUE
540643	TRUE
513117	TRUE
4366536	TRUE
1114496	TRUE
1106925	TRUE
536121	TRUE
4392826	TRUE
341734	TRUE
757894	TRUE
573032	TRUE
698647	FALSE
760733	TRUE
590548	FALSE
321346	TRUE
334363	TRUE
159170	TRUE
4456435	TRUE
587505	TRUE
740676	TRUE
605566	TRUE
569893	TRUE
2062934	TRUE
345093	TRUE
1109106	TRUE
4475254	FALSE
563202	TRUE
566357	TRUE
255100	TRUE
563693	TRUE
523133	TRUE
3867306	TRUE
2710	TRUE
557998	TRUE
1132905	TRUE
588112	TRUE
811810	TRUE
1120649	TRUE
4481373	TRUE
832359	TRUE
185410	TRUE
4359640	TRUE
1856738	TRUE
346201	TRUE
1016465	TRUE
1111255	TRUE
581316	TRUE
164443	TRUE
147773	TRUE
833553	TRUE
