	Gram_Negative
1109245	TRUE
2326885	TRUE
3041662	TRUE
4461101	TRUE
356942	TRUE
4300389	TRUE
1065569	FALSE
701393	TRUE
2550290	TRUE
3760117	TRUE
226126	TRUE
4425801	TRUE
4374027	FALSE
2845471	TRUE
806354	TRUE
819910	TRUE
2153555	FALSE
300387	FALSE
588995	TRUE
4480305	TRUE
4374816	TRUE
4466618	TRUE
110976	TRUE
550937	FALSE
2317377	TRUE
4329303	TRUE
4437259	TRUE
1135388	FALSE
578659	FALSE
165687	TRUE
4451400	FALSE
129508	FALSE
3837757	TRUE
4358716	TRUE
978072	TRUE
278097	TRUE
160903	TRUE
137516	TRUE
253488	FALSE
539508	TRUE
3114957	TRUE
571304	TRUE
821884	TRUE
155521	TRUE
3240665	TRUE
867135	TRUE
1130212	TRUE
256575	TRUE
244247	TRUE
810119	TRUE
809730	TRUE
1015143	FALSE
104788	TRUE
347501	TRUE
154412	TRUE
4475161	TRUE
1114337	TRUE
585568	TRUE
531374	FALSE
4326288	TRUE
573599	TRUE
516022	FALSE
38435	TRUE
1140434	TRUE
1112543	TRUE
258327	TRUE
353181	TRUE
554911	TRUE
685178	TRUE
515169	FALSE
1107771	TRUE
786067	FALSE
565917	TRUE
336306	TRUE
536947	FALSE
710897	TRUE
804742	FALSE
512414	TRUE
132661	FALSE
514080	TRUE
529653	TRUE
511931	FALSE
40401	TRUE
4357413	TRUE
4342076	TRUE
4343435	TRUE
806026	TRUE
112259	TRUE
112352	TRUE
14917	FALSE
217797	FALSE
441828	TRUE
4334638	FALSE
2055428	TRUE
761601	TRUE
257221	TRUE
725347	TRUE
817013	FALSE
2153390	TRUE
832001	TRUE
571176	FALSE
509138	TRUE
4359327	FALSE
4469032	FALSE
1107031	TRUE
2775220	TRUE
317953	TRUE
237144	TRUE
4343065	TRUE
3900309	TRUE
806133	TRUE
1845162	TRUE
4409036	TRUE
4345060	TRUE
758112	TRUE
201361	TRUE
225370	TRUE
976441	TRUE
1114358	FALSE
565514	TRUE
766547	TRUE
4387158	TRUE
141607	TRUE
790466	FALSE
339359	FALSE
681073	FALSE
4372908	TRUE
62921	TRUE
3192521	TRUE
591043	TRUE
4325392	TRUE
517031	TRUE
1126195	FALSE
1078375	TRUE
1742482	TRUE
14475	FALSE
1118132	TRUE
3348667	FALSE
4396041	TRUE
818357	TRUE
107461	TRUE
812016	TRUE
1108706	TRUE
585063	FALSE
262768	TRUE
190843	TRUE
4351262	TRUE
1135562	FALSE
725769	TRUE
558772	FALSE
350334	TRUE
849585	FALSE
321533	TRUE
331649	TRUE
591796	FALSE
920506	FALSE
1856738	TRUE
252063	FALSE
4342056	TRUE
99912	TRUE
114176	TRUE
569884	TRUE
62707	FALSE
819298	TRUE
4425615	TRUE
563796	FALSE
72926	TRUE
194024	TRUE
370067	FALSE
582609	TRUE
357342	FALSE
1120876	TRUE
96373	TRUE
829240	TRUE
153521	TRUE
536796	TRUE
447843	TRUE
968354	FALSE
205559	FALSE
149607	TRUE
4076076	TRUE
646478	TRUE
469663	FALSE
799922	TRUE
532762	TRUE
221294	TRUE
4266055	TRUE
2920448	TRUE
864067	TRUE
4443105	TRUE
201237	TRUE
239868	TRUE
512121	FALSE
357329	TRUE
174842	TRUE
3211673	TRUE
533420	TRUE
351673	FALSE
3213372	TRUE
4463767	FALSE
346656	TRUE
875451	FALSE
4441545	TRUE
182928	TRUE
333130	TRUE
825763	TRUE
206114	TRUE
2680784	TRUE
947115	TRUE
1129706	TRUE
235042	TRUE
3706429	TRUE
4388994	TRUE
240641	TRUE
3058999	TRUE
778762	FALSE
304223	TRUE
4442779	TRUE
4424553	TRUE
811257	TRUE
4365141	FALSE
10724	TRUE
4359533	TRUE
259809	TRUE
4053303	TRUE
772190	TRUE
1119266	TRUE
572843	FALSE
331119	TRUE
4386366	TRUE
612198	TRUE
815435	TRUE
810893	FALSE
297256	FALSE
974817	FALSE
4375708	TRUE
2480553	TRUE
244568	TRUE
4343075	TRUE
1104728	TRUE
4474787	TRUE
137866	TRUE
266549	TRUE
348570	TRUE
1048194	FALSE
619073	TRUE
2183857	TRUE
4106309	TRUE
544302	TRUE
224486	TRUE
810700	TRUE
329032	FALSE
322919	TRUE
307760	FALSE
236051	TRUE
83514	FALSE
1114110	TRUE
2247631	TRUE
7511	TRUE
460236	TRUE
110525	TRUE
4282479	TRUE
4426298	FALSE
270636	TRUE
134174	FALSE
761132	TRUE
587607	TRUE
4353625	TRUE
4392535	FALSE
322661	TRUE
1104793	FALSE
4309252	TRUE
4478053	TRUE
548196	TRUE
938948	FALSE
249848	TRUE
533742	TRUE
1006554	TRUE
214800	TRUE
3645942	TRUE
1087462	TRUE
4363948	TRUE
575143	TRUE
877509	TRUE
4314534	TRUE
4364838	TRUE
951711	FALSE
327767	TRUE
4434807	FALSE
342034	TRUE
554984	TRUE
590314	TRUE
262025	TRUE
4441046	TRUE
553623	FALSE
564586	FALSE
1122084	TRUE
4466240	TRUE
568330	TRUE
838990	TRUE
260011	TRUE
563811	TRUE
4367855	FALSE
327945	TRUE
1591297	TRUE
4295177	TRUE
111464	TRUE
1967331	TRUE
110155	TRUE
181641	TRUE
1107339	TRUE
4462887	TRUE
4357289	TRUE
1136795	TRUE
962249	TRUE
4427701	TRUE
240451	FALSE
150851	FALSE
590604	FALSE
806030	FALSE
741867	FALSE
3038460	TRUE
238940	TRUE
2181341	TRUE
166728	TRUE
154435	TRUE
1040796	TRUE
538178	TRUE
330888	TRUE
4299608	FALSE
17901	TRUE
4452877	TRUE
1016369	FALSE
3660402	TRUE
146556	TRUE
4413502	TRUE
1124207	TRUE
688533	TRUE
237131	TRUE
250908	TRUE
4328659	TRUE
931727	FALSE
4215051	TRUE
2221063	TRUE
808440	TRUE
354725	TRUE
539866	TRUE
4451743	FALSE
3825329	TRUE
724665	FALSE
70071	TRUE
1139618	TRUE
575252	TRUE
830956	TRUE
166322	TRUE
3860285	TRUE
2853353	FALSE
538238	TRUE
159584	FALSE
104179	FALSE
1136342	FALSE
254116	TRUE
2238644	FALSE
567670	TRUE
99430	TRUE
582814	TRUE
275384	TRUE
224880	TRUE
341460	TRUE
804325	TRUE
1087298	TRUE
933546	TRUE
693333	TRUE
1105163	TRUE
2981822	TRUE
570595	TRUE
4304971	FALSE
694505	TRUE
22928	FALSE
525841	TRUE
2804605	TRUE
1106085	TRUE
4319936	TRUE
554981	TRUE
580438	TRUE
249115	FALSE
825260	TRUE
254951	TRUE
207780	TRUE
589277	TRUE
4446915	FALSE
4465803	TRUE
335960	TRUE
664541	TRUE
563693	TRUE
2143302	TRUE
164969	TRUE
535910	TRUE
158932	TRUE
135965	TRUE
3290338	TRUE
83349	TRUE
3045868	TRUE
824974	TRUE
