	Gram_Negative
151316	TRUE
324488	TRUE
4334160	TRUE
842284	TRUE
4389591	TRUE
2860	TRUE
2775220	TRUE
1105792	TRUE
4261545	TRUE
1114677	TRUE
4371710	TRUE
832001	TRUE
4353625	TRUE
2804605	TRUE
4358878	TRUE
2896033	TRUE
664541	TRUE
4385170	TRUE
511931	FALSE
134451	FALSE
251050	TRUE
107274	TRUE
538238	TRUE
105395	FALSE
342224	TRUE
1121123	TRUE
851799	TRUE
511928	TRUE
537062	TRUE
153594	FALSE
3058999	TRUE
821884	TRUE
1062748	FALSE
2776653	TRUE
341734	TRUE
258105	TRUE
351929	TRUE
4452721	TRUE
811810	TRUE
252636	TRUE
1108248	TRUE
4076076	TRUE
4478949	TRUE
4454320	TRUE
830956	TRUE
4343435	TRUE
255100	TRUE
1132384	TRUE
539508	TRUE
356532	TRUE
4334349	TRUE
181875	TRUE
4456435	TRUE
575079	TRUE
1109458	TRUE
351673	FALSE
586458	FALSE
109057	TRUE
2662153	TRUE
333130	TRUE
1106054	TRUE
644385	TRUE
818067	TRUE
137183	FALSE
1047041	FALSE
4451932	FALSE
237991	FALSE
856135	TRUE
1132905	TRUE
238741	TRUE
1026431	FALSE
2058154	TRUE
4355551	TRUE
4342056	TRUE
170883	TRUE
278136	TRUE
4349537	TRUE
2655589	TRUE
3825329	TRUE
1107711	TRUE
1065569	FALSE
313235	FALSE
111464	TRUE
4389260	TRUE
993127	TRUE
10724	TRUE
4248322	TRUE
628556	TRUE
274405	TRUE
646478	TRUE
535910	TRUE
588787	TRUE
1045843	FALSE
573896	TRUE
1120876	TRUE
4282479	TRUE
249115	FALSE
2480553	TRUE
818331	TRUE
1678827	TRUE
99430	TRUE
639790	TRUE
227000	FALSE
352526	TRUE
4443384	TRUE
814148	TRUE
4463263	TRUE
83349	TRUE
739464	TRUE
4465584	TRUE
318607	TRUE
4363070	TRUE
515169	FALSE
4393921	FALSE
4304512	TRUE
541511	TRUE
4430489	TRUE
1144747	TRUE
544395	TRUE
2935	TRUE
837605	TRUE
4438557	TRUE
164443	TRUE
114044	TRUE
3825887	TRUE
575143	TRUE
576348	TRUE
1640195	TRUE
576363	TRUE
512663	FALSE
587391	TRUE
4403168	FALSE
4408481	TRUE
4340816	FALSE
550484	TRUE
3114957	TRUE
206114	TRUE
333651	TRUE
270636	TRUE
335960	TRUE
345093	TRUE
4425265	TRUE
4428688	TRUE
2445279	TRUE
563796	FALSE
4374025	TRUE
321346	TRUE
3164102	TRUE
182038	FALSE
4472671	TRUE
4380585	TRUE
4387016	TRUE
67775	TRUE
4451400	FALSE
563693	TRUE
1722070	FALSE
236051	TRUE
2838672	TRUE
832359	TRUE
611320	TRUE
620857	TRUE
2662075	TRUE
4418395	TRUE
859313	FALSE
745395	TRUE
4328606	TRUE
4326669	TRUE
4443256	TRUE
553974	TRUE
528829	FALSE
1107055	TRUE
2163606	TRUE
238105	TRUE
962249	TRUE
525841	TRUE
4420771	TRUE
4318483	FALSE
4406574	FALSE
169264	TRUE
2326885	TRUE
1106278	TRUE
280566	FALSE
4383665	TRUE
804325	TRUE
808539	TRUE
4369009	TRUE
809730	TRUE
4387407	TRUE
98554	TRUE
555217	TRUE
1136342	FALSE
325904	TRUE
553766	TRUE
4480305	TRUE
4461104	TRUE
4412803	TRUE
1015143	FALSE
306254	FALSE
637931	TRUE
879663	FALSE
235928	TRUE
547139	TRUE
104179	FALSE
327084	TRUE
728068	FALSE
320447	TRUE
931727	FALSE
388833	TRUE
208171	TRUE
2205008	TRUE
256652	TRUE
557211	TRUE
352699	TRUE
540653	FALSE
4299429	TRUE
3900309	TRUE
994959	TRUE
4352040	TRUE
213389	TRUE
1107031	TRUE
1107011	TRUE
535342	TRUE
689621	TRUE
114621	TRUE
533420	TRUE
710897	TRUE
574835	TRUE
262025	TRUE
2313484	TRUE
4418992	TRUE
305967	TRUE
237131	TRUE
523593	FALSE
