	Gram_Negative
707290	TRUE
201237	TRUE
4478586	FALSE
537062	TRUE
552508	TRUE
153594	FALSE
948180	FALSE
668615	FALSE
155521	TRUE
830956	TRUE
351673	FALSE
585063	FALSE
4451400	FALSE
554981	TRUE
1130212	TRUE
1142199	TRUE
817013	FALSE
238741	TRUE
3905299	FALSE
4359327	FALSE
104310	FALSE
2130193	TRUE
993127	TRUE
626867	TRUE
2480553	TRUE
1139117	FALSE
829240	TRUE
4305935	TRUE
515169	FALSE
4393921	FALSE
1144747	TRUE
1560939	TRUE
4458619	FALSE
439457	FALSE
787663	FALSE
101553	TRUE
575143	TRUE
1136762	FALSE
255671	FALSE
590604	FALSE
2153555	FALSE
4340816	FALSE
270636	TRUE
1068470	TRUE
112337	TRUE
689621	TRUE
4394095	TRUE
3956482	FALSE
132661	FALSE
276370	FALSE
1078375	TRUE
212239	TRUE
745395	TRUE
563796	FALSE
962249	TRUE
525841	TRUE
104179	FALSE
4106309	TRUE
1136342	FALSE
1126195	FALSE
4480305	TRUE
3253	TRUE
565514	TRUE
210958	TRUE
1127642	TRUE
329032	FALSE
341460	TRUE
994959	TRUE
275105	TRUE
523593	FALSE
83514	FALSE
3348667	FALSE
11282	TRUE
4427701	TRUE
531374	FALSE
112962	TRUE
539866	TRUE
235527	TRUE
333130	TRUE
4446915	FALSE
14475	FALSE
538679	TRUE
4467056	FALSE
297256	FALSE
60179	TRUE
4195126	TRUE
1135562	FALSE
951711	FALSE
4304971	FALSE
4319936	TRUE
4404172	TRUE
761601	TRUE
1087298	TRUE
313174	TRUE
882018	FALSE
3192521	TRUE
1104793	FALSE
761592	FALSE
539313	TRUE
4481861	FALSE
1059762	TRUE
533420	TRUE
539508	TRUE
254951	TRUE
1010113	TRUE
1140185	TRUE
342034	TRUE
993455	TRUE
541244	FALSE
10724	TRUE
807851	TRUE
88754	TRUE
320773	TRUE
540940	FALSE
1107031	TRUE
146126	TRUE
574835	TRUE
136608	TRUE
546268	FALSE
758112	TRUE
539735	FALSE
262096	FALSE
4406621	TRUE
166322	TRUE
4434807	FALSE
4329788	FALSE
1106960	TRUE
2143302	TRUE
782472	TRUE
804742	FALSE
1104728	TRUE
254116	TRUE
4357413	TRUE
4358716	TRUE
366545	FALSE
921110	FALSE
1129931	FALSE
3944484	TRUE
4363948	TRUE
4442779	TRUE
4369968	TRUE
225041	TRUE
933546	TRUE
3290338	TRUE
2775220	TRUE
828806	TRUE
1640195	TRUE
3555019	TRUE
336306	TRUE
176775	TRUE
4253641	TRUE
539547	TRUE
207780	TRUE
840347	TRUE
968354	FALSE
511931	FALSE
4053303	TRUE
1016369	FALSE
4374109	FALSE
304211	FALSE
225187	TRUE
301921	FALSE
574883	TRUE
81639	TRUE
920506	FALSE
4389389	FALSE
848713	TRUE
110755	TRUE
1015143	FALSE
469663	FALSE
4298967	TRUE
4465677	TRUE
538600	TRUE
693333	TRUE
576076	TRUE
966091	FALSE
4394926	TRUE
135965	TRUE
99430	TRUE
4295177	TRUE
581821	FALSE
806354	TRUE
174755	FALSE
114498	TRUE
718758	TRUE
4441046	TRUE
