	Gram_Negative
661170	TRUE
707290	TRUE
2860	TRUE
591796	FALSE
4353625	TRUE
201237	TRUE
136025	TRUE
702400	TRUE
130922	FALSE
4478586	FALSE
342224	TRUE
4376863	FALSE
1016465	TRUE
537062	TRUE
552508	TRUE
931727	FALSE
153594	FALSE
948180	FALSE
341734	TRUE
70494	TRUE
668615	FALSE
4452721	TRUE
343315	TRUE
155521	TRUE
830956	TRUE
141154	TRUE
4456435	TRUE
354725	TRUE
351673	FALSE
590476	TRUE
109057	TRUE
585063	FALSE
4451400	FALSE
554981	TRUE
299227	TRUE
1047041	FALSE
1130212	TRUE
1142199	TRUE
4473655	TRUE
817013	FALSE
238741	TRUE
3905299	FALSE
98258	TRUE
354518	TRUE
4359327	FALSE
104310	FALSE
569893	TRUE
2130193	TRUE
938948	FALSE
993127	TRUE
814721	FALSE
626867	TRUE
3575253	TRUE
4398746	FALSE
282549	FALSE
2480553	TRUE
1139117	FALSE
829240	TRUE
227000	FALSE
352526	TRUE
4305935	TRUE
739464	TRUE
515169	FALSE
4393921	FALSE
1144747	TRUE
4358878	TRUE
1560939	TRUE
4458619	FALSE
439457	FALSE
787663	FALSE
572843	FALSE
164443	TRUE
101553	TRUE
575143	TRUE
325904	TRUE
2932342	TRUE
1136762	FALSE
255671	FALSE
590604	FALSE
2153555	FALSE
4340816	FALSE
285497	TRUE
4374557	TRUE
270636	TRUE
225370	TRUE
1106925	TRUE
1068470	TRUE
112337	TRUE
4342066	TRUE
689621	TRUE
321346	TRUE
4394095	TRUE
3164102	TRUE
591394	TRUE
4327197	TRUE
836059	TRUE
3956482	FALSE
132661	FALSE
276370	FALSE
141607	TRUE
1078375	TRUE
540643	TRUE
832359	TRUE
611320	TRUE
212239	TRUE
3471198	TRUE
316772	TRUE
837775	TRUE
745395	TRUE
563796	FALSE
962249	TRUE
525841	TRUE
327767	TRUE
104179	FALSE
4106309	TRUE
4369009	TRUE
98554	TRUE
1115987	TRUE
1136342	FALSE
1126195	FALSE
4480305	TRUE
3253	TRUE
306254	FALSE
2853353	FALSE
565514	TRUE
365956	TRUE
361402	TRUE
1766551	TRUE
210958	TRUE
1127642	TRUE
575252	TRUE
329032	FALSE
557211	TRUE
341460	TRUE
994959	TRUE
4416718	TRUE
242585	TRUE
3025176	TRUE
275105	TRUE
238940	TRUE
523593	FALSE
83514	FALSE
3348667	FALSE
4374816	TRUE
150582	TRUE
11282	TRUE
543572	TRUE
4427701	TRUE
785565	TRUE
149607	TRUE
531374	FALSE
4392549	FALSE
325735	TRUE
4437259	TRUE
578659	FALSE
112962	TRUE
539866	TRUE
1112192	TRUE
235527	TRUE
333130	TRUE
1111553	TRUE
4479618	TRUE
1603735	TRUE
571072	TRUE
4446915	FALSE
4336253	FALSE
318061	TRUE
566357	TRUE
566771	TRUE
4314926	TRUE
960695	FALSE
14475	FALSE
4411920	TRUE
538679	TRUE
4467056	FALSE
254888	TRUE
297256	FALSE
238105	TRUE
585568	TRUE
639286	TRUE
60179	TRUE
4195126	TRUE
569884	TRUE
313522	TRUE
1135562	FALSE
4355195	TRUE
951711	FALSE
305967	TRUE
4304971	FALSE
1112543	TRUE
4319936	TRUE
1011514	TRUE
158026	TRUE
4404172	TRUE
761601	TRUE
3760122	FALSE
1087298	TRUE
251001	TRUE
313174	TRUE
428807	TRUE
1856738	TRUE
882018	FALSE
572150	TRUE
3192521	TRUE
1104793	FALSE
323712	TRUE
761592	FALSE
150441	TRUE
60638	TRUE
539313	TRUE
4481861	FALSE
1059762	TRUE
533420	TRUE
583231	TRUE
539508	TRUE
254951	TRUE
563693	TRUE
1010113	TRUE
806030	FALSE
1140185	TRUE
342034	TRUE
3867306	TRUE
993455	TRUE
943138	TRUE
541244	FALSE
605566	TRUE
10724	TRUE
807851	TRUE
4396740	TRUE
88754	TRUE
320773	TRUE
540940	FALSE
1107031	TRUE
146126	TRUE
271524	TRUE
4443384	TRUE
736040	TRUE
574835	TRUE
230061	TRUE
4410004	TRUE
758023	TRUE
136608	TRUE
546268	FALSE
758112	TRUE
636022	TRUE
539735	FALSE
262096	FALSE
235042	TRUE
512873	TRUE
4406621	TRUE
166322	TRUE
4434807	FALSE
570408	TRUE
