	Gram_Positive
2672863	FALSE
4455980	TRUE
537062	FALSE
552508	FALSE
137866	FALSE
948180	TRUE
155521	FALSE
4416783	FALSE
254116	FALSE
585063	TRUE
554981	FALSE
1130212	FALSE
878161	FALSE
351673	TRUE
73609	TRUE
240049	FALSE
534698	FALSE
4344228	FALSE
569951	FALSE
4465164	FALSE
993127	FALSE
4248322	FALSE
525841	FALSE
1139117	TRUE
829240	FALSE
113207	FALSE
37747	TRUE
4324601	FALSE
633535	FALSE
1144747	FALSE
439457	TRUE
787663	TRUE
248468	TRUE
572843	TRUE
164443	FALSE
288743	FALSE
307425	FALSE
1136762	TRUE
255671	TRUE
3603301	TRUE
2153555	TRUE
225370	FALSE
337036	FALSE
718979	FALSE
10724	FALSE
544480	TRUE
20957	FALSE
574883	FALSE
276370	TRUE
3471198	FALSE
329004	FALSE
141607	FALSE
313235	TRUE
3208272	FALSE
569119	FALSE
727834	FALSE
960695	TRUE
1136342	TRUE
3253	FALSE
851938	TRUE
365956	FALSE
724665	TRUE
112750	FALSE
341460	FALSE
242585	FALSE
238940	FALSE
1109245	FALSE
83514	TRUE
4309252	FALSE
4374816	FALSE
240451	TRUE
904196	TRUE
626867	FALSE
11282	FALSE
543572	FALSE
4375708	FALSE
933546	FALSE
563194	FALSE
1140434	FALSE
4459021	FALSE
112962	FALSE
539866	FALSE
195246	FALSE
1011514	FALSE
210958	FALSE
4446915	TRUE
4314926	FALSE
1108632	FALSE
4467056	TRUE
297256	TRUE
4451400	TRUE
550937	TRUE
60179	FALSE
361402	FALSE
306254	TRUE
4446152	TRUE
4441046	FALSE
2147801	FALSE
4319936	FALSE
158026	FALSE
4329000	FALSE
1111883	FALSE
882018	TRUE
575143	FALSE
4330745	FALSE
279230	FALSE
346431	FALSE
4347078	TRUE
2366094	FALSE
1009173	TRUE
539313	FALSE
533420	FALSE
1140185	FALSE
4298967	FALSE
541244	TRUE
427183	TRUE
590476	FALSE
88754	FALSE
540940	TRUE
1131309	FALSE
2140895	FALSE
137183	TRUE
4409442	FALSE
758023	FALSE
4464567	FALSE
539735	TRUE
547736	FALSE
4436510	FALSE
706500	FALSE
132661	TRUE
325346	FALSE
4388765	FALSE
4339351	FALSE
804742	TRUE
1085646	TRUE
4311518	FALSE
4358716	FALSE
565514	FALSE
211593	FALSE
542933	TRUE
921110	TRUE
696532	FALSE
822328	FALSE
3944484	FALSE
4281045	FALSE
4363948	FALSE
241760	TRUE
300618	TRUE
4369968	FALSE
3290338	FALSE
2775220	FALSE
3992842	FALSE
11427	TRUE
336306	FALSE
840347	FALSE
207780	FALSE
4327787	TRUE
241895	TRUE
4325199	TRUE
868555	FALSE
1016369	TRUE
4374109	TRUE
4334049	FALSE
304211	TRUE
386273	FALSE
333593	FALSE
81639	FALSE
920506	TRUE
848713	FALSE
1015143	TRUE
4394926	FALSE
22928	TRUE
4024061	FALSE
586013	FALSE
576076	FALSE
4362093	FALSE
575533	TRUE
225187	FALSE
4442779	FALSE
4018589	FALSE
135965	FALSE
562701	TRUE
581821	TRUE
553974	FALSE
1010113	FALSE
172055	FALSE
1967331	FALSE
114498	FALSE
584331	TRUE
