	Gram_Positive
4353625	FALSE
2672863	FALSE
136025	FALSE
702400	FALSE
4455980	TRUE
1016465	FALSE
537062	FALSE
552508	FALSE
137866	FALSE
538178	FALSE
948180	TRUE
422295	TRUE
312009	FALSE
341734	FALSE
70494	FALSE
343315	FALSE
155521	FALSE
830956	FALSE
4416783	FALSE
254116	FALSE
109057	FALSE
585063	TRUE
554981	FALSE
448094	FALSE
1130212	FALSE
878161	FALSE
351673	TRUE
73609	TRUE
98258	FALSE
354518	FALSE
240049	FALSE
938948	TRUE
534698	FALSE
4344228	FALSE
569951	FALSE
577123	FALSE
4465164	FALSE
993127	FALSE
4465584	FALSE
569669	FALSE
4248322	FALSE
525841	FALSE
1139117	TRUE
829240	FALSE
113207	FALSE
1105509	FALSE
37747	TRUE
4324601	FALSE
739464	FALSE
823950	FALSE
633535	FALSE
1144747	FALSE
342977	FALSE
325904	FALSE
439457	TRUE
787663	TRUE
248468	TRUE
572843	TRUE
164443	FALSE
288743	FALSE
307425	FALSE
4393019	TRUE
1136762	TRUE
594371	FALSE
255671	TRUE
3603301	TRUE
2153555	TRUE
342224	FALSE
225370	FALSE
337036	FALSE
1114496	FALSE
591394	FALSE
744941	FALSE
718979	FALSE
10724	FALSE
544480	TRUE
20957	FALSE
574883	FALSE
276370	TRUE
3471198	FALSE
329004	FALSE
837775	FALSE
160916	FALSE
141607	FALSE
819561	FALSE
962249	FALSE
313235	TRUE
3208272	FALSE
569119	FALSE
727834	FALSE
960695	TRUE
4326111	FALSE
1136342	TRUE
3253	FALSE
851938	TRUE
365956	FALSE
724665	TRUE
112750	FALSE
557211	FALSE
341460	FALSE
242585	FALSE
4403486	FALSE
4478949	FALSE
238940	FALSE
836059	FALSE
1109245	FALSE
3208	FALSE
83514	TRUE
4309252	FALSE
4374816	FALSE
565890	FALSE
240451	TRUE
904196	TRUE
1637549	FALSE
626867	FALSE
11282	FALSE
543572	FALSE
785565	FALSE
4375708	FALSE
933546	FALSE
4392549	TRUE
563194	FALSE
325735	FALSE
1140434	FALSE
625724	FALSE
4459021	FALSE
112962	FALSE
539866	FALSE
1543166	FALSE
195246	FALSE
1011514	FALSE
210958	FALSE
4446915	TRUE
318061	FALSE
4314926	FALSE
1108632	FALSE
817401	FALSE
4467056	TRUE
254888	FALSE
297256	TRUE
810704	FALSE
4451400	TRUE
550937	TRUE
60179	FALSE
569884	FALSE
4393486	TRUE
361402	FALSE
4355195	FALSE
146556	FALSE
306254	TRUE
4446152	TRUE
4441046	FALSE
699904	FALSE
2147801	FALSE
252615	FALSE
1112543	FALSE
4319936	FALSE
158026	FALSE
221272	FALSE
4329000	FALSE
2794420	FALSE
1111883	FALSE
882018	TRUE
575143	FALSE
4330745	FALSE
279230	FALSE
346431	FALSE
4347078	TRUE
111320	FALSE
150441	FALSE
2366094	FALSE
1009173	TRUE
539313	FALSE
533420	FALSE
235042	FALSE
583231	FALSE
1140185	FALSE
4298967	FALSE
541244	TRUE
427183	TRUE
590476	FALSE
88754	FALSE
540940	TRUE
1131309	FALSE
2140895	FALSE
230061	FALSE
137183	TRUE
4409442	FALSE
758023	FALSE
834774	FALSE
4464567	FALSE
539735	TRUE
547736	FALSE
4436510	FALSE
256904	TRUE
356532	FALSE
706500	FALSE
132661	TRUE
325346	FALSE
1106960	FALSE
4388765	FALSE
1082059	FALSE
159017	FALSE
4339351	FALSE
2317377	FALSE
151344	FALSE
677165	FALSE
837605	FALSE
804742	TRUE
1085646	TRUE
227717	FALSE
4461079	FALSE
875548	FALSE
354725	FALSE
4311518	FALSE
681073	TRUE
4358716	FALSE
565514	FALSE
237131	FALSE
211593	FALSE
542933	TRUE
921110	TRUE
4358878	FALSE
696532	FALSE
822328	FALSE
3944484	FALSE
4281045	FALSE
4363948	FALSE
241760	TRUE
300618	TRUE
320613	FALSE
4369968	FALSE
3290338	FALSE
2775220	FALSE
3992842	FALSE
11427	TRUE
41476	FALSE
336306	FALSE
840347	FALSE
1128538	FALSE
207780	FALSE
2001897	FALSE
4327787	TRUE
241895	TRUE
931727	TRUE
4325199	TRUE
868555	FALSE
1016369	TRUE
4369009	FALSE
4374109	TRUE
4334049	FALSE
304211	TRUE
583197	FALSE
386273	FALSE
333593	FALSE
570408	FALSE
81639	FALSE
920506	TRUE
1104793	TRUE
40104	FALSE
224772	FALSE
848713	FALSE
1015143	TRUE
4394926	FALSE
22928	TRUE
4024061	FALSE
586013	FALSE
576076	FALSE
4362093	FALSE
575533	TRUE
225187	FALSE
4442779	FALSE
4018589	FALSE
135965	FALSE
325175	FALSE
562701	TRUE
581821	TRUE
228555	FALSE
553974	FALSE
3685327	FALSE
1010113	FALSE
172055	FALSE
504674	TRUE
550712	TRUE
1967331	FALSE
4371135	FALSE
232551	TRUE
114498	FALSE
312645	FALSE
262657	FALSE
499902	FALSE
584331	TRUE
