	Gram_Positive
97685	FALSE
538535	FALSE
349986	FALSE
1124207	FALSE
102620	FALSE
4353625	FALSE
4370980	FALSE
136025	FALSE
621842	FALSE
702400	FALSE
4455980	TRUE
4473288	FALSE
1016465	FALSE
537062	FALSE
114176	FALSE
552508	FALSE
137866	FALSE
2781721	FALSE
2609531	FALSE
538178	FALSE
948180	TRUE
422295	TRUE
312009	FALSE
4439950	TRUE
551347	FALSE
341734	FALSE
70494	FALSE
343315	FALSE
101015	FALSE
155521	FALSE
830956	FALSE
529653	FALSE
215441	FALSE
4299614	FALSE
304801	FALSE
4416783	FALSE
254116	FALSE
109057	FALSE
354483	FALSE
1107903	FALSE
585063	TRUE
232796	FALSE
554981	FALSE
258655	TRUE
4469487	FALSE
448094	FALSE
646478	FALSE
4064681	FALSE
2238644	TRUE
4480289	FALSE
1130212	FALSE
878161	FALSE
265874	FALSE
4478236	FALSE
351673	TRUE
579324	TRUE
98258	FALSE
354518	FALSE
4386464	FALSE
314474	FALSE
154607	FALSE
569951	FALSE
577123	FALSE
4465164	FALSE
993127	FALSE
4465584	FALSE
143326	FALSE
4424338	FALSE
1928988	FALSE
689621	FALSE
1112599	FALSE
304223	FALSE
3208	FALSE
525841	FALSE
279370	FALSE
814067	FALSE
3860285	FALSE
1139117	TRUE
829240	FALSE
813687	FALSE
113207	FALSE
4424382	FALSE
1105509	FALSE
159172	TRUE
37747	TRUE
4324601	FALSE
739464	FALSE
345093	FALSE
238105	FALSE
136924	FALSE
740676	FALSE
4460593	FALSE
344914	FALSE
278735	FALSE
1144747	FALSE
197233	TRUE
325904	FALSE
1145468	FALSE
574952	FALSE
4358878	FALSE
439457	TRUE
787663	TRUE
248468	TRUE
572843	TRUE
181252	FALSE
334709	FALSE
164443	FALSE
328826	FALSE
288743	FALSE
4436487	FALSE
307425	FALSE
640060	FALSE
4393019	TRUE
3240665	FALSE
741691	FALSE
362891	FALSE
165687	FALSE
2932342	FALSE
1136762	TRUE
513156	FALSE
255671	TRUE
3603301	TRUE
4392535	TRUE
818599	TRUE
2153555	TRUE
815925	FALSE
342224	FALSE
2528843	FALSE
583622	TRUE
225370	FALSE
1106925	FALSE
337036	FALSE
1114496	FALSE
591394	FALSE
744941	FALSE
718979	FALSE
10724	FALSE
810972	TRUE
544480	TRUE
20957	FALSE
4413099	FALSE
574883	FALSE
4327197	FALSE
836059	FALSE
276370	TRUE
4264161	FALSE
4474998	TRUE
2981822	FALSE
3471198	FALSE
4409036	FALSE
329004	FALSE
2222988	FALSE
160916	FALSE
305633	FALSE
141607	FALSE
819561	FALSE
313235	TRUE
327767	FALSE
3208272	FALSE
4330745	FALSE
569119	FALSE
3728302	FALSE
545863	FALSE
4411365	FALSE
727834	FALSE
960695	TRUE
4366355	FALSE
975158	FALSE
3154121	FALSE
1136342	TRUE
3253	FALSE
851938	TRUE
1007384	TRUE
365956	FALSE
724665	TRUE
112750	FALSE
4435356	FALSE
557211	FALSE
341460	FALSE
518854	FALSE
242585	FALSE
4403486	FALSE
327055	FALSE
3192521	FALSE
624006	FALSE
4288257	FALSE
817309	FALSE
782961	FALSE
236166	TRUE
1078732	FALSE
4415437	FALSE
4378660	FALSE
83514	TRUE
5137	FALSE
147700	FALSE
4374816	FALSE
2058154	FALSE
3457597	FALSE
565890	FALSE
240451	TRUE
4450615	FALSE
904196	TRUE
1637549	FALSE
626867	FALSE
11282	FALSE
543572	FALSE
785565	FALSE
227068	FALSE
4375708	FALSE
933546	FALSE
342100	FALSE
4471424	FALSE
4392549	TRUE
563194	FALSE
1105555	FALSE
325735	FALSE
1106468	FALSE
1140434	FALSE
719631	FALSE
57451	FALSE
625724	FALSE
627816	FALSE
254686	FALSE
4459021	FALSE
112962	FALSE
279010	FALSE
1543166	FALSE
1118132	FALSE
565917	FALSE
4401013	FALSE
195246	FALSE
208265	FALSE
1011514	FALSE
4371645	TRUE
157669	FALSE
210958	FALSE
4396977	TRUE
831559	FALSE
62921	FALSE
4446915	TRUE
318061	FALSE
814148	FALSE
4441046	FALSE
4314926	FALSE
301880	FALSE
525942	FALSE
817401	FALSE
559852	FALSE
679745	TRUE
4467056	TRUE
254888	FALSE
708774	FALSE
297256	TRUE
1132905	FALSE
536362	FALSE
4469706	FALSE
110525	FALSE
327945	FALSE
4451400	TRUE
1787054	FALSE
1121806	TRUE
60179	FALSE
569884	FALSE
4452538	TRUE
266502	FALSE
170883	FALSE
819776	FALSE
221107	FALSE
4416798	FALSE
4446492	TRUE
542071	FALSE
611009	FALSE
361402	FALSE
343908	FALSE
215190	FALSE
1697007	FALSE
1126195	TRUE
113724	FALSE
3726188	FALSE
4355195	FALSE
146556	FALSE
306254	TRUE
4446152	TRUE
699904	FALSE
791214	FALSE
2147801	FALSE
330903	FALSE
2642683	FALSE
252615	FALSE
1112543	FALSE
4319936	FALSE
4354131	FALSE
534698	FALSE
158026	FALSE
31738	FALSE
221272	FALSE
224155	TRUE
4391595	FALSE
4329000	FALSE
4302748	TRUE
1111883	FALSE
509377	FALSE
575143	FALSE
279230	FALSE
346431	FALSE
218772	FALSE
270104	FALSE
111320	FALSE
4206785	FALSE
150441	FALSE
2366094	FALSE
4452877	FALSE
684719	FALSE
592877	TRUE
339472	FALSE
734928	FALSE
4335137	FALSE
1009173	TRUE
539313	FALSE
2062934	FALSE
154445	FALSE
2680784	FALSE
555302	FALSE
533420	FALSE
3916474	FALSE
235042	FALSE
22928	TRUE
617644	FALSE
4473308	FALSE
1112875	FALSE
279529	FALSE
4404060	FALSE
924032	FALSE
4326369	FALSE
4345876	FALSE
1140185	FALSE
4298967	FALSE
541244	TRUE
4382687	FALSE
326636	FALSE
832001	FALSE
427183	TRUE
