	Gram_Positive
542933	TRUE
913229	FALSE
300387	TRUE
284672	FALSE
201237	FALSE
639712	TRUE
702400	FALSE
130922	TRUE
691392	FALSE
552508	FALSE
220524	TRUE
539735	TRUE
668615	TRUE
155521	FALSE
830956	FALSE
141154	FALSE
109057	FALSE
1136342	TRUE
4451400	TRUE
808440	FALSE
298813	TRUE
313493	TRUE
234515	FALSE
817013	TRUE
3905299	TRUE
578224	FALSE
302883	TRUE
4359327	TRUE
104310	TRUE
171126	FALSE
788632	FALSE
993127	FALSE
307425	FALSE
626867	FALSE
575143	FALSE
4332665	TRUE
1144747	FALSE
1010113	FALSE
240170	FALSE
1560939	FALSE
4458619	TRUE
572843	TRUE
101553	FALSE
4367491	TRUE
2932342	FALSE
235042	FALSE
558101	FALSE
255671	TRUE
325677	FALSE
632346	FALSE
1003206	FALSE
285497	FALSE
4374557	FALSE
225370	FALSE
1107031	FALSE
1068470	FALSE
112337	FALSE
4342066	FALSE
689621	FALSE
2806353	FALSE
1026431	TRUE
3956482	TRUE
132661	TRUE
141607	FALSE
1078375	FALSE
136286	FALSE
212239	FALSE
316772	FALSE
563796	TRUE
1040796	FALSE
4106309	FALSE
4298791	FALSE
150851	TRUE
4441046	FALSE
2297428	TRUE
4297214	FALSE
238741	FALSE
1104662	FALSE
2853353	TRUE
565514	FALSE
1104793	TRUE
210958	FALSE
1127642	FALSE
329032	TRUE
341460	FALSE
573757	TRUE
1109245	FALSE
275105	FALSE
238940	FALSE
939545	TRUE
3348667	TRUE
557211	FALSE
321346	FALSE
543572	FALSE
3076501	TRUE
4387837	FALSE
4298967	FALSE
235527	FALSE
333130	FALSE
660076	FALSE
14475	TRUE
994959	FALSE
594000	FALSE
274447	FALSE
348570	FALSE
4195126	FALSE
1087298	FALSE
114821	FALSE
1011514	FALSE
761601	FALSE
800841	TRUE
313174	FALSE
3192521	FALSE
4388994	FALSE
1135562	TRUE
179922	FALSE
761592	TRUE
469663	TRUE
255802	TRUE
4481861	TRUE
1059762	FALSE
539508	FALSE
4377104	FALSE
254951	FALSE
806030	TRUE
342034	FALSE
993455	FALSE
943138	FALSE
10724	FALSE
320773	FALSE
146126	FALSE
434004	FALSE
574883	FALSE
574835	FALSE
2401319	FALSE
4357289	FALSE
566771	FALSE
3991527	TRUE
590476	FALSE
247441	FALSE
548050	FALSE
291315	FALSE
166322	FALSE
4454356	FALSE
1106960	FALSE
790466	TRUE
584239	FALSE
686219	TRUE
60179	FALSE
832359	FALSE
2317377	FALSE
736302	FALSE
782472	FALSE
582813	TRUE
4378239	TRUE
1108952	FALSE
146556	FALSE
211593	FALSE
331119	FALSE
200584	TRUE
2572948	FALSE
1129931	TRUE
330888	FALSE
4394095	FALSE
829240	FALSE
585063	TRUE
179879	FALSE
882018	TRUE
581316	FALSE
99430	FALSE
4481373	FALSE
225041	FALSE
1016369	TRUE
1640195	FALSE
310249	FALSE
3555019	FALSE
639286	FALSE
3085264	FALSE
4253641	FALSE
539547	FALSE
207780	FALSE
354725	FALSE
931727	TRUE
4317477	TRUE
4451743	TRUE
329004	FALSE
344676	FALSE
225187	FALSE
301921	TRUE
238105	FALSE
110755	FALSE
571304	FALSE
1130890	FALSE
4465677	FALSE
104610	TRUE
4430489	FALSE
693333	FALSE
518752	FALSE
427183	TRUE
344914	FALSE
269907	FALSE
4404172	FALSE
966091	TRUE
1112543	FALSE
3760122	TRUE
806354	FALSE
538679	FALSE
4359533	FALSE
1028542	TRUE
4330745	FALSE
538178	FALSE
