	Gram_Positive
2326885	FALSE
3041662	FALSE
356942	FALSE
1065569	TRUE
3760117	FALSE
4374027	TRUE
2845471	FALSE
819910	FALSE
588995	FALSE
4480305	FALSE
4466618	FALSE
550937	TRUE
2317377	FALSE
1135388	TRUE
578659	TRUE
129508	TRUE
3837757	FALSE
137516	FALSE
253488	TRUE
539508	FALSE
3114957	FALSE
821884	FALSE
155521	FALSE
256575	FALSE
244247	FALSE
809730	FALSE
1015143	TRUE
347501	FALSE
4475161	FALSE
585568	FALSE
531374	TRUE
258327	FALSE
554911	FALSE
685178	FALSE
515169	TRUE
565917	FALSE
710897	FALSE
511931	TRUE
4357413	FALSE
4342076	FALSE
217797	TRUE
441828	FALSE
4334638	TRUE
832001	FALSE
571176	TRUE
509138	FALSE
4469032	TRUE
317953	FALSE
3900309	FALSE
806133	FALSE
758112	FALSE
201361	FALSE
339359	TRUE
62921	FALSE
591043	FALSE
1742482	FALSE
818357	FALSE
107461	FALSE
262768	FALSE
190843	FALSE
4351262	FALSE
1135562	TRUE
725769	FALSE
558772	TRUE
350334	FALSE
321533	FALSE
591796	TRUE
1856738	FALSE
4342056	FALSE
99912	FALSE
569884	FALSE
62707	TRUE
4425615	FALSE
72926	FALSE
194024	FALSE
370067	TRUE
582609	FALSE
357342	TRUE
96373	FALSE
829240	FALSE
536796	FALSE
968354	TRUE
149607	FALSE
4076076	FALSE
646478	FALSE
799922	FALSE
2920448	FALSE
864067	FALSE
4443105	FALSE
201237	FALSE
239868	FALSE
351673	TRUE
4441545	FALSE
333130	FALSE
206114	FALSE
235042	FALSE
3706429	FALSE
3058999	FALSE
4442779	FALSE
811257	FALSE
10724	FALSE
4053303	FALSE
572843	TRUE
331119	FALSE
4386366	FALSE
810893	TRUE
4375708	FALSE
2480553	FALSE
244568	FALSE
1104728	FALSE
137866	FALSE
266549	FALSE
2183857	FALSE
544302	FALSE
224486	FALSE
322919	FALSE
236051	FALSE
83514	TRUE
1114110	FALSE
2247631	FALSE
460236	FALSE
4282479	FALSE
270636	FALSE
761132	FALSE
4353625	FALSE
1104793	TRUE
4309252	FALSE
548196	FALSE
938948	TRUE
533742	FALSE
4363948	FALSE
575143	FALSE
877509	FALSE
951711	TRUE
4434807	TRUE
342034	FALSE
564586	TRUE
1122084	FALSE
4466240	FALSE
260011	FALSE
4295177	FALSE
110155	FALSE
181641	FALSE
1107339	FALSE
1136795	FALSE
962249	FALSE
4427701	FALSE
590604	TRUE
806030	TRUE
238940	FALSE
2181341	FALSE
1124207	FALSE
688533	FALSE
237131	FALSE
250908	FALSE
4328659	FALSE
931727	TRUE
4215051	FALSE
2221063	FALSE
539866	FALSE
3825329	FALSE
724665	TRUE
70071	FALSE
1139618	FALSE
575252	FALSE
830956	FALSE
538238	FALSE
159584	TRUE
104179	TRUE
1136342	TRUE
254116	FALSE
2238644	TRUE
99430	FALSE
582814	FALSE
275384	FALSE
224880	FALSE
341460	FALSE
804325	FALSE
933546	FALSE
1105163	FALSE
4304971	TRUE
22928	TRUE
249115	TRUE
207780	FALSE
4465803	FALSE
563693	FALSE
535910	FALSE
158932	FALSE
135965	FALSE
3290338	FALSE
83349	FALSE
3045868	FALSE
