	Gram_Positive
707290	FALSE
201237	FALSE
4478586	TRUE
537062	FALSE
552508	FALSE
153594	TRUE
948180	TRUE
668615	TRUE
155521	FALSE
830956	FALSE
351673	TRUE
585063	TRUE
4451400	TRUE
554981	FALSE
1130212	FALSE
1142199	FALSE
817013	TRUE
238741	FALSE
3905299	TRUE
4359327	TRUE
104310	TRUE
2130193	FALSE
993127	FALSE
626867	FALSE
2480553	FALSE
1139117	TRUE
829240	FALSE
4305935	FALSE
515169	TRUE
4393921	TRUE
1144747	FALSE
1560939	FALSE
4458619	TRUE
439457	TRUE
787663	TRUE
101553	FALSE
575143	FALSE
1136762	TRUE
255671	TRUE
590604	TRUE
2153555	TRUE
4340816	TRUE
270636	FALSE
1068470	FALSE
112337	FALSE
689621	FALSE
4394095	FALSE
3956482	TRUE
132661	TRUE
276370	TRUE
1078375	FALSE
212239	FALSE
745395	FALSE
563796	TRUE
962249	FALSE
525841	FALSE
104179	TRUE
4106309	FALSE
1136342	TRUE
1126195	TRUE
4480305	FALSE
3253	FALSE
565514	FALSE
210958	FALSE
1127642	FALSE
329032	TRUE
341460	FALSE
994959	FALSE
275105	FALSE
523593	TRUE
83514	TRUE
3348667	TRUE
11282	FALSE
4427701	FALSE
531374	TRUE
112962	FALSE
539866	FALSE
235527	FALSE
333130	FALSE
4446915	TRUE
14475	TRUE
538679	FALSE
4467056	TRUE
297256	TRUE
60179	FALSE
4195126	FALSE
1135562	TRUE
951711	TRUE
4304971	TRUE
4319936	FALSE
4404172	FALSE
761601	FALSE
1087298	FALSE
313174	FALSE
882018	TRUE
3192521	FALSE
1104793	TRUE
761592	TRUE
539313	FALSE
4481861	TRUE
1059762	FALSE
533420	FALSE
539508	FALSE
254951	FALSE
1010113	FALSE
1140185	FALSE
342034	FALSE
993455	FALSE
541244	TRUE
10724	FALSE
807851	FALSE
88754	FALSE
320773	FALSE
540940	TRUE
1107031	FALSE
146126	FALSE
574835	FALSE
136608	FALSE
546268	TRUE
758112	FALSE
539735	TRUE
262096	TRUE
4406621	FALSE
166322	FALSE
4434807	TRUE
4329788	TRUE
1106960	FALSE
2143302	FALSE
782472	FALSE
804742	TRUE
1104728	FALSE
254116	FALSE
4357413	FALSE
4358716	FALSE
366545	TRUE
921110	TRUE
1129931	TRUE
3944484	FALSE
4363948	FALSE
4442779	FALSE
4369968	FALSE
225041	FALSE
933546	FALSE
3290338	FALSE
2775220	FALSE
828806	FALSE
1640195	FALSE
3555019	FALSE
336306	FALSE
176775	FALSE
4253641	FALSE
539547	FALSE
207780	FALSE
840347	FALSE
968354	TRUE
511931	TRUE
4053303	FALSE
1016369	TRUE
4374109	TRUE
304211	TRUE
225187	FALSE
301921	TRUE
574883	FALSE
81639	FALSE
920506	TRUE
4389389	TRUE
848713	FALSE
110755	FALSE
1015143	TRUE
469663	TRUE
4298967	FALSE
4465677	FALSE
538600	FALSE
693333	FALSE
576076	FALSE
966091	TRUE
4394926	FALSE
135965	FALSE
99430	FALSE
4295177	FALSE
581821	TRUE
806354	FALSE
174755	TRUE
114498	FALSE
718758	FALSE
4441046	FALSE
