	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_
4353625	FALSE
2672863	FALSE
136025	FALSE
702400	FALSE
4455980	FALSE
1016465	FALSE
537062	FALSE
552508	FALSE
137866	FALSE
538178	FALSE
948180	FALSE
422295	FALSE
312009	FALSE
341734	FALSE
70494	FALSE
343315	FALSE
155521	FALSE
830956	FALSE
4416783	FALSE
254116	FALSE
109057	FALSE
585063	FALSE
554981	FALSE
448094	FALSE
1130212	FALSE
878161	FALSE
351673	FALSE
73609	FALSE
98258	FALSE
354518	FALSE
240049	FALSE
938948	FALSE
534698	FALSE
4344228	FALSE
569951	TRUE
577123	FALSE
4465164	FALSE
993127	FALSE
4465584	FALSE
569669	FALSE
4248322	FALSE
525841	FALSE
1139117	FALSE
829240	FALSE
113207	TRUE
1105509	TRUE
37747	FALSE
4324601	FALSE
739464	FALSE
823950	FALSE
633535	FALSE
1144747	FALSE
342977	FALSE
325904	TRUE
439457	FALSE
787663	FALSE
248468	FALSE
572843	FALSE
164443	TRUE
288743	FALSE
307425	TRUE
4393019	FALSE
1136762	FALSE
594371	TRUE
255671	FALSE
3603301	FALSE
2153555	FALSE
342224	FALSE
225370	FALSE
337036	FALSE
1114496	FALSE
591394	FALSE
744941	TRUE
718979	FALSE
10724	FALSE
544480	FALSE
20957	FALSE
574883	FALSE
276370	FALSE
3471198	FALSE
329004	FALSE
837775	FALSE
160916	FALSE
141607	FALSE
819561	FALSE
962249	FALSE
313235	FALSE
3208272	FALSE
569119	FALSE
727834	TRUE
960695	FALSE
4326111	TRUE
1136342	FALSE
3253	FALSE
851938	FALSE
365956	FALSE
724665	FALSE
112750	FALSE
557211	FALSE
341460	FALSE
242585	FALSE
4403486	FALSE
4478949	FALSE
238940	TRUE
836059	FALSE
1109245	TRUE
3208	FALSE
83514	FALSE
4309252	TRUE
4374816	TRUE
565890	TRUE
240451	FALSE
904196	FALSE
1637549	FALSE
626867	FALSE
11282	FALSE
543572	FALSE
785565	FALSE
4375708	FALSE
933546	FALSE
4392549	FALSE
563194	FALSE
325735	FALSE
1140434	FALSE
625724	FALSE
4459021	FALSE
112962	FALSE
539866	TRUE
1543166	FALSE
195246	FALSE
1011514	FALSE
210958	TRUE
4446915	FALSE
318061	FALSE
4314926	FALSE
1108632	FALSE
817401	FALSE
4467056	FALSE
254888	FALSE
297256	FALSE
810704	FALSE
4451400	FALSE
550937	FALSE
60179	FALSE
569884	FALSE
4393486	FALSE
361402	FALSE
4355195	TRUE
146556	FALSE
306254	FALSE
4446152	FALSE
4441046	FALSE
699904	FALSE
2147801	FALSE
252615	FALSE
1112543	FALSE
4319936	FALSE
158026	FALSE
221272	TRUE
4329000	FALSE
2794420	FALSE
1111883	FALSE
882018	FALSE
575143	FALSE
4330745	TRUE
279230	FALSE
346431	FALSE
4347078	FALSE
111320	FALSE
150441	FALSE
2366094	FALSE
1009173	FALSE
539313	TRUE
533420	FALSE
235042	FALSE
583231	FALSE
1140185	FALSE
4298967	FALSE
541244	FALSE
427183	FALSE
590476	TRUE
88754	FALSE
540940	FALSE
1131309	FALSE
2140895	FALSE
230061	TRUE
137183	FALSE
4409442	FALSE
758023	FALSE
834774	FALSE
4464567	FALSE
539735	FALSE
547736	FALSE
4436510	FALSE
256904	FALSE
356532	FALSE
706500	FALSE
132661	FALSE
325346	FALSE
1106960	TRUE
4388765	FALSE
1082059	FALSE
159017	FALSE
4339351	FALSE
2317377	FALSE
151344	FALSE
677165	FALSE
837605	FALSE
804742	FALSE
1085646	FALSE
227717	FALSE
4461079	TRUE
875548	FALSE
354725	TRUE
4311518	FALSE
681073	FALSE
4358716	FALSE
565514	FALSE
237131	FALSE
211593	FALSE
542933	FALSE
921110	FALSE
4358878	TRUE
696532	FALSE
822328	FALSE
3944484	FALSE
4281045	TRUE
4363948	TRUE
241760	FALSE
300618	FALSE
320613	FALSE
4369968	TRUE
3290338	FALSE
2775220	FALSE
3992842	TRUE
11427	FALSE
41476	FALSE
336306	FALSE
840347	FALSE
1128538	FALSE
207780	TRUE
2001897	TRUE
4327787	FALSE
241895	FALSE
931727	FALSE
4325199	FALSE
868555	FALSE
1016369	FALSE
4369009	FALSE
4374109	FALSE
4334049	FALSE
304211	FALSE
583197	FALSE
386273	FALSE
333593	FALSE
570408	FALSE
81639	TRUE
920506	FALSE
1104793	FALSE
40104	FALSE
224772	TRUE
848713	FALSE
1015143	FALSE
4394926	FALSE
22928	TRUE
4024061	FALSE
586013	FALSE
576076	FALSE
4362093	FALSE
575533	FALSE
225187	FALSE
4442779	FALSE
4018589	FALSE
135965	FALSE
325175	FALSE
562701	FALSE
581821	FALSE
228555	FALSE
553974	FALSE
3685327	FALSE
1010113	FALSE
172055	FALSE
504674	FALSE
550712	FALSE
1967331	FALSE
4371135	TRUE
232551	FALSE
114498	FALSE
312645	TRUE
262657	FALSE
499902	FALSE
584331	FALSE
