	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_
151316	FALSE
2860	FALSE
836007	TRUE
4358878	TRUE
4478949	FALSE
4403105	TRUE
4456435	FALSE
575079	FALSE
109057	FALSE
644385	FALSE
4349537	FALSE
1678827	FALSE
227000	FALSE
4443384	FALSE
4463263	FALSE
4465584	FALSE
4375596	TRUE
587391	TRUE
3164102	FALSE
182038	FALSE
325904	TRUE
832359	FALSE
611320	FALSE
553974	FALSE
336986	FALSE
4420771	FALSE
4479618	FALSE
4387407	FALSE
98554	FALSE
4412803	FALSE
361402	FALSE
547139	TRUE
4416718	FALSE
1116149	FALSE
829116	FALSE
4421933	FALSE
551164	FALSE
4437259	TRUE
114811	FALSE
4184652	FALSE
1111553	FALSE
4411920	FALSE
238105	FALSE
677590	FALSE
557998	FALSE
4229057	FALSE
195246	FALSE
3760122	FALSE
159170	FALSE
4306533	FALSE
99933	FALSE
3867306	FALSE
232551	FALSE
4410004	FALSE
21210	FALSE
1856738	FALSE
570408	FALSE
266995	FALSE
566357	FALSE
3760117	FALSE
590476	TRUE
3208	FALSE
145637	FALSE
4398746	FALSE
150582	FALSE
661170	TRUE
535383	FALSE
210359	FALSE
849122	FALSE
1114110	FALSE
605566	FALSE
992246	FALSE
1132384	FALSE
571072	FALSE
539453	FALSE
1110665	FALSE
804325	FALSE
