	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_
661170	TRUE
707290	FALSE
2860	FALSE
591796	FALSE
4353625	FALSE
201237	FALSE
136025	FALSE
702400	FALSE
130922	FALSE
4478586	FALSE
342224	FALSE
4376863	FALSE
1016465	FALSE
537062	FALSE
552508	FALSE
931727	FALSE
153594	FALSE
948180	FALSE
341734	FALSE
70494	FALSE
668615	FALSE
4452721	FALSE
343315	FALSE
155521	FALSE
830956	FALSE
141154	FALSE
4456435	FALSE
354725	TRUE
351673	FALSE
590476	TRUE
109057	FALSE
585063	FALSE
4451400	FALSE
554981	FALSE
299227	TRUE
1047041	FALSE
1130212	FALSE
1142199	FALSE
4473655	TRUE
817013	FALSE
238741	FALSE
3905299	FALSE
98258	FALSE
354518	FALSE
4359327	FALSE
104310	FALSE
569893	FALSE
2130193	FALSE
938948	FALSE
993127	FALSE
814721	FALSE
626867	FALSE
3575253	FALSE
4398746	FALSE
282549	FALSE
2480553	FALSE
1139117	FALSE
829240	FALSE
227000	FALSE
352526	FALSE
4305935	FALSE
739464	FALSE
515169	FALSE
4393921	FALSE
1144747	FALSE
4358878	TRUE
1560939	FALSE
4458619	FALSE
439457	FALSE
787663	FALSE
572843	FALSE
164443	TRUE
101553	FALSE
575143	FALSE
325904	TRUE
2932342	FALSE
1136762	FALSE
255671	FALSE
590604	FALSE
2153555	FALSE
4340816	FALSE
285497	FALSE
4374557	FALSE
270636	FALSE
225370	FALSE
1106925	TRUE
1068470	FALSE
112337	FALSE
4342066	FALSE
689621	FALSE
321346	FALSE
4394095	FALSE
3164102	FALSE
591394	FALSE
4327197	FALSE
836059	FALSE
3956482	FALSE
132661	FALSE
276370	FALSE
141607	FALSE
1078375	FALSE
540643	TRUE
832359	FALSE
611320	FALSE
212239	FALSE
3471198	FALSE
316772	FALSE
837775	FALSE
745395	FALSE
563796	FALSE
962249	FALSE
525841	FALSE
327767	FALSE
104179	FALSE
4106309	FALSE
4369009	FALSE
98554	FALSE
1115987	FALSE
1136342	FALSE
1126195	FALSE
4480305	FALSE
3253	FALSE
306254	FALSE
2853353	FALSE
565514	FALSE
365956	FALSE
361402	FALSE
1766551	TRUE
210958	TRUE
1127642	FALSE
575252	FALSE
329032	FALSE
557211	FALSE
341460	FALSE
994959	FALSE
4416718	FALSE
242585	FALSE
3025176	FALSE
275105	FALSE
238940	TRUE
523593	FALSE
83514	FALSE
3348667	FALSE
4374816	TRUE
150582	FALSE
11282	FALSE
543572	FALSE
4427701	FALSE
785565	FALSE
149607	FALSE
531374	FALSE
4392549	FALSE
325735	FALSE
4437259	TRUE
578659	FALSE
112962	FALSE
539866	TRUE
1112192	TRUE
235527	FALSE
333130	FALSE
1111553	FALSE
4479618	FALSE
1603735	FALSE
571072	FALSE
4446915	FALSE
4336253	FALSE
318061	FALSE
566357	FALSE
566771	TRUE
4314926	FALSE
960695	FALSE
14475	FALSE
4411920	FALSE
538679	FALSE
4467056	FALSE
254888	FALSE
297256	FALSE
238105	FALSE
585568	FALSE
639286	FALSE
60179	FALSE
4195126	FALSE
569884	FALSE
313522	FALSE
1135562	FALSE
4355195	TRUE
951711	FALSE
305967	TRUE
4304971	FALSE
1112543	FALSE
4319936	FALSE
1011514	FALSE
158026	FALSE
4404172	FALSE
761601	FALSE
3760122	FALSE
1087298	FALSE
251001	FALSE
313174	FALSE
428807	FALSE
1856738	FALSE
882018	FALSE
572150	FALSE
3192521	TRUE
1104793	FALSE
323712	FALSE
761592	FALSE
150441	FALSE
60638	TRUE
539313	TRUE
4481861	FALSE
1059762	FALSE
533420	FALSE
583231	FALSE
539508	FALSE
254951	FALSE
563693	FALSE
1010113	FALSE
806030	FALSE
1140185	FALSE
342034	FALSE
3867306	FALSE
993455	FALSE
943138	FALSE
541244	FALSE
605566	FALSE
10724	FALSE
807851	FALSE
4396740	FALSE
88754	FALSE
320773	FALSE
540940	FALSE
1107031	FALSE
146126	FALSE
271524	FALSE
4443384	FALSE
736040	TRUE
574835	FALSE
230061	TRUE
4410004	FALSE
758023	FALSE
136608	FALSE
546268	FALSE
758112	FALSE
636022	FALSE
539735	FALSE
262096	FALSE
235042	FALSE
512873	FALSE
4406621	FALSE
166322	TRUE
4434807	FALSE
570408	FALSE
4329788	FALSE
325346	FALSE
1106960	TRUE
4388765	FALSE
816411	FALSE
2143302	FALSE
2317377	FALSE
151344	FALSE
3760117	FALSE
677165	FALSE
837605	FALSE
782472	FALSE
804742	FALSE
295053	FALSE
1104728	TRUE
227717	FALSE
254116	FALSE
4461079	TRUE
875548	FALSE
302883	FALSE
146556	FALSE
681073	FALSE
4357413	FALSE
4358716	FALSE
1109402	FALSE
237131	FALSE
366545	FALSE
921110	FALSE
145637	FALSE
1129931	FALSE
822328	FALSE
3944484	FALSE
2401319	TRUE
310249	FALSE
3991527	FALSE
4363948	TRUE
581316	FALSE
4442779	FALSE
4369968	TRUE
4481373	FALSE
225041	FALSE
933546	FALSE
4362093	FALSE
3290338	FALSE
2775220	FALSE
828806	FALSE
1640195	FALSE
3555019	FALSE
1116149	FALSE
336306	FALSE
176775	FALSE
313235	FALSE
4253641	FALSE
539547	FALSE
207780	TRUE
840347	FALSE
351676	FALSE
968354	FALSE
511931	FALSE
265496	FALSE
4053303	FALSE
165553	FALSE
1114110	FALSE
1016369	FALSE
4374109	FALSE
304211	FALSE
225187	FALSE
301921	FALSE
4463767	FALSE
259809	FALSE
333593	FALSE
574883	FALSE
81639	TRUE
920506	FALSE
4389389	FALSE
848713	FALSE
110755	FALSE
370067	FALSE
1015143	FALSE
469663	FALSE
274011	FALSE
4298967	FALSE
4465677	FALSE
538600	FALSE
22928	TRUE
693333	FALSE
330888	FALSE
427183	FALSE
344914	FALSE
576076	FALSE
321533	FALSE
269907	FALSE
4018589	FALSE
966091	FALSE
4394926	FALSE
135965	FALSE
99430	FALSE
4295177	FALSE
581821	FALSE
228555	FALSE
553974	FALSE
806354	FALSE
174755	FALSE
4359533	FALSE
1110665	FALSE
112750	FALSE
4371135	TRUE
232551	FALSE
114498	FALSE
804325	FALSE
718758	TRUE
4398706	FALSE
4441046	FALSE
262657	FALSE
499902	FALSE
