	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
348570	FALSE
4461101	FALSE
356942	FALSE
1065569	FALSE
913149	FALSE
4425801	FALSE
1139618	FALSE
2153555	FALSE
4374816	FALSE
4466618	FALSE
2317377	FALSE
908948	FALSE
165687	FALSE
249243	FALSE
4358716	FALSE
306254	FALSE
829687	FALSE
4018589	FALSE
611009	FALSE
1130212	FALSE
1537126	FALSE
810119	FALSE
809730	FALSE
1015143	FALSE
104788	FALSE
1123395	FALSE
516022	FALSE
336306	FALSE
804742	FALSE
109057	FALSE
514080	FALSE
529653	FALSE
725347	FALSE
832001	FALSE
4359327	FALSE
218772	FALSE
282549	FALSE
4409036	FALSE
4345060	FALSE
225370	FALSE
976441	FALSE
4387158	FALSE
2528843	FALSE
141607	FALSE
960695	FALSE
865520	FALSE
1142199	FALSE
112962	FALSE
4325392	FALSE
1126195	FALSE
1118132	FALSE
1124068	FALSE
949659	FALSE
439457	FALSE
1108706	FALSE
4374109	FALSE
585063	FALSE
537062	FALSE
4416783	FALSE
334709	FALSE
321533	FALSE
920506	FALSE
546441	FALSE
114176	FALSE
819298	FALSE
4425615	FALSE
829240	TRUE
543572	FALSE
4340148	FALSE
357329	FALSE
174842	FALSE
848713	FALSE
533420	FALSE
333593	FALSE
1106960	FALSE
2680784	FALSE
301880	FALSE
702400	FALSE
240641	FALSE
304223	FALSE
365956	FALSE
4365141	FALSE
234654	FALSE
572843	FALSE
4296752	FALSE
297256	FALSE
626867	FALSE
276370	FALSE
540876	FALSE
4064681	FALSE
265874	FALSE
236949	FALSE
300618	FALSE
83514	FALSE
176775	FALSE
587505	FALSE
211593	FALSE
2366094	FALSE
4441200	FALSE
4353625	FALSE
4392535	FALSE
322661	FALSE
1104793	FALSE
938948	FALSE
1006554	FALSE
214800	FALSE
509377	FALSE
2062934	FALSE
637528	FALSE
1087462	FALSE
4363948	FALSE
575143	FALSE
4364838	FALSE
951711	FALSE
554984	FALSE
4475220	FALSE
590314	FALSE
262025	FALSE
553623	FALSE
564586	FALSE
766554	FALSE
838990	FALSE
672345	FALSE
228873	FALSE
563811	FALSE
4367855	FALSE
327945	FALSE
111464	FALSE
1107339	FALSE
962249	FALSE
240451	FALSE
39385	TRUE
741867	FALSE
3038460	FALSE
238940	FALSE
166728	FALSE
330888	FALSE
1016369	FALSE
237131	FALSE
70071	FALSE
3860285	FALSE
1136342	FALSE
4388456	FALSE
254116	FALSE
164443	FALSE
341460	FALSE
933546	FALSE
2981822	FALSE
525841	FALSE
4319936	FALSE
825260	FALSE
81639	FALSE
207780	FALSE
4446915	FALSE
225142	FALSE
135965	FALSE
107506	FALSE
