	E1.11.Fun.sp.1.20140730.T	E1.14.Phy.lich.1.20140811.T	E1.15.Dip.heli.1.20140905.T	E1.17.Cau.furc.1.20140801.T	E1.17.Ech.lame.1.20140905.T	E1.17.Fav.sp.1.20140805.T	E1.17.Fav.sp.2.20140805.T	E1.19.Sym.sp.1.20140815.T	E1.2.Tur.stel.1.20140805.T	E1.4.Pac.spec.1.20140801.T	E1.4.Pac.spec.1.20140811.T	E1.5.Gal.astr.1.20140814.T	E1.6.Acr.sp.1.20140905.T	E1.6.Iso.pali.1.20140803.T	E1.6.Mon.hisp.1.20140807.T	E10.17.Fav.abdi.1.20150630.T	E10.17.Gon.favu.1.20150630.T	E10.17.Gon.favu.2.20150630.T	E10.17.Mon.curt.3.20150629.T	E10.Aca.hill.1.20150629.T	E10.Aca.hill.2.20150629.T	E10.Acr.cyth.1.20150627.T	E10.Acr.cyth.3.20150627.T	E10.Alv.alli.1.20150628.T	E10.Alv.alli.2.20150628.T	E10.Fav.abdi.1.20150629.T	E10.Mon.curt.2.20150629.T	E10.Ser.cali.3.20150627.T	E3.11.Fun.sp.1.20150125.T	E3.14.Phy.lich.1.20150125.T	E3.15.Dip.heli.1.20150123.T	E3.15.Dip.heli.2.20150106.T	E3.15.Dip.heli.3.20150121.T	E3.15.Dip.heli.4.20150105.T	E3.17.Ech.mamm.1.20150123.T	E3.17.Ech.mamm.1.20150129.T	E3.4.Pac.rugo.1.20150127.T	E3.4.Pac.spec.1.20150129.T	E3.5.Gal.astr.1.20150124.T	E3.6.Acr.hyac.1.20150106.T	E3.6.Acr.hyac.1.20150121.T	E3.6.Acr.hyac.1.20150123.T	E3.6.Acr.hyac.2.20150105.T	E3.6.Acr.hyac.2.20150106.T	E3.6.Acr.hyac.3.20150105.T	E3.6.Acr.hyac.3.20150106.T	E3.6.Acr.hyac.3.20150120.T	E3.6.Acr.hyac.3.20150123.T	E3.6.Acr.hyac.4.20150105.T	E3.6.Acr.hyac.4.20150106.T	E7.17.Ech.lame.1.20150620.T	E7.17.Fav.spC.1.20150623.T	E7.17.Myc.elep.1.20150622.T	E7.17.Pla.sine.1.20150622.T	E7.19.Lob.hemp.1.20150621.T	E7.5.Gal.fasc.1.20150621.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.6.Mon.aequ.1.20150620.T	E7.6.Mon.aequ.2.20150620.T	E7.6.Mon.aequ.3.20150620.T	115-C161-T	125-PC3-T	1256-008-C119-T	1256-011-C120-T	1256-014-C121-T	1256-024-C127-T	1256-036-C133-T	1256-042-C143-T	1256-045-C144-T	1256-048-C145-T	1256-061-C151-T	1256-070-C327-T	1256-073-C328-T	1256-074-C369-T	1256-075-C370-T	1256-076-C371-T	1256-077-C372-T	1256-078-C373-T	1256-079-C386-T	1256-080-C435-T	1256-081-C436-T	1256-082-C437-T	1256-103-PW164-T	1256-106-PW165-T	1256-109-PW166-T	1256-112-PW167-T	1256-115-PW168-T	1256-122-PW170-T	1256-131-PW174-T	1256-142-PW178-T	1256-147-PW182-T	1256-151-PW183-T	1256-157-PW186-T	1256-168-PW192-T	1256-174-PW194-T	1256-195-PW203-T	1256-205-HI7-T	1256-208-HI8-T	1256-211-HI10-T	1256-214-HI57-T	1256-218-HI58-T	1256-221-HI59-T	1256-227-HI61-T	1256-240-HI65-T	1256-253-HI69-T	1256-267-HID-T	1256-273-P2-T	1256-277-HIE-T	1256-290-P7-T	1256-297-P11-T	1256-300-P12-T	1256-304-P479-T	1256-306-P480-T	1256-308-P481-T	1256-322-P489-T	1256-329-P496-T	1256-331-P497-T	1256-339-P503-T	130-PC5-T	132-PC6-T	138-PC8-T	142-PC9-T	146-PC10-T	149-PC11-T	155-PC13-T	162-PC18-T	165-PC19-T	170-PC20-T	171-PC21-T	173-PC22-T	178-PC24-T	201-PC26-T	203-PC27-T	205-PC28-T	207-PC29-T	209-PC30-T	210-PC39-T	227-PC50-T	239-C319-T	243-C320-T	274-C333-T	277-C334-T	304-C347-T	306-C349-T	310-C363-T	313-C366-T	315-C368-T	323-C376-T	327-C380-T	336-C389-T	339-C391-T	346-C398-T	347-C399-T	348-C400-T	349-C401-T	350-C402-T	351-C403-T	352-C404-T	354-C406-T	360-C427-T	371-C430-T	373-C432-T	375-C434-T	381-C439-T	384-C440-T	387-C441-T	390-C442-T	61-C145-T	64-C146-T	68-C147-T
557211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.5	0	40.5	48	35.5	0	65.5	0	0	0	0	74	0	16	0	67.5	42	0	0	50	0	0	101	0	51.5	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.5	0	0	0	0	0	0	0	0
913149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.8	0	32	0	0	22.8	0	35.2	0	14.2	0	12.6	0	0	0	0	0	0	17.2	0	0	0	0	0	0	0	0	0	0	0	0	17.6	0	0	0	0	0	0	25.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4	0	11.2	0	0	0	0	0	0	0	0	11.2	0	0	0	0	0	0	0	0	0	0	0
342224	0	8	0	0	0	6.2	29.6	0	0	0	0	0	0	0	0	5.8	0	0	19	0	0	0	0	0	0	31.6	10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16.25	0	0	0	0	0	0	0	0	0	0	0	0	0	14.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.25	23.25	0	0	0	17.5	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
996434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.25	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5	0	0	6.75	0	0	0	0	20	0	17	0	11.25	41	0	0	14.5	7.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
960695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2	0	0	0	5.2	0	0	0	0	0	50.6	6.8	17.8	80.8	22.6	31.2	0	14.2	0	7	0	10.8	0	0	0	0	15.8	0	0	0	0	0	0	0	9.2	22.6	10.6	0	0	0	8	16.6	0	16.4	0	23.2	0	0	0	0	0	0	0	0	0	0	0	0	16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.8	7.4	0	0	0	0	12.6	6.8	0	11.4	3	0	0	0	0	0	0	0	0	0	44.6	0	26.2	11.2	0	21.6	0	0	0	0	0	0
537062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	22.3333333333333	18	0	33.6666666666667	21.3333333333333	0	0	0	0	0	0	0	0	0	0	24.6666666666667	0	0	6	0	0	14.6666666666667	22.3333333333333	0	0	0	0	0	0	0	46	54.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
785565	0	0	10.9	0	6.3	0	0	0	0	0	0	0	14.2	9.4	0	0	13.7	0	0	0	0	0	0	4.7	0	0	0	4.3	0	7	0	0	0	7.2	0	0	0	0	7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
