	Potentially_Pathogenic
321047	FALSE
1110665	FALSE
325904	FALSE
2860	FALSE
249365	FALSE
1132384	FALSE
809980	FALSE
741691	FALSE
4479618	FALSE
570408	FALSE
305967	FALSE
2932342	FALSE
114811	FALSE
3122805	FALSE
2374557	FALSE
574883	FALSE
324488	FALSE
109057	FALSE
1107711	FALSE
661170	FALSE
4473308	FALSE
4398746	FALSE
282549	FALSE
4385170	FALSE
3025176	FALSE
148761	FALSE
310249	FALSE
334709	FALSE
837775	FALSE
361402	FALSE
227000	FALSE
636022	FALSE
208171	FALSE
1787054	FALSE
1108984	FALSE
543572	FALSE
4340148	FALSE
2776653	FALSE
3852555	FALSE
1107679	FALSE
801421	FALSE
702400	FALSE
151316	FALSE
2401319	FALSE
2194481	FALSE
4396740	FALSE
808539	FALSE
677590	FALSE
540643	FALSE
513117	FALSE
4366536	FALSE
1114496	FALSE
1106925	FALSE
536121	FALSE
4392826	FALSE
341734	FALSE
757894	FALSE
573032	FALSE
698647	FALSE
760733	FALSE
590548	FALSE
321346	FALSE
334363	FALSE
159170	FALSE
4456435	FALSE
587505	FALSE
740676	FALSE
605566	FALSE
569893	FALSE
2062934	FALSE
345093	FALSE
1109106	FALSE
4475254	FALSE
563202	FALSE
566357	FALSE
255100	FALSE
563693	FALSE
523133	FALSE
3867306	FALSE
2710	FALSE
557998	FALSE
1132905	FALSE
588112	FALSE
811810	FALSE
1120649	FALSE
4481373	FALSE
832359	FALSE
185410	FALSE
4359640	FALSE
1856738	FALSE
346201	FALSE
1016465	FALSE
1111255	FALSE
581316	FALSE
164443	FALSE
147773	FALSE
833553	FALSE
