	Stress_Tolerant
151316	FALSE
4334160	FALSE
707290	FALSE
2860	FALSE
836007	FALSE
4353625	FALSE
4358878	FALSE
511931	FALSE
4478586	FALSE
342224	FALSE
1121123	FALSE
851799	FALSE
3134290	FALSE
537062	FALSE
931727	FALSE
153594	FALSE
1062748	FALSE
341734	FALSE
351929	FALSE
4452721	FALSE
4478949	FALSE
4403105	FALSE
356532	FALSE
4456435	FALSE
575079	FALSE
228587	FALSE
351673	FALSE
586458	FALSE
109057	FALSE
333130	FALSE
644385	FALSE
137183	FALSE
1047041	FALSE
856135	FALSE
238741	FALSE
1026431	FALSE
4349537	FALSE
1065569	FALSE
313235	FALSE
554911	FALSE
993127	FALSE
10724	FALSE
237131	FALSE
1045843	FALSE
998966	FALSE
2480553	FALSE
1678827	FALSE
227000	FALSE
4443384	FALSE
4463263	FALSE
739464	FALSE
4465584	FALSE
515169	FALSE
4393921	FALSE
4304512	FALSE
541511	FALSE
4375596	FALSE
837605	FALSE
164443	FALSE
587391	FALSE
4403168	FALSE
4340816	FALSE
550484	FALSE
563796	FALSE
321346	FALSE
3164102	FALSE
182038	FALSE
325904	FALSE
563693	FALSE
832359	FALSE
611320	FALSE
4418395	FALSE
745395	FALSE
553974	FALSE
528829	FALSE
2163606	FALSE
962249	FALSE
525841	TRUE
336986	FALSE
997642	FALSE
681073	FALSE
4420771	FALSE
137516	FALSE
763358	FALSE
4479618	FALSE
335960	FALSE
1106278	FALSE
4369009	FALSE
4387407	FALSE
98554	FALSE
1136342	FALSE
4480305	FALSE
4412803	FALSE
1015143	FALSE
306254	FALSE
637931	FALSE
361402	FALSE
235943	FALSE
547139	FALSE
104179	FALSE
557211	FALSE
540653	FALSE
994959	FALSE
4416718	FALSE
1116149	FALSE
1107031	FALSE
114621	FALSE
533420	FALSE
101553	FALSE
4418992	FALSE
523593	FALSE
83514	FALSE
830956	FALSE
829116	FALSE
4455980	FALSE
626867	FALSE
584241	FALSE
4421933	FALSE
310249	FALSE
149607	FALSE
531374	FALSE
551164	FALSE
4437259	FALSE
114811	FALSE
4184652	FALSE
4397593	FALSE
4359533	FALSE
1106384	FALSE
554981	FALSE
575252	FALSE
933546	FALSE
1111553	FALSE
287608	FALSE
224486	FALSE
960695	FALSE
4411920	FALSE
313174	FALSE
538679	FALSE
254888	FALSE
238105	FALSE
585568	FALSE
342034	FALSE
569884	FALSE
4451400	FALSE
4458736	FALSE
677590	FALSE
805022	FALSE
1135562	FALSE
575143	FALSE
753560	FALSE
11427	FALSE
557998	FALSE
203057	FALSE
951711	FALSE
4229057	FALSE
195246	FALSE
561516	FALSE
3706429	FALSE
4304971	FALSE
1112543	FALSE
1011514	FALSE
4427030	FALSE
3760122	FALSE
251001	FALSE
882018	FALSE
1110437	FALSE
1107555	FALSE
1104793	FALSE
207780	FALSE
323712	FALSE
1109245	FALSE
150441	FALSE
159170	FALSE
4306533	FALSE
99933	FALSE
1967331	FALSE
14475	FALSE
270636	FALSE
552508	FALSE
1010113	TRUE
821141	FALSE
344914	FALSE
3867306	FALSE
4326871	FALSE
541244	FALSE
807851	FALSE
4396740	FALSE
320773	FALSE
232551	FALSE
238940	FALSE
4394926	TRUE
185410	FALSE
4410004	FALSE
21210	FALSE
758023	FALSE
1856738	FALSE
758112	FALSE
587616	FALSE
636022	FALSE
235042	FALSE
357342	FALSE
201237	FALSE
4406621	FALSE
4434807	FALSE
570408	FALSE
266995	FALSE
229420	FALSE
4329788	FALSE
566357	FALSE
4456461	FALSE
816411	FALSE
2143302	FALSE
2317377	FALSE
3760117	FALSE
295053	FALSE
590476	FALSE
1104728	FALSE
979107	FALSE
302883	FALSE
3208	FALSE
235527	FALSE
4357413	FALSE
136025	FALSE
366545	FALSE
145637	FALSE
544302	FALSE
75585	FALSE
591796	FALSE
1044315	FALSE
3991527	FALSE
4398746	FALSE
1126467	FALSE
585063	FALSE
867135	FALSE
150582	FALSE
588411	FALSE
825130	FALSE
4442779	FALSE
661170	FALSE
4425615	FALSE
535383	FALSE
4388765	FALSE
210359	FALSE
104129	FALSE
768898	FALSE
60179	FALSE
4325199	FALSE
840347	FALSE
911243	FALSE
1835918	FALSE
968354	FALSE
4467056	FALSE
4053303	FALSE
849122	FALSE
165553	FALSE
114498	FALSE
1114110	FALSE
4331429	FALSE
960983	FALSE
605566	FALSE
301921	FALSE
564587	FALSE
1897353	FALSE
574883	FALSE
307846	FALSE
370067	FALSE
114788	FALSE
1107230	FALSE
631818	FALSE
538600	FALSE
22928	FALSE
288743	FALSE
855839	FALSE
4106309	FALSE
291149	FALSE
992246	FALSE
339359	FALSE
1075821	FALSE
1132384	FALSE
4314534	FALSE
4401013	FALSE
592877	FALSE
571072	FALSE
135965	FALSE
696477	FALSE
539453	FALSE
99430	FALSE
724665	FALSE
4295177	FALSE
269907	FALSE
92008	FALSE
153548	FALSE
1111234	FALSE
174755	FALSE
1110665	FALSE
626314	FALSE
804325	FALSE
354725	FALSE
718758	FALSE
321533	FALSE
806030	FALSE
4441046	FALSE
536986	FALSE
318061	FALSE
