	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
661170	FALSE	FALSE	FALSE	TRUE	FALSE
2860	FALSE	FALSE	FALSE	FALSE	FALSE
591796	FALSE	FALSE	FALSE	FALSE	FALSE
4353625	FALSE	FALSE	FALSE	FALSE	FALSE
130922	FALSE	FALSE	FALSE	FALSE	FALSE
4376863	FALSE	FALSE	FALSE	FALSE	FALSE
931727	FALSE	FALSE	FALSE	FALSE	FALSE
341734	FALSE	FALSE	FALSE	FALSE	TRUE
70494	FALSE	FALSE	FALSE	FALSE	FALSE
4452721	FALSE	FALSE	FALSE	FALSE	TRUE
343315	FALSE	FALSE	FALSE	FALSE	FALSE
141154	FALSE	FALSE	FALSE	FALSE	FALSE
4456435	FALSE	FALSE	FALSE	FALSE	FALSE
354725	FALSE	FALSE	FALSE	TRUE	FALSE
590476	FALSE	FALSE	FALSE	TRUE	FALSE
109057	FALSE	FALSE	FALSE	FALSE	FALSE
299227	FALSE	FALSE	FALSE	TRUE	FALSE
4473655	FALSE	FALSE	FALSE	TRUE	FALSE
354518	FALSE	FALSE	FALSE	FALSE	FALSE
569893	FALSE	FALSE	FALSE	FALSE	FALSE
938948	FALSE	FALSE	FALSE	FALSE	FALSE
814721	FALSE	FALSE	FALSE	FALSE	FALSE
3575253	FALSE	FALSE	FALSE	FALSE	FALSE
4398746	FALSE	FALSE	FALSE	FALSE	FALSE
282549	FALSE	FALSE	FALSE	FALSE	FALSE
227000	FALSE	FALSE	FALSE	FALSE	FALSE
352526	FALSE	FALSE	FALSE	FALSE	FALSE
4358878	FALSE	FALSE	FALSE	TRUE	FALSE
572843	FALSE	FALSE	FALSE	FALSE	FALSE
164443	FALSE	TRUE	FALSE	TRUE	FALSE
325904	FALSE	FALSE	FALSE	TRUE	FALSE
2932342	FALSE	FALSE	FALSE	FALSE	FALSE
285497	FALSE	FALSE	FALSE	FALSE	FALSE
4374557	FALSE	TRUE	FALSE	FALSE	FALSE
225370	FALSE	FALSE	FALSE	FALSE	FALSE
1106925	FALSE	TRUE	FALSE	TRUE	FALSE
4342066	FALSE	FALSE	FALSE	FALSE	FALSE
321346	FALSE	FALSE	FALSE	FALSE	FALSE
3164102	FALSE	FALSE	FALSE	FALSE	FALSE
591394	FALSE	FALSE	FALSE	FALSE	FALSE
4327197	FALSE	FALSE	FALSE	FALSE	FALSE
836059	FALSE	FALSE	FALSE	FALSE	TRUE
141607	FALSE	FALSE	FALSE	FALSE	FALSE
540643	FALSE	FALSE	FALSE	TRUE	FALSE
832359	FALSE	FALSE	FALSE	FALSE	FALSE
611320	FALSE	FALSE	FALSE	FALSE	FALSE
3471198	FALSE	FALSE	FALSE	FALSE	FALSE
316772	FALSE	FALSE	FALSE	FALSE	FALSE
837775	FALSE	FALSE	FALSE	FALSE	FALSE
327767	FALSE	FALSE	FALSE	FALSE	FALSE
98554	FALSE	FALSE	FALSE	FALSE	FALSE
1115987	FALSE	FALSE	FALSE	FALSE	FALSE
2853353	FALSE	FALSE	FALSE	FALSE	FALSE
365956	FALSE	FALSE	FALSE	FALSE	FALSE
361402	FALSE	FALSE	FALSE	FALSE	FALSE
1766551	FALSE	FALSE	FALSE	TRUE	FALSE
4416718	FALSE	TRUE	FALSE	FALSE	FALSE
242585	FALSE	FALSE	FALSE	FALSE	FALSE
3025176	FALSE	FALSE	FALSE	FALSE	FALSE
238940	FALSE	FALSE	FALSE	TRUE	FALSE
4374816	FALSE	TRUE	FALSE	TRUE	FALSE
150582	FALSE	FALSE	FALSE	FALSE	FALSE
543572	FALSE	FALSE	FALSE	FALSE	FALSE
149607	FALSE	FALSE	FALSE	FALSE	FALSE
325735	FALSE	FALSE	FALSE	FALSE	FALSE
4437259	FALSE	FALSE	FALSE	TRUE	FALSE
578659	FALSE	FALSE	FALSE	FALSE	FALSE
1112192	FALSE	FALSE	FALSE	TRUE	FALSE
1111553	FALSE	FALSE	FALSE	FALSE	FALSE
4479618	FALSE	FALSE	FALSE	FALSE	FALSE
1603735	FALSE	FALSE	FALSE	FALSE	FALSE
571072	FALSE	FALSE	FALSE	FALSE	FALSE
4336253	FALSE	FALSE	FALSE	FALSE	FALSE
318061	FALSE	FALSE	FALSE	FALSE	FALSE
566357	FALSE	FALSE	FALSE	FALSE	FALSE
566771	FALSE	FALSE	FALSE	TRUE	FALSE
4314926	FALSE	FALSE	FALSE	FALSE	FALSE
4411920	FALSE	FALSE	FALSE	FALSE	FALSE
238105	FALSE	FALSE	FALSE	FALSE	FALSE
585568	FALSE	FALSE	FALSE	FALSE	FALSE
639286	FALSE	FALSE	FALSE	FALSE	FALSE
569884	FALSE	FALSE	FALSE	FALSE	FALSE
313522	FALSE	FALSE	FALSE	FALSE	FALSE
4355195	FALSE	FALSE	FALSE	TRUE	FALSE
305967	FALSE	FALSE	FALSE	TRUE	FALSE
1112543	FALSE	FALSE	FALSE	FALSE	FALSE
158026	FALSE	FALSE	FALSE	FALSE	FALSE
3760122	FALSE	FALSE	FALSE	FALSE	FALSE
251001	FALSE	FALSE	FALSE	FALSE	FALSE
428807	TRUE	FALSE	FALSE	FALSE	FALSE
1856738	FALSE	FALSE	FALSE	FALSE	FALSE
572150	FALSE	FALSE	FALSE	FALSE	FALSE
323712	FALSE	FALSE	FALSE	FALSE	FALSE
60638	FALSE	FALSE	FALSE	TRUE	FALSE
583231	FALSE	FALSE	FALSE	FALSE	FALSE
563693	FALSE	FALSE	FALSE	FALSE	FALSE
806030	FALSE	FALSE	FALSE	FALSE	FALSE
3867306	FALSE	FALSE	FALSE	FALSE	FALSE
943138	FALSE	FALSE	FALSE	FALSE	FALSE
605566	FALSE	FALSE	FALSE	FALSE	FALSE
4396740	FALSE	FALSE	FALSE	FALSE	FALSE
271524	FALSE	FALSE	FALSE	FALSE	FALSE
201237	FALSE	FALSE	FALSE	FALSE	FALSE
4443384	FALSE	FALSE	FALSE	FALSE	FALSE
736040	FALSE	FALSE	FALSE	TRUE	FALSE
230061	FALSE	FALSE	FALSE	TRUE	FALSE
4410004	FALSE	FALSE	FALSE	FALSE	FALSE
758023	FALSE	FALSE	FALSE	FALSE	FALSE
636022	FALSE	FALSE	FALSE	FALSE	FALSE
235042	FALSE	FALSE	FALSE	FALSE	FALSE
512873	FALSE	FALSE	FALSE	FALSE	FALSE
570408	FALSE	TRUE	TRUE	FALSE	FALSE
325346	FALSE	FALSE	FALSE	FALSE	FALSE
4388765	FALSE	FALSE	FALSE	FALSE	TRUE
151344	FALSE	FALSE	FALSE	FALSE	FALSE
3760117	FALSE	FALSE	FALSE	FALSE	FALSE
837605	FALSE	FALSE	FALSE	FALSE	FALSE
227717	FALSE	FALSE	FALSE	FALSE	FALSE
4461079	FALSE	FALSE	FALSE	TRUE	FALSE
875548	FALSE	FALSE	FALSE	FALSE	FALSE
146556	FALSE	FALSE	FALSE	FALSE	FALSE
681073	FALSE	FALSE	FALSE	FALSE	FALSE
1109402	FALSE	FALSE	FALSE	FALSE	FALSE
237131	FALSE	FALSE	FALSE	FALSE	FALSE
145637	FALSE	FALSE	FALSE	FALSE	FALSE
822328	FALSE	FALSE	FALSE	FALSE	TRUE
2401319	FALSE	FALSE	FALSE	TRUE	FALSE
310249	FALSE	FALSE	FALSE	FALSE	FALSE
581316	FALSE	FALSE	FALSE	FALSE	FALSE
4481373	FALSE	FALSE	FALSE	FALSE	FALSE
4362093	FALSE	FALSE	FALSE	FALSE	FALSE
1116149	FALSE	FALSE	FALSE	FALSE	FALSE
351676	FALSE	FALSE	FALSE	FALSE	FALSE
165553	FALSE	FALSE	FALSE	FALSE	FALSE
1114110	FALSE	FALSE	FALSE	FALSE	FALSE
4463767	FALSE	FALSE	FALSE	FALSE	FALSE
259809	FALSE	FALSE	FALSE	FALSE	FALSE
333593	FALSE	FALSE	FALSE	FALSE	FALSE
370067	FALSE	FALSE	FALSE	FALSE	FALSE
274011	FALSE	FALSE	FALSE	FALSE	FALSE
330888	FALSE	FALSE	FALSE	FALSE	FALSE
427183	FALSE	FALSE	FALSE	FALSE	FALSE
344914	FALSE	FALSE	FALSE	FALSE	FALSE
269907	FALSE	FALSE	FALSE	FALSE	FALSE
4018589	FALSE	FALSE	FALSE	FALSE	FALSE
228555	FALSE	FALSE	FALSE	FALSE	FALSE
553974	FALSE	FALSE	FALSE	FALSE	FALSE
4359533	FALSE	FALSE	FALSE	FALSE	FALSE
1110665	FALSE	FALSE	FALSE	FALSE	FALSE
4371135	FALSE	FALSE	FALSE	TRUE	FALSE
232551	FALSE	FALSE	FALSE	FALSE	FALSE
804325	FALSE	FALSE	FALSE	FALSE	FALSE
4398706	FALSE	FALSE	FALSE	FALSE	FALSE
262657	FALSE	FALSE	FALSE	FALSE	FALSE
499902	FALSE	FALSE	FALSE	FALSE	FALSE
