	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
136025	FALSE	FALSE	FALSE	FALSE	FALSE
702400	FALSE	FALSE	FALSE	FALSE	FALSE
342224	TRUE	FALSE	FALSE	FALSE	FALSE
1016465	FALSE	FALSE	FALSE	FALSE	FALSE
1047041	FALSE	FALSE	FALSE	FALSE	FALSE
98258	FALSE	FALSE	FALSE	FALSE	FALSE
739464	FALSE	FALSE	FALSE	FALSE	FALSE
4369009	FALSE	FALSE	FALSE	FALSE	FALSE
306254	FALSE	FALSE	FALSE	FALSE	FALSE
575252	FALSE	FALSE	FALSE	FALSE	FALSE
557211	FALSE	FALSE	FALSE	FALSE	FALSE
785565	FALSE	TRUE	FALSE	FALSE	TRUE
4392549	FALSE	FALSE	FALSE	FALSE	FALSE
960695	FALSE	FALSE	FALSE	FALSE	FALSE
254888	TRUE	FALSE	FALSE	FALSE	FALSE
1011514	FALSE	FALSE	FALSE	FALSE	FALSE
150441	FALSE	FALSE	FALSE	FALSE	FALSE
816411	FALSE	TRUE	FALSE	FALSE	FALSE
2317377	FALSE	TRUE	FALSE	FALSE	FALSE
677165	FALSE	FALSE	FALSE	FALSE	FALSE
295053	FALSE	TRUE	TRUE	FALSE	FALSE
302883	FALSE	FALSE	FALSE	FALSE	FALSE
3991527	FALSE	FALSE	FALSE	FALSE	FALSE
313235	FALSE	FALSE	FALSE	FALSE	FALSE
265496	FALSE	FALSE	TRUE	FALSE	FALSE
22928	FALSE	FALSE	FALSE	TRUE	FALSE
321533	FALSE	FALSE	FALSE	FALSE	FALSE
112750	FALSE	FALSE	FALSE	FALSE	FALSE
