	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
707290	FALSE	FALSE	TRUE	FALSE	FALSE
201237	FALSE	FALSE	FALSE	FALSE	FALSE
4478586	FALSE	FALSE	FALSE	FALSE	FALSE
537062	FALSE	FALSE	FALSE	FALSE	FALSE
552508	FALSE	FALSE	FALSE	FALSE	FALSE
153594	FALSE	FALSE	FALSE	FALSE	FALSE
948180	FALSE	FALSE	FALSE	FALSE	FALSE
668615	FALSE	FALSE	FALSE	FALSE	FALSE
155521	FALSE	FALSE	FALSE	FALSE	FALSE
830956	FALSE	FALSE	FALSE	FALSE	FALSE
351673	FALSE	FALSE	FALSE	FALSE	FALSE
585063	FALSE	FALSE	FALSE	FALSE	FALSE
4451400	FALSE	FALSE	FALSE	FALSE	FALSE
554981	FALSE	FALSE	FALSE	FALSE	FALSE
1130212	FALSE	TRUE	FALSE	FALSE	FALSE
1142199	FALSE	FALSE	FALSE	FALSE	FALSE
817013	FALSE	FALSE	FALSE	FALSE	FALSE
238741	FALSE	FALSE	FALSE	FALSE	FALSE
3905299	FALSE	FALSE	FALSE	FALSE	FALSE
4359327	FALSE	FALSE	FALSE	FALSE	FALSE
104310	FALSE	FALSE	FALSE	FALSE	FALSE
2130193	FALSE	FALSE	FALSE	FALSE	FALSE
993127	FALSE	FALSE	FALSE	FALSE	FALSE
626867	FALSE	FALSE	FALSE	FALSE	FALSE
2480553	FALSE	FALSE	FALSE	FALSE	FALSE
1139117	FALSE	FALSE	FALSE	FALSE	FALSE
829240	FALSE	FALSE	FALSE	FALSE	TRUE
4305935	FALSE	FALSE	FALSE	FALSE	FALSE
515169	FALSE	FALSE	FALSE	FALSE	FALSE
4393921	FALSE	FALSE	FALSE	FALSE	FALSE
1144747	FALSE	FALSE	FALSE	FALSE	FALSE
1560939	FALSE	FALSE	TRUE	FALSE	FALSE
4458619	FALSE	FALSE	FALSE	FALSE	FALSE
439457	FALSE	FALSE	FALSE	FALSE	FALSE
787663	FALSE	FALSE	FALSE	FALSE	FALSE
101553	FALSE	FALSE	FALSE	FALSE	FALSE
575143	FALSE	FALSE	FALSE	FALSE	FALSE
1136762	FALSE	FALSE	FALSE	FALSE	FALSE
255671	FALSE	FALSE	FALSE	FALSE	FALSE
