Trait	Chisq	df	p.value
Aerobic	116.584	8	<.0001
Anaerobic	68.928	8	<.0001
Contains_Mobile_Elements	51.472	8	<.0001
Facultatively_Anaerobic	198.384	8	<.0001
Forms_Biofilms	29.24	8	0.0003
Gram_Negative	71.776	8	<.0001
Gram_Positive	70.728	8	<.0001
Potentially_Pathogenic	24.992	8	0.0016
Stress_Tolerant	25.32	8	0.0014
M00175_Nitrogen_fixation_nitrogen_ammonia_	15.536	8	0.0495
M00176_Sulfur_reduction_sulfate_H2S_	30.904	8	0.0001
M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	26.288	8	0.0009
M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	45.256	8	<.0001
M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_	42.816	8	<.0001
