"","sampleID","variable","value","compartment","model_fit","trait","conditions","TukeyHSD"
"1","E1.10.Sty.pist.1.20140815","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"2","E1.15.Dip.heli.1.20140905","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"3","E1.17.Ech.lame.1.20140905","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"4","E1.17.Ech.mamm.1.20140728","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"5","E1.17.Fav.sp.2.20140805","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"6","E1.19.Sym.sp.1.20140724","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"7","E1.2.Tur.reni.1.20140730","M_above",0.0943396226415094,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"8","E1.2.Tur.reni.1.20140814","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"9","E1.2.Tur.stel.1.20140805","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"10","E1.3.Por.loba.1.20140905","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"11","E1.4.Pac.rugo.1.20140728","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"12","E1.4.Pac.spec.1.20140811","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"13","E1.5.Gal.astr.1.20140728","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"14","E1.5.Gal.astr.1.20140807","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"15","E1.6.Acr.humi.1.20140731","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"16","E1.6.Acr.sp.1.20140905","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"17","E1.6.Iso.pali.1.20140803","M_above",0.742718446601942,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"18","E1.7.Pav.sp.1.20140905","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"19","E1.7.Pav.veno.1.20140809","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"20","E10.17.Gon.favu.1.20150629","M_above",0.486301369863014,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"21","E10.Aca.hill.3.20150629","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"22","E10.Acr.cyth.1.20150627","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"23","E10.Acr.cyth.2.20150627","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"24","E10.Acr.cyth.3.20150627","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"25","E10.Alv.alli.1.20150628","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"26","E10.Alv.alli.3.20150628","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"27","E10.Cyp.micr.1.20150627","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"28","E10.Ser.cali.3.20150627","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"29","E3.10.Sty.pist.2.20150124","M_above",0.48936170212766,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"30","E3.11.Fun.sp.1.20150125","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"31","E3.11.Fun.sp.2.20150125","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"32","E3.14.Phy.lich.1.20150125","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"33","E3.14.Phy.lich.1.20150129","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"34","E3.15.Dip.heli.1.20150106","M_above",0.202127659574468,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"35","E3.15.Dip.heli.1.20150118","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"36","E3.15.Dip.heli.1.20150120","M_above",0.407407407407407,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"37","E3.15.Dip.heli.1.20150121","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"38","E3.15.Dip.heli.2.20150120","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"39","E3.15.Dip.heli.2.20150121","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"40","E3.15.Dip.heli.2.20150123","M_above",0.798561151079137,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"41","E3.15.Dip.heli.3.20150105","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"42","E3.15.Dip.heli.3.20150121","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"43","E3.15.Dip.heli.3.20150123","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"44","E3.17.Ech.mamm.1.20150123","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
